"epoch","Schedule: true - _step","Schedule: true - _step__MIN","Schedule: true - _step__MAX","Schedule: true - test reward","Schedule: true - test reward__MIN","Schedule: true - test reward__MAX","Schedule: false - _step","Schedule: false - _step__MIN","Schedule: false - _step__MAX","Schedule: false - test reward","Schedule: false - test reward__MIN","Schedule: false - test reward__MAX","Schedule: interval - _step","Schedule: interval - _step__MIN","Schedule: interval - _step__MAX","Schedule: interval - test reward","Schedule: interval - test reward__MIN","Schedule: interval - test reward__MAX","Schedule: adaptive - _step","Schedule: adaptive - _step__MIN","Schedule: adaptive - _step__MAX","Schedule: adaptive - test reward","Schedule: adaptive - test reward__MIN","Schedule: adaptive - test reward__MAX"
"0","15.8","5","23","17.276116932235546","12.361917782778956","21.329259457504982","13.272727272727273","5","24","20.689715462582576","18.593071302926795","23.298814447563668","2","2","2","107.17502177184329","107.17502177184329","107.17502177184329","2","2","2","63.835771315109945","34.77523258368966","80.99926526707864"
"10","166.2","48","245","90.00319902021305","17.582850324046017","227.77316556888718","126.2","47","245","74.23829076931607","15.091050024146316","232.69495119624457","14","14","14","105.33603166666862","105.33603166666862","105.33603166666862","19","19","19","182.27439471584623","133.49638544182704","207.54241172312777"
"20","316.2","90","467","94.4314046363722","18.022997828215114","232.12700550416488","240.2","89","467","62.783065956384156","16.321975439554826","276.0078560769036","26","26","26","174.08255170191234","174.08255170191234","174.08255170191234","36","36","36","224.72700820312812","170.04469960128512","298.89064934916786"
"30","466.2","132","689","162.6338602389951","17.847761986486173","315.58582429224646","354.2","131","689","74.70605126942512","16.116308447082734","235.95884754970925","38","38","38","111.09004141109457","111.09004141109457","111.09004141109457","53","53","53","225.33376460338073","141.3707912788562","268.2048875221594"
"40","616.2","174","911","169.6855998403518","18.958738607907954","315.5652578138386","501","173","911","140.61828056076183","18.56262408507598","366.46414019459473","50","50","50","207.97758643138565","207.97758643138565","207.97758643138565","70","70","70","183.63876696749807","169.2030420858327","207.89854779153225"
"50","766.2","216","1133","124.03998610555504","20.35268462281558","238.08282054450996","623","215","1133","113.52866044574982","14.353581255919655","275.3936450693451","62","62","62","138.8727613842586","138.8727613842586","138.8727613842586","87","87","87","244.07517523416982","200.97221450462578","329.3270323111782"
"60","916.2","258","1355","114.94333039956322","18.673874835903092","160.9509360821788","745","257","1355","137.2434178216157","17.037025705881856","359.6058525450307","75","75","75","49.964477109992664","49.964477109992664","49.964477109992664","104","104","104","182.31327371249483","102.81743756998219","336.76440485359274"
"70","1066.2","300","1577","197.14758804014826","55.40640188420556","357.6100305509275","867","299","1577","126.03241736629398","19.889401308071537","268.5704507323961","87","87","87","78.90618705527498","78.90618705527498","78.90618705527498","121","121","121","215.71593555890988","203.51823452592924","235.61668556668957"
"80","1216.2","342","1799","202.3366297197951","134.13755184778506","275.16042685298993","989","341","1799","167.16524838438912","18.51898284503537","272.7438799137509","99","99","99","114.36625519509691","114.36625519509691","114.36625519509691","138","138","138","203.38286752735348","105.2754078276181","270.53132961414576"
"90","1366.2","384","2021","240.3670010503848","139.10060493772747","365.9051363024672","1111","383","2021","202.5471170128099","13.705555265597818","359.2831459618204","111","111","111","175.1858320260748","175.1858320260748","175.1858320260748","155","155","155","213.16423021683008","143.42026333435606","263.51146573231887"
