"epoch","Schedule: true - _step","Schedule: true - _step__MIN","Schedule: true - _step__MAX","Schedule: true - test reward","Schedule: true - test reward__MIN","Schedule: true - test reward__MAX","Schedule: false - _step","Schedule: false - _step__MIN","Schedule: false - _step__MAX","Schedule: false - test reward","Schedule: false - test reward__MIN","Schedule: false - test reward__MAX","Schedule: interval - _step","Schedule: interval - _step__MIN","Schedule: interval - _step__MAX","Schedule: interval - test reward","Schedule: interval - test reward__MIN","Schedule: interval - test reward__MAX","Schedule: fixed - _step","Schedule: fixed - _step__MIN","Schedule: fixed - _step__MAX","Schedule: fixed - test reward","Schedule: fixed - test reward__MIN","Schedule: fixed - test reward__MAX","Schedule: adaptive - _step","Schedule: adaptive - _step__MIN","Schedule: adaptive - _step__MAX","Schedule: adaptive - test reward","Schedule: adaptive - test reward__MIN","Schedule: adaptive - test reward__MAX"
"0","7","7","7","20.6458271763917","20.6458271763917","20.6458271763917","7.3076923076923075","7","8","16.56829956235063","12.015423442581913","21.28545498254974","2","2","2","101.04882704123324","75.40309950114201","138.69447252509784","2","2","2","99.01208540934824","36.48755133933089","172.1306425764936","2","2","2","105.85452974635406","5.494174749830987","208.8067934140911"
"10","70","70","70","17.412372253959425","17.412372253959425","17.412372253959425","69.3076923076923","69","70","18.404225686389893","12.07626257305918","21.28455037478476","14","14","14","158.13116245543398","75.64649789426679","236.78357995299126","14","14","14","210.40192543602743","105.3957551446445","301.25971691844177","19","19","19","231.59717508166176","141.81650250986985","364.0855207140245"
"20","132","132","132","56.53861550299344","56.53861550299344","56.53861550299344","131.30769230769232","131","132","44.152969793269385","15.640242335988077","102.00140971991634","26","26","26","192.04036268245142","142.43016878456277","237.0997935325738","26","26","26","156.417645283008","68.6774080722802","237.67906330098245","36","36","36","181.3370827236171","109.2642514922128","237.1772826842533"
"30","194","194","194","136.93487869736296","136.93487869736296","136.93487869736296","193.30769230769232","193","194","85.47402237733537","12.465007992292659","230.17911571849973","38","38","38","204.19461449258648","138.5471841472751","269.1251809653237","38","38","38","203.80749859203976","138.85184416340752","234.25020714751136","53","53","53","191.75249497448343","74.1845435256573","302.93063055282386"
"40","256","256","256","189.88352487798983","189.88352487798983","189.88352487798983","255.30769230769232","255","256","129.484812600265","14.319971281145333","321.00896448912226","50","50","50","228.512893025336","200.22203401142457","268.9099928004818","50","50","50","224.2488756376468","140.6692496831707","272.29533907378215","70","70","70","217.87371155796308","75.05156857351759","402.59475969854236"
"50","318","318","318","229.82089934661252","229.82089934661252","229.82089934661252","317.6666666666667","317","319","146.01714516108393","20.036418308630353","359.4716827764872","62","62","62","235.86219876523174","141.85983776915555","268.58262848790594","62","62","62","225.15344960904676","137.92356954726503","270.13508670741237","87","87","87","223.68797854018433","102.41076458937445","332.0045628566801"
"60","380","380","380","55.84474084273246","55.84474084273246","55.84474084273246","379.6666666666667","379","381","117.50629438444707","13.93714701276782","280.0614359072037","75","75","75","231.3220943435295","206.30793158194314","268.9552505573167","74","74","74","242.6010434427341","200.49216219219193","336.87396202630055","104","104","104","238.7538896161618","105.01141584044947","329.055792791149"
"70","442","442","442","233.35286397583576","233.35286397583576","233.35286397583576","441.6666666666667","441","443","146.734530952204","19.40257968144511","300.446048939806","87","87","87","177.23520710287858","137.11940973672512","236.48396775317912","86","86","86","271.628479189099","201.79639323080966","359.84451295927386","121","121","121","207.24856732791102","135.39330627111767","267.99846793006196"
"80","504","504","504","188.98624207964525","188.98624207964525","188.98624207964525","503.6666666666667","503","505","155.7715670629154","17.381271256986356","357.6345913594717","99","99","99","171.77536870802376","72.33968117608893","208.10309953837424","98","98","98","164.15922737179318","134.61924653446826","239.88368418762622","138","138","138","224.13427507772298","135.86749995767212","338.5806427385465"
"90","566","566","566","232.0801347142416","232.0801347142416","232.0801347142416","565.6666666666666","565","567","148.95893048505914","17.47548915623786","318.72597940577714","111","111","111","191.8773683274572","73.40622153311175","304.36457271110714","110","110","110","234.32609613657596","138.0434029504446","330.3333947354603","155","155","155","134.24066958843255","72.25282203422849","205.5056400406716"
