"epoch","Schedule: true - _step","Schedule: true - _step__MIN","Schedule: true - _step__MAX","Schedule: true - test reward","Schedule: true - test reward__MIN","Schedule: true - test reward__MAX","Schedule: false - _step","Schedule: false - _step__MIN","Schedule: false - _step__MAX","Schedule: false - test reward","Schedule: false - test reward__MIN","Schedule: false - test reward__MAX","Schedule: adaptive - _step","Schedule: adaptive - _step__MIN","Schedule: adaptive - _step__MAX","Schedule: adaptive - test reward","Schedule: adaptive - test reward__MIN","Schedule: adaptive - test reward__MAX"
"0","23","23","23","19.258345287051988","18.253127717546192","20.263562856557787","15.444444444444445","6","23","18.357926420181588","16.98480473758008","21.18228737656778","2","2","2","7.731954115143856","6.525316170307724","9.585092880844606"
"10","245","245","245","21.653097738280366","20.27528801857771","23.030907457983016","157.88888888888889","49","245","19.39876851860699","16.592483221373488","23.30459172794593","19","19","19","66.89348738798863","40.50167783596409","107.55759070958598"
"20","467","467","467","20.641402032146548","18.92344811814798","22.359355946145115","300.3333333333333","92","467","32.41733450458006","16.181211661613997","97.98011350304023","36","36","36","101.2326647681768","76.8559048645682","142.52705994417133"
"30","689","689","689","44.12993144257887","24.77048444732561","63.48937843783214","442.77777777777777","135","689","40.508845758357694","16.900766995840147","146.45517832806507","53","53","53","108.89632297680821","78.23850289593254","141.37736722397335"
"40","911","911","911","81.51840940651073","59.374450968889676","103.66236784413177","585.2222222222222","178","911","46.04712538247412","15.444453983990439","150.21351397606844","70","70","70","104.0496298425896","72.500394439008","137.80302486064136"
"50","1133","1133","1133","127.9669951679178","102.68630189451287","153.24768844132274","727.6666666666666","221","1133","24.20306471165056","14.744783263078824","65.2045917932779","87","87","87","82.27421703569709","7.802247244528468","108.66677306493855"
"60","1355","1355","1355","64.60761870784225","20.36953259452718","108.84570482115733","870.1111111111111","264","1355","55.1120453867483","15.112849117122158","141.7372724881869","104","104","104","82.37309956449724","40.81169594329805","108.32846410551429"
"70","1577","1577","1577","61.32038978322868","20.926975155842957","101.7138044106144","1012.5555555555555","307","1577","52.40839404548727","15.245936970995377","154.25366193425847","121","121","121","52.27948303051966","8.064214375814972","80.73695274451484"
"80","1799","1799","1799","83.77369112525867","20.111050027721355","147.43633222279598","1155","350","1799","61.97910767414347","15.807122408112216","186.82702794724634","138","138","138","93.56351435508348","42.098406843595356","209.14672697532387"
"90","2021","2021","2021","125.00543638943829","104.86146792592535","145.14940485295122","1297.4444444444443","393","2021","48.33650422859402","15.58906359582134","153.40716969893452","155","155","155","68.6086511370111","7.979770095317169","180.05100339496954"
