Relative Time (Process),Schedule : adaptive - _step,Schedule : adaptive - _step__MIN,Schedule : adaptive - _step__MAX,Schedule : adaptive - test reward ,Schedule : adaptive - test reward __MIN,Schedule : adaptive - test reward __MAX,Schedule : fixed - _step,Schedule : fixed - _step__MIN,Schedule : fixed - _step__MAX,Schedule : fixed - test reward ,Schedule : fixed - test reward __MIN,Schedule : fixed - test reward __MAX,Schedule : interval - _step,Schedule : interval - _step__MIN,Schedule : interval - _step__MAX,Schedule : interval - test reward ,Schedule : interval - test reward __MIN,Schedule : interval - test reward __MAX,epoch
5.808027982711792,2255.0,2255.0,2255.0,27.11969566345215,27.11969566345215,27.11969566345215,,,,,,,,,,,,,0.0
7.36829400062561,2257.0,2257.0,2257.0,27.11969566345215,27.11969566345215,27.11969566345215,,,,,,,,,,,,,0.14836795252225518
10.57548,1839.0,1839.0,1839.0,27.119696,27.119696,27.119696,,,,,,,,,,,,,0.29673590504451036
10.648926,1843.4,1843.4,1843.4,27.119696,27.119696,27.119696,5.0,5.0,5.0,27.119696,27.119696,27.119696,,,,,,,0.4451038575667655
10.666492,1847.8,1847.8,1847.8,27.119696,27.119696,27.119696,5.0,5.0,5.0,27.119696,27.119696,27.119696,,,,,,,0.5934718100890207
10.666536,1852.2,1852.2,1852.2,27.119696,27.119696,27.119696,5.0,5.0,5.0,27.119696,27.119696,27.119696,,,,,,,0.7418397626112759
10.73334,1856.6,1856.6,1856.6,27.119696,27.119696,27.119696,5.0,5.0,5.0,27.119696,27.119696,27.119696,,,,,,,0.890207715133531
10.741938,1861.0,1861.0,1861.0,27.119696,27.119696,27.119696,5.0,5.0,5.0,27.119696,27.119696,27.119696,,,,,,,1.0385756676557862
10.786078,1856.6,1856.6,1856.6,28.5859142,28.5859142,28.5859142,5.0,5.0,5.0,27.119696,27.119696,27.119696,1775.0,1775.0,1775.0,27.119696,27.119696,27.119696,1.1869436201780414
10.872657,1852.2,1852.2,1852.2,30.0521324,30.0521324,30.0521324,5.0,5.0,5.0,27.119696,27.119696,27.119696,1741.0,1741.0,1741.0,27.119696,27.119696,27.119696,1.3353115727002967
10.87333,1847.8,1847.8,1847.8,31.518350599999998,31.518350599999998,31.518350599999998,5.0,5.0,5.0,27.119696,27.119696,27.119696,1879.0,1879.0,1879.0,27.119696,27.119696,27.119696,1.4836795252225519
10.890688,1843.4,1843.4,1843.4,32.9845688,32.9845688,32.9845688,5.0,5.0,5.0,27.119696,27.119696,27.119696,1351.0,1351.0,1351.0,27.119696,27.119696,27.119696,1.632047477744807
10.919944,1839.0,1839.0,1839.0,34.450787,34.450787,34.450787,5.0,5.0,5.0,27.119696,27.119696,27.119696,1474.0,1474.0,1474.0,27.119696,27.119696,27.119696,1.780415430267062
10.940464,1747.5,1747.5,1747.5,34.450787,34.450787,34.450787,5.0,5.0,5.0,27.119696,27.119696,27.119696,1597.0,1597.0,1597.0,27.119696,27.119696,27.119696,1.9287833827893173
11.098132,1656.0,1656.0,1656.0,34.450787,34.450787,34.450787,5.0,5.0,5.0,27.119696,27.119696,27.119696,1720.0,1720.0,1720.0,27.119696,27.119696,27.119696,2.0771513353115725
11.183573,1646.8,1646.8,1646.8,34.450787,34.450787,34.450787,5.0,5.0,5.0,27.119696,27.119696,27.119696,1843.0,1843.0,1843.0,27.119696,27.119696,27.119696,2.2255192878338277
11.47139,1637.6,1637.6,1637.6,34.450787,34.450787,34.450787,5.0,5.0,5.0,27.119696,27.119696,27.119696,1641.0,1641.0,1641.0,27.119696,27.119696,27.119696,2.373887240356083
11.729195,1628.4,1628.4,1628.4,34.450787,34.450787,34.450787,5.0,5.0,5.0,27.119696,27.119696,27.119696,1439.0,1439.0,1439.0,27.119696,27.119696,27.119696,2.522255192878338
11.811738,1619.2,1619.2,1619.2,34.450787,34.450787,34.450787,5.0,5.0,5.0,27.119696,27.119696,27.119696,1540.0,1540.0,1540.0,27.119696,27.119696,27.119696,2.6706231454005933
11.900592,1610.0,1610.0,1610.0,34.450787,34.450787,34.450787,5.0,5.0,5.0,27.119696,27.119696,27.119696,3484.4,3484.4,3484.4,28.3875917,28.3875917,28.3875917,2.8189910979228485
12.195608,4844.0,4844.0,4844.0,34.34493666666667,34.34493666666667,34.34493666666667,5.0,5.0,5.0,27.119696,27.119696,27.119696,5428.8,5428.8,5428.8,29.655487400000002,29.655487400000002,29.655487400000002,2.9673590504451037
76.500643,8078.0,8078.0,8078.0,34.23908633333333,34.23908633333333,34.23908633333333,250.0,250.0,250.0,38.551178,38.551178,38.551178,7373.200000000001,7373.200000000001,7373.200000000001,30.923383100000002,30.923383100000002,30.923383100000002,3.115727002967359
80.710022,11312.0,11312.0,11312.0,34.133236,34.133236,34.133236,250.0,250.0,250.0,39.06955,39.06955,39.06955,9317.6,9317.6,9317.6,32.1912788,32.1912788,32.1912788,3.264094955489614
