"epoch","Schedule: adaptive - _step","Schedule: adaptive - _step__MIN","Schedule: adaptive - _step__MAX","Schedule: adaptive - test reward","Schedule: adaptive - test reward__MIN","Schedule: adaptive - test reward__MAX","Schedule: fixed - _step","Schedule: fixed - _step__MIN","Schedule: fixed - _step__MAX","Schedule: fixed - test reward","Schedule: fixed - test reward__MIN","Schedule: fixed - test reward__MAX","Schedule: interval - _step","Schedule: interval - _step__MIN","Schedule: interval - _step__MAX","Schedule: interval - test reward","Schedule: interval - test reward__MIN","Schedule: interval - test reward__MAX","Schedule: false - _step","Schedule: false - _step__MIN","Schedule: false - _step__MAX","Schedule: false - test reward","Schedule: false - test reward__MIN","Schedule: false - test reward__MAX","Schedule: true - _step","Schedule: true - _step__MIN","Schedule: true - _step__MAX","Schedule: true - test reward","Schedule: true - test reward__MIN","Schedule: true - test reward__MAX"
"0","476.5","424","564","401.5335017276529","298.3519792825309","486.1125038601588","3.25","3","4","40.10786782052773","38.23613520557331","41.050452293592755","3","3","3","48.76116590492695","48.76116590492695","48.76116590492695","11.756756756756756","1","28","56.24732532297155","14.931607418219901","327.26422665430897","10","4","28","129.93945517158713","16.17895511147045","346.4121927660446"
"10","5297.857142857143","4640","6175","382.78751268526827","247.4887795027613","525.0244047183614","14.25","14","15","40.79062406206022","37.647400432414344","42.38080712786227","14","14","14","34.666897614753495","34.666897614753495","34.666897614753495","117.29729729729729","12","281","62.27775957542808","13.993903730754914","301.8667373103259","81.75","15","282","134.34519000587972","29.128832303362024","241.23541143893695"
"20","10112.142857142857","8856","11787","391.3961068574933","230.61191961280355","523.6379388618878","25.25","25","26","43.47282906876724","38.67024954333749","47.46166046974184","25","25","25","44.48308617205336","44.48308617205336","44.48308617205336","219.58333333333334","23","534","88.02483674721303","17.132723371981925","247.76497904885454","153.25","26","535","156.95768462668244","35.2334497651597","307.6653350368653"
"30","14926.42857142857","13072","17399","450.57910415732533","381.69002644622003","578.902277341885","36.25","36","37","39.38475138824832","34.56718650349125","44.713801231394925","36","36","36","40.34685242161767","40.34685242161767","40.34685242161767","324.1666666666667","34","808","110.82434861118378","13.134535823337549","317.290137618295","224.75","37","788","166.7832184710575","33.83635069523017","367.8543221769017"
"40","19740.714285714286","17288","23011","445.0069717507421","358.17376682675047","581.9889787282957","47.25","47","48","42.411109082639946","28.977450450333354","52.81899031335652","47","47","47","45.60276097732079","45.60276097732079","45.60276097732079","429","45","1091","116.93706124416207","15.814670519081046","355.6384791784175","296.25","48","1041","215.35835084504237","43.46739308356207","401.62430881361104"
"50","24558","21507","28626","386.5261773721125","288.81778313863146","501.1923688589248","60.666666666666664","60","62","43.355941639393535","38.086416897513686","49.1257926452832","60","60","60","40.058871498719355","40.058871498719355","40.058871498719355","809.8695652173913","62","1383","148.30922423536998","19.603257136684782","317.70381359103936","374.5","62","1297","185.74672348024143","44.39851362971093","317.98897366665557"
"60","29372.285714285714","25723","34238","406.75050195827225","316.47589063045194","579.7338680670556","71.66666666666667","71","73","42.228213424036774","39.51095280831245","46.23588587668919","71","71","71","36.232461650368215","36.232461650368215","36.232461650368215","999.0434782608696","73","1726","177.62173994024428","13.522265440435385","409.0489625217859","483.5","73","1550","196.52846754247255","87.19310915903763","296.30425638410395"
"70","34186.57142857143","29939","39850","395.24883701082723","200.72400532711936","553.9736102123677","82.66666666666667","82","84","39.62819091005759","30.354216710462698","45.852017460581784","82","82","82","35.223094662829546","35.223094662829546","35.223094662829546","1188.2173913043478","84","2069","193.27016054370858","19.846552771671256","417.17451297682294","592.5","84","1803","217.2276717640076","119.11596129768621","358.6924848523155"
"80","39000.857142857145","34155","45462","392.3080995002503","292.6861969085582","543.525043156995","93.66666666666667","93","95","43.62641088116805","41.98592725990195","46.34089087965484","93","93","93","43.6765368972094","43.6765368972094","43.6765368972094","1378.304347826087","95","2433","180.74443601066758","19.56873751809377","320.48372339280735","701.5","95","2056","263.7597757557451","154.69050311105036","386.3196435689969"
"90","43815.142857142855","38371","51074","362.10736016594444","295.2753399897426","448.4357107835632","104.66666666666667","104","106","41.47785731081478","35.810360326729274","47.09648350900616","104","104","104","39.065152044069734","39.065152044069734","39.065152044069734","1568.7826086956522","106","2806","196.1585189029342","19.453622511129712","388.8937604360542","810.5","106","2309","239.27044241634437","148.88519966348886","331.41105016298445"
