id,name,project,state,url,created_at,metric.test reward,metric.test len,test reward history,test len history,config.Slope,config.Schedule,config.hidden_sizes
12yvjkew,lively-forest-51,l2f_bc,finished,https://wandb.ai/korneelvandenberghe/l2f_bc/runs/12yvjkew,2024-10-10T19:20:01Z,317.2990331952555,375.6,"0      21.900590
1      21.470152
2      18.915869
3      16.728756
4      85.411148
5      60.023291
6     100.789252
7     188.861857
8     102.604940
9     145.003396
10    102.889147
11    149.305630
12    189.783271
13    105.329564
14    276.805873
15    270.455119
16    270.581597
17    225.048560
18    186.011582
19    144.057379
20    272.374630
21    319.179127
22    363.604133
23    361.334340
24    317.299033
Name: test reward, dtype: float64","0      38.40
1      38.55
2      34.70
3      31.90
4     119.70
5      82.80
6     132.25
7     232.25
8     132.30
9     179.40
10    133.35
11    185.75
12    230.70
13    136.45
14    327.15
15    325.30
16    324.00
17    269.80
18    227.65
19    179.80
20    322.50
21    376.80
22    425.55
23    424.30
24    375.60
Name: test len, dtype: float64",25.0,True,
mbx1qvqw,chocolate-armadillo-55,l2f_bc,finished,https://wandb.ai/korneelvandenberghe/l2f_bc/runs/mbx1qvqw,2024-10-10T20:21:00Z,282.4909588385223,334.85,"0      16.939617
1      18.186073
2      16.952290
3      16.212650
4     136.623717
5      95.886407
6     148.074329
7      63.521936
8     104.569091
9     268.621160
10    142.901454
11    186.693664
12    145.750053
13    102.963742
14    103.610236
15    191.375011
16    188.586668
17    232.675062
18    277.237447
19    150.862378
20    149.874838
21    238.713512
22    145.454833
23    359.994725
24    282.490959
Name: test reward, dtype: float64","0      32.80
1      33.25
2      35.70
3      33.60
4     185.35
5     137.45
6     182.60
7      91.80
8     133.85
9     326.15
10    184.55
11    230.80
12    179.90
13    130.45
14    136.05
15    230.90
16    230.75
17    275.60
18    330.35
19    186.75
20    188.20
21    289.75
22    181.85
23    422.05
24    334.85
Name: test len, dtype: float64",25.0,False,
dmffi8l2,glamorous-water-89,l2f_bc,finished,https://wandb.ai/korneelvandenberghe/l2f_bc/runs/dmffi8l2,2024-10-11T12:25:02Z,308.9250496366911,371.05,"0      18.741563
1      63.860006
2      14.432393
3     140.604604
4     228.283713
5     232.752662
6     234.657079
7     229.988135
8     235.454752
9     152.528143
10    238.265866
11    443.424768
12    110.295605
13    270.842561
14    233.387263
15    234.040307
16    149.974039
17    193.597703
18    315.586391
19    237.309572
20     98.279004
21    142.557444
22    273.300622
23    100.910700
24    308.925050
Name: test reward, dtype: float64","0      37.40
1      88.40
2      29.85
3     184.50
4     277.75
5     276.45
6     279.00
7     279.10
8     280.00
9     187.95
10    284.45
11    516.10
12    148.15
13    322.50
14    279.55
15    282.65
16    186.20
17    235.55
18    367.55
19    286.25
20    128.35
21    179.55
22    327.10
23    137.80
24    371.05
Name: test len, dtype: float64",25.0,True,
fzabjlne,misty-pond-91,l2f_bc,finished,https://wandb.ai/korneelvandenberghe/l2f_bc/runs/fzabjlne,2024-10-11T12:59:44Z,68.39486778233449,93.95,"0      20.972317
1      16.297484
2      22.263469
3      19.132112
4      14.140661
5      18.831422
6      65.597978
7      19.660315
8      17.022710
9      15.866839
10    143.276064
11    100.829712
12    106.949665
13    184.241191
14    229.446904
15     61.725796
16     59.910808
17     99.438615
18     17.205862
19    146.266830
20     23.149173
21     65.629656
22     61.069072
23     19.418766
24     68.394868
Name: test reward, dtype: float64","0      38.10
1      34.80
2      38.50
3      35.75
4      30.40
5      37.20
6      92.30
7      35.10
8      32.50
9      31.65
10    177.65
11    135.70
12    140.50
13    227.85
14    282.60
15     89.20
16     80.15
17    129.10
18     32.60
19    180.40
20     45.35
21     93.95
22     85.20
23     39.35
24     93.95
Name: test len, dtype: float64",25.0,True,
zmvcqdku,royal-resonance-94,l2f_bc,finished,https://wandb.ai/korneelvandenberghe/l2f_bc/runs/zmvcqdku,2024-10-11T14:03:16Z,270.7240328035943,332.35,"0      20.248832
1      21.998924
2     103.915631
3     141.974476
4     241.358403
5     233.313684
6     233.289229
7     190.154348
8     231.097530
9     189.492465
10    313.894930
11    234.240099
12    364.494867
13    275.438478
14    271.775524
15    312.833292
16    491.861115
17    398.956394
18    269.115233
19    353.007167
20    139.991521
21    272.220046
22    182.821451
23    227.847217
24    270.724033
Name: test reward, dtype: float64","0      34.05
1      41.00
2     134.65
3     178.85
4     284.40
5     278.95
6     278.75
7     229.55
8     276.45
9     231.55
10    368.55
11    280.20
12    424.35
13    335.60
14    322.70
15    371.10
16    571.65
17    468.55
18    328.90
19    420.60
20    177.95
21    334.10
22    230.50
23    281.30
24    332.35
Name: test len, dtype: float64",25.0,True,
2omwieaz,balmy-firebrand-95,l2f_bc,finished,https://wandb.ai/korneelvandenberghe/l2f_bc/runs/2omwieaz,2024-10-11T14:15:06Z,267.8883650369649,327.6,"0      18.277124
1      63.127668
2     234.287373
3     226.383913
4     271.137842
5     228.167519
6     143.192696
7     311.057177
8     277.515957
9     187.921499
10    188.290128
11    361.145912
12    274.988189
13    446.688773
14    271.317710
15    232.060351
16    449.105598
17    354.156490
18    184.139178
19    477.309107
20    267.500345
21    304.901752
22    311.290592
23    267.161392
24    267.888365
Name: test reward, dtype: float64","0      36.70
1      91.85
2     280.70
3     275.55
4     321.20
5     273.25
6     175.70
7     368.50
8     331.30
9     230.25
10    226.60
11    422.55
12    327.15
13    517.50
14    328.15
15    275.20
16    522.55
17    424.35
18    226.45
19    568.90
20    327.25
21    370.80
22    378.00
23    331.15
24    327.60
Name: test len, dtype: float64",25.0,True,
5flx6sd6,usual-sun-119,l2f_bc,finished,https://wandb.ai/korneelvandenberghe/l2f_bc/runs/5flx6sd6,2024-10-12T10:44:39Z,198.6696599927237,284.8,"0      17.759834
1      16.177965
2      97.494651
3     105.021590
4      61.608797
5     275.018977
6     227.078895
7     272.352287
8     266.523111
9     232.375311
10    377.911399
11     93.552214
12    301.731225
13    224.585134
14    297.945888
15    133.327516
16    339.997238
17    256.626600
18    215.673424
19    260.690721
20    285.472234
21    166.610631
22    373.220116
23    336.629583
24    132.885053
25    132.823943
26    209.837799
27    210.504674
28    292.831500
29    207.532338
30    371.430978
31    169.762138
32    258.403201
33    290.361561
34    210.845767
35    351.615484
36    466.139123
37    269.387952
38    236.086532
39    198.669660
Name: test reward, dtype: float64","0      36.25
1      33.20
2     135.40
3     132.10
4      90.15
5     335.80
6     276.65
7     327.15
8     328.35
9     288.00
10    474.60
11    131.85
12    372.40
13    290.95
14    374.15
15    190.55
16    417.25
17    332.50
18    276.60
19    332.90
20    376.05
21    233.15
22    471.60
23    431.35
24    179.85
25    194.15
26    277.65
27    285.80
28    376.65
29    283.70
30    469.25
31    234.30
32    341.95
33    373.25
34    281.05
35    468.35
36    621.65
37    384.45
38    327.95
39    284.80
Name: test len, dtype: float64",25.0,False,
zafl6dna,woven-thunder-123,l2f_bc,finished,https://wandb.ai/korneelvandenberghe/l2f_bc/runs/zafl6dna,2024-10-12T11:20:40Z,143.1400720604753,184.45,"0      15.014652
1      18.916617
2      20.704725
3      19.509590
4      20.202813
5      16.637415
6      17.971122
7      28.035228
8      98.208211
9      51.908540
10     98.512390
11     18.940686
12    190.011587
13    140.946115
14    191.910524
15     58.626098
16     60.556700
17     21.961895
18    148.880111
19    273.937814
20    141.928194
21     63.259717
22    146.865074
23    108.081864
24     18.965752
25    148.470065
26    144.300948
27    104.478570
28    195.508685
29    189.960475
30    231.051247
31    228.356826
32    230.982758
33    270.046721
34    143.140072
Name: test reward, dtype: float64","0      29.65
1      36.05
2      39.00
3      41.25
4      38.05
5      36.15
6      32.25
7      48.90
8     142.90
9      85.05
10    128.70
11     43.05
12    237.65
13    186.35
14    231.65
15     81.10
16     85.70
17     38.30
18    179.55
19    326.85
20    174.90
21     86.25
22    183.15
23    140.20
24     34.65
25    179.85
26    181.45
27    132.05
28    238.85
29    230.95
30    280.65
31    275.15
32    280.95
33    323.20
34    184.45
Name: test len, dtype: float64",25.0,True,
092jdqzh,proud-dragon-126,l2f_bc,finished,https://wandb.ai/korneelvandenberghe/l2f_bc/runs/092jdqzh,2024-10-12T11:54:30Z,356.5779545778277,471.35,"0      19.567413
1      33.043582
2      57.243093
3     147.546424
4     237.579394
5     140.901743
6     179.247655
7     358.873707
8     182.237369
9     188.394960
10     90.417765
11    297.693297
12    341.599269
13    263.068034
14    390.407081
15    381.289305
16    340.629554
17    324.144567
18    327.350160
19    253.436870
20    250.194397
21    124.635082
22    128.552122
23    208.057769
24    287.513791
25    335.121306
26    206.734374
27    409.929441
28    169.066524
29    326.678181
30    167.780400
31    373.731868
32    274.757710
33    271.421220
34    195.983598
35    306.900699
36    399.218428
37    237.649177
38    192.467595
39    356.577955
Name: test reward, dtype: float64","0      35.95
1      56.60
2      83.25
3     181.25
4     281.55
5     185.35
6     227.20
7     431.15
8     229.10
9     236.60
10    135.10
11    374.85
12    422.80
13    334.25
14    475.20
15    469.35
16    429.10
17    429.05
18    430.55
19    343.60
20    324.50
21    182.70
22    185.65
23    276.00
24    374.15
25    426.70
26    282.55
27    524.00
28    234.30
29    427.05
30    230.25
31    467.65
32    373.90
33    373.55
34    283.45
35    424.10
36    516.50
37    324.85
38    274.50
39    471.35
Name: test len, dtype: float64",25.0,False,
p7o6wi7f,pretty-wave-127,l2f_bc,finished,https://wandb.ai/korneelvandenberghe/l2f_bc/runs/p7o6wi7f,2024-10-12T12:18:11Z,313.65923067627364,381.1,"0      18.561689
1      17.947053
2      21.597729
3      23.124424
4      13.024800
5      27.543516
6      55.375871
7      19.016793
8      62.753085
9      94.804199
10     51.516537
11     57.484452
12    141.018090
13    268.257734
14     56.595030
15    107.661576
16    187.898355
17    104.640993
18    145.530219
19    181.277397
20     62.176824
21    184.818857
22    150.281266
23    267.592875
24    185.067454
25    149.801846
26    238.400544
27    190.622524
28    146.417457
29     62.246670
30    145.138635
31    146.217435
32    143.157106
33    228.133513
34    313.659231
Name: test reward, dtype: float64","0      35.10
1      32.65
2      40.35
3      44.20
4      34.00
5      51.80
6      83.25
7      38.65
8      88.05
9     134.10
10     78.75
11     80.75
12    187.65
13    323.85
14     81.25
15    137.95
16    238.45
17    141.40
18    184.75
19    230.70
20     85.40
21    226.90
22    186.45
23    324.70
24    231.05
25    182.00
26    281.05
27    238.20
28    181.85
29     87.65
30    181.90
31    184.10
32    178.75
33    276.85
34    381.10
Name: test len, dtype: float64",25.0,False,
