"Step","Algo: TD3BC_JS_Online - test reward","Algo: TD3BC_JS_Online - test reward__MIN","Algo: TD3BC_JS_Online - test reward__MAX","Algo: TD3BC - test reward","Algo: TD3BC - test reward__MIN","Algo: TD3BC - test reward__MAX","Algo: BC - test reward","Algo: BC - test reward__MIN","Algo: BC - test reward__MAX"
"241","","","","6.95108220006633","-9.050335272152497","55.41760221024441","2.360353317618367","-2.4666337625192045","7.240300720060499"
"424","393.6872868276019","286.2319943700007","501.1425792852031","","","","","",""
"564","302.6058596199767","205.40088788902725","399.8108313509261","","","","","",""
"2647","","","","123.71843421108055","22.54086442464891","254.98117907130404","","",""
"2648","","","","","","","46.34299058745937","-10.037815432448124","105.7127822473766"
"4640","471.47890846286634","381.87254436298014","561.0852725627525","","","","","",""
"5053","","","","117.78136767895217","26.11660769107645","257.9816522270857","","",""
"5055","","","","","","","25.960395664915875","-24.66765706796302","50.708719628677855"
"6175","392.60118577196533","291.9782879242988","493.2240836196319","","","","","",""
"7459","","","","147.14766904950588","74.37590582345396","226.76638473621696","","",""
"7462","","","","","","","-54.96316924890456","-72.44335760848776","-40.6757910770744"
"8856","394.59200895783925","253.04952466009863","536.1344932555799","","","","","",""
"9865","","","","164.71475396192946","82.34717415975729","253.86026472190974","","",""
"9869","","","","","","","-135.73258648047835","-187.51645760536582","-84.7518917569188"
"11787","337.01213972343567","294.00672595756424","380.01755348930703","","","","","",""
"12271","","","","136.08639269902326","47.734328945795895","196.13335774911943","","",""
"12272","","","","144.85696105699466","92.2586618101097","210.89433660603913","","",""
"12276","","","","","","","-140.89406495827106","-190.10696721268292","-107.24999886943985"
"13072","443.91437189873534","298.3977752310238","589.4309685664468","","","","","",""
"14677","","","","170.86543789464554","54.20592934900575","305.6192517285789","","",""
"14678","","","","94.88239673825757","48.37515398443703","123.09306248715816","","",""
"14683","","","","","","","-143.08369970976025","-200.14021756703772","-89.33702996853035"
"17083","","","","159.83964764416896","86.93189082403775","225.20686421337837","","",""
"17084","","","","95.94801393919425","74.13446872211051","135.98589068447063","","",""
"17090","","","","","","","-144.7809499838491","-188.76144531129842","-105.32480821614936"
"17288","437.85599957787804","314.6743820575468","561.0376170982092","","","","","",""
"17399","390.27106707677456","380.5811837350232","399.9609504185259","","","","","",""
"19489","","","","214.43097052519457","143.85599822465204","310.6647332015941","","",""
"19490","","","","147.52202632535145","53.01032015745524","233.54730907516017","","",""
"19497","","","","","","","-154.40520821375836","-219.7195693623775","-82.90323298495852"
"21507","418.37840689241244","359.0438363023256","477.7129774824993","","","","","",""
"21896","","","","125.1308828728235","53.74538167443725","249.80602903006897","","",""
"21904","","","","","","","-171.27903570692033","-196.22169967639783","-140.24064172682247"
"23011","459.0923245047395","421.1383731972902","497.0462758121888","","","","","",""
"24302","","","","117.43383172982696","32.05038362313159","213.40775727461374","","",""
"24303","","","","40.69347733427893","31.26803482620216","52.87644838183077","","",""
"24311","","","","","","","-195.49688891128307","-263.54660488815136","-128.04527150141075"
"25723","388.01926155349827","273.2197364332632","502.81878667373337","","","","","",""
