"Step","feasible-snow-561 - test reward","feasible-snow-561 - test reward__MIN","feasible-snow-561 - test reward__MAX","eager-sound-560 - test reward","eager-sound-560 - test reward__MIN","eager-sound-560 - test reward__MAX","feasible-darkness-559 - test reward","feasible-darkness-559 - test reward__MIN","feasible-darkness-559 - test reward__MAX","colorful-moon-558 - test reward","colorful-moon-558 - test reward__MIN","colorful-moon-558 - test reward__MAX","peach-jazz-557 - test reward","peach-jazz-557 - test reward__MIN","peach-jazz-557 - test reward__MAX","wandering-sun-556-TD3BC - test reward","wandering-sun-556-TD3BC - test reward__MIN","wandering-sun-556-TD3BC - test reward__MAX","smooth-durian-555-TD3BC - test reward","smooth-durian-555-TD3BC - test reward__MIN","smooth-durian-555-TD3BC - test reward__MAX","effortless-puddle-554-TD3BC - test reward","effortless-puddle-554-TD3BC - test reward__MIN","effortless-puddle-554-TD3BC - test reward__MAX","colorful-haze-553-TD3BC - test reward","colorful-haze-553-TD3BC - test reward__MIN","colorful-haze-553-TD3BC - test reward__MAX"
"241","3.933767994287689","3.933767994287689","3.933767994287689","7.240300720060499","7.240300720060499","7.240300720060499","6.510948828838707","6.510948828838707","6.510948828838707","0.8223254598264645","0.8223254598264645","0.8223254598264645","2.820573335512095","2.820573335512095","2.820573335512095","2.8796341915008887","2.8796341915008887","2.8796341915008887","-2.4666337625192045","-2.4666337625192045","-2.4666337625192045","0.8747900567333726","0.8747900567333726","0.8747900567333726","-1.3725269656752093","-1.3725269656752093","-1.3725269656752093"
"2648","105.7127822473766","105.7127822473766","105.7127822473766","53.39683564473664","53.39683564473664","53.39683564473664","104.62566637099137","104.62566637099137","104.62566637099137","32.64324938443018","32.64324938443018","32.64324938443018","-10.037815432448124","-10.037815432448124","-10.037815432448124","4.17733204168262","4.17733204168262","4.17733204168262","30.60643716020249","30.60643716020249","30.60643716020249","65.75365668743333","65.75365668743333","65.75365668743333","30.208771182729084","30.208771182729084","30.208771182729084"
"5055","8.347268082802199","8.347268082802199","8.347268082802199","28.81909100821583","28.81909100821583","28.81909100821583","49.79444797078461","49.79444797078461","49.79444797078461","47.554876794477266","47.554876794477266","47.554876794477266","-24.66765706796302","-24.66765706796302","-24.66765706796302","-1.9846353167533142","-1.9846353167533142","-1.9846353167533142","37.77892375992177","37.77892375992177","37.77892375992177","37.292526124079686","37.292526124079686","37.292526124079686","50.708719628677855","50.708719628677855","50.708719628677855"
"7462","-41.976414852734464","-41.976414852734464","-41.976414852734464","-63.872158086670765","-63.872158086670765","-63.872158086670765","-58.04635163606508","-58.04635163606508","-58.04635163606508","-40.6757910770744","-40.6757910770744","-40.6757910770744","-49.77218256004758","-49.77218256004758","-49.77218256004758","-57.204917670720704","-57.204917670720704","-57.204917670720704","-50.59656735544408","-50.59656735544408","-50.59656735544408","-72.44335760848776","-72.44335760848776","-72.44335760848776","-60.08078239289623","-60.08078239289623","-60.08078239289623"
"9869","-141.0681614452555","-141.0681614452555","-141.0681614452555","-166.97530219550478","-166.97530219550478","-166.97530219550478","-187.51645760536582","-187.51645760536582","-187.51645760536582","-84.7518917569188","-84.7518917569188","-84.7518917569188","-86.7412673983581","-86.7412673983581","-86.7412673983581","-127.09984654057902","-127.09984654057902","-127.09984654057902","-154.33823735252315","-154.33823735252315","-154.33823735252315","-119.13613068934123","-119.13613068934123","-119.13613068934123","-153.96598334045865","-153.96598334045865","-153.96598334045865"
"12276","-128.0817695971101","-128.0817695971101","-128.0817695971101","-160.59212048236546","-160.59212048236546","-160.59212048236546","-154.12416615691566","-154.12416615691566","-154.12416615691566","-126.90752082965476","-126.90752082965476","-126.90752082965476","-124.99205300836547","-124.99205300836547","-124.99205300836547","-107.24999886943985","-107.24999886943985","-107.24999886943985","-190.10696721268292","-190.10696721268292","-190.10696721268292","-128.0766277227056","-128.0766277227056","-128.0766277227056","-147.91536074519973","-147.91536074519973","-147.91536074519973"
"14683","-167.10086424020807","-167.10086424020807","-167.10086424020807","-133.4339345109826","-133.4339345109826","-133.4339345109826","-167.50734866245634","-167.50734866245634","-167.50734866245634","-112.23573853576845","-112.23573853576845","-112.23573853576845","-89.33702996853035","-89.33702996853035","-89.33702996853035","-112.55089932520528","-112.55089932520528","-112.55089932520528","-158.60524916349056","-158.60524916349056","-158.60524916349056","-200.14021756703772","-200.14021756703772","-200.14021756703772","-146.8420154141627","-146.8420154141627","-146.8420154141627"
"17090","-160.73262266663215","-160.73262266663215","-160.73262266663215","-122.99236785858645","-122.99236785858645","-122.99236785858645","-170.44523961613453","-170.44523961613453","-170.44523961613453","-174.0642329745768","-174.0642329745768","-174.0642329745768","-130.26551240061607","-130.26551240061607","-130.26551240061607","-105.32480821614936","-105.32480821614936","-105.32480821614936","-188.76144531129842","-188.76144531129842","-188.76144531129842","-109.17519890746715","-109.17519890746715","-109.17519890746715","-141.26712190318105","-141.26712190318105","-141.26712190318105"
"19497","-164.38195078921643","-164.38195078921643","-164.38195078921643","-138.79125834327826","-138.79125834327826","-138.79125834327826","-144.64155154126908","-144.64155154126908","-144.64155154126908","-159.97042683092823","-159.97042683092823","-159.97042683092823","-154.81407819294617","-154.81407819294617","-154.81407819294617","-139.8289480679267","-139.8289480679267","-139.8289480679267","-219.7195693623775","-219.7195693623775","-219.7195693623775","-82.90323298495852","-82.90323298495852","-82.90323298495852","-184.59585781092446","-184.59585781092446","-184.59585781092446"
"21904","-176.41513564996177","-176.41513564996177","-176.41513564996177","-184.88470688121583","-184.88470688121583","-184.88470688121583","-177.62090981511136","-177.62090981511136","-177.62090981511136","-140.93806379110706","-140.93806379110706","-140.93806379110706","-140.24064172682247","-140.24064172682247","-140.24064172682247","-163.4311037166545","-163.4311037166545","-163.4311037166545","-172.04972554701024","-172.04972554701024","-172.04972554701024","-196.22169967639783","-196.22169967639783","-196.22169967639783","-189.709334558002","-189.709334558002","-189.709334558002"
"24311","-168.4150643743783","-168.4150643743783","-168.4150643743783","-187.65885904651842","-187.65885904651842","-187.65885904651842","-236.77210927302062","-236.77210927302062","-236.77210927302062","-159.93290152730725","-159.93290152730725","-159.93290152730725","-128.04527150141075","-128.04527150141075","-128.04527150141075","-160.36764232258997","-160.36764232258997","-160.36764232258997","-247.2727967688486","-247.2727967688486","-247.2727967688486","-263.54660488815136","-263.54660488815136","-263.54660488815136","-207.4607504993225","-207.4607504993225","-207.4607504993225"
"26718","-183.89908155432641","-183.89908155432641","-183.89908155432641","-226.7585570260772","-226.7585570260772","-226.7585570260772","-157.84298809800754","-157.84298809800754","-157.84298809800754","-121.26488711766804","-121.26488711766804","-121.26488711766804","-122.22037873853878","-122.22037873853878","-122.22037873853878","-134.9813279851698","-134.9813279851698","-134.9813279851698","-202.10104898037085","-202.10104898037085","-202.10104898037085","-80.46486810403519","-80.46486810403519","-80.46486810403519","-127.71792020272184","-127.71792020272184","-127.71792020272184"
"29125","-159.61027091696062","-159.61027091696062","-159.61027091696062","-171.02593305159292","-171.02593305159292","-171.02593305159292","-160.93634893278428","-160.93634893278428","-160.93634893278428","-140.5295041395356","-140.5295041395356","-140.5295041395356","-140.35008167456232","-140.35008167456232","-140.35008167456232","-102.95407370901964","-102.95407370901964","-102.95407370901964","-185.58993940631518","-185.58993940631518","-185.58993940631518","-220.90706666256065","-220.90706666256065","-220.90706666256065","-147.9547175310598","-147.9547175310598","-147.9547175310598"
"31532","-171.6875297852667","-171.6875297852667","-171.6875297852667","-226.19408648676676","-226.19408648676676","-226.19408648676676","-206.94941985722176","-206.94941985722176","-206.94941985722176","-130.62732975994163","-130.62732975994163","-130.62732975994163","-106.11483194986238","-106.11483194986238","-106.11483194986238","-144.73295882066571","-144.73295882066571","-144.73295882066571","-234.11506946089145","-234.11506946089145","-234.11506946089145","-214.55616203108517","-214.55616203108517","-214.55616203108517","-218.85283501668172","-218.85283501668172","-218.85283501668172"
