"Step","dark-sky-610 - test reward","dark-sky-610 - test reward__MIN","dark-sky-610 - test reward__MAX","desert-totem-609 - test reward","desert-totem-609 - test reward__MIN","desert-totem-609 - test reward__MAX","magic-pine-608 - test reward","magic-pine-608 - test reward__MIN","magic-pine-608 - test reward__MAX","devoted-mountain-607 - test reward","devoted-mountain-607 - test reward__MIN","devoted-mountain-607 - test reward__MAX","dauntless-hill-606 - test reward","dauntless-hill-606 - test reward__MIN","dauntless-hill-606 - test reward__MAX","legendary-tree-605 - test reward","legendary-tree-605 - test reward__MIN","legendary-tree-605 - test reward__MAX","morning-glade-604 - test reward","morning-glade-604 - test reward__MIN","morning-glade-604 - test reward__MAX","charmed-snowflake-602 - test reward","charmed-snowflake-602 - test reward__MIN","charmed-snowflake-602 - test reward__MAX","silvery-pyramid-600 - test reward","silvery-pyramid-600 - test reward__MIN","silvery-pyramid-600 - test reward__MAX"
"241","-3.0798857757559084","-3.0798857757559084","-3.0798857757559084","-1.6949732676302485","-1.6949732676302485","-1.6949732676302485","-3.6158303650421666","-3.6158303650421666","-3.6158303650421666","55.41760221024441","55.41760221024441","55.41760221024441","-9.050335272152497","-9.050335272152497","-9.050335272152497","-0.12397470072603803","-0.12397470072603803","-0.12397470072603803","10.750676620839897","10.750676620839897","10.750676620839897","-5.618085521894292","-5.618085521894292","-5.618085521894292","19.574545872713813","19.574545872713813","19.574545872713813"
"2647","53.49208477416276","53.49208477416276","53.49208477416276","254.98117907130404","254.98117907130404","254.98117907130404","22.54086442464891","22.54086442464891","22.54086442464891","171.43356446262686","171.43356446262686","171.43356446262686","105.03206782148368","105.03206782148368","105.03206782148368","204.0632227835329","204.0632227835329","204.0632227835329","142.39871262856101","142.39871262856101","142.39871262856101","77.67542817266745","77.67542817266745","77.67542817266745","81.84878376073752","81.84878376073752","81.84878376073752"
"5053","138.60850912958412","138.60850912958412","138.60850912958412","82.61658996009199","82.61658996009199","82.61658996009199","26.11660769107645","26.11660769107645","26.11660769107645","257.9816522270857","257.9816522270857","257.9816522270857","140.47130926357246","140.47130926357246","140.47130926357246","109.11138867628082","109.11138867628082","109.11138867628082","85.88062244945043","85.88062244945043","85.88062244945043","114.70256865743393","114.70256865743393","114.70256865743393","104.54306105599343","104.54306105599343","104.54306105599343"
"7459","112.10935534092111","112.10935534092111","112.10935534092111","226.76638473621696","226.76638473621696","226.76638473621696","134.7149074040014","134.7149074040014","134.7149074040014","138.75044266281844","138.75044266281844","138.75044266281844","139.17455467600138","139.17455467600138","139.17455467600138","74.37590582345396","74.37590582345396","74.37590582345396","188.32573780806894","188.32573780806894","188.32573780806894","139.32596432602944","139.32596432602944","139.32596432602944","170.78576866804121","170.78576866804121","170.78576866804121"
"9865","82.34717415975729","82.34717415975729","82.34717415975729","165.0461769279912","165.0461769279912","165.0461769279912","190.8252276624437","190.8252276624437","190.8252276624437","136.0686224778217","136.0686224778217","136.0686224778217","194.47924296092776","194.47924296092776","194.47924296092776","165.31362547710802","165.31362547710802","165.31362547710802","253.86026472190974","253.86026472190974","253.86026472190974","107.97611008946208","107.97611008946208","107.97611008946208","186.5163411799438","186.5163411799438","186.5163411799438"
"12271","","","","","","","","","","163.42554987764495","163.42554987764495","163.42554987764495","196.13335774911943","196.13335774911943","196.13335774911943","47.734328945795895","47.734328945795895","47.734328945795895","167.34757106423825","167.34757106423825","167.34757106423825","138.27675155550827","138.27675155550827","138.27675155550827","103.6007970018328","103.6007970018328","103.6007970018328"
"12272","131.41788475483523","131.41788475483523","131.41788475483523","210.89433660603913","210.89433660603913","210.89433660603913","92.2586618101097","92.2586618101097","92.2586618101097","","","","","","","","","","","","","","","","","",""
"14677","","","","","","","","","","189.84882911188896","189.84882911188896","189.84882911188896","55.9532187732867","55.9532187732867","55.9532187732867","54.20592934900575","54.20592934900575","54.20592934900575","305.6192517285789","305.6192517285789","305.6192517285789","172.43795138746495","172.43795138746495","172.43795138746495","247.12744701764808","247.12744701764808","247.12744701764808"
"14678","123.09306248715816","123.09306248715816","123.09306248715816","48.37515398443703","48.37515398443703","48.37515398443703","113.17897374317754","113.17897374317754","113.17897374317754","","","","","","","","","","","","","","","","","",""
"17083","","","","","","","","","","86.93189082403775","86.93189082403775","86.93189082403775","111.62934667062606","111.62934667062606","111.62934667062606","200.36820893775476","200.36820893775476","200.36820893775476","198.73879034732298","198.73879034732298","198.73879034732298","136.16278487189393","136.16278487189393","136.16278487189393","225.20686421337837","225.20686421337837","225.20686421337837"
