"Step","sunny-valley-620 - test reward","sunny-valley-620 - test reward__MIN","sunny-valley-620 - test reward__MAX","royal-moon-603 - test reward","royal-moon-603 - test reward__MIN","royal-moon-603 - test reward__MAX","sage-plasma-504 - test reward","sage-plasma-504 - test reward__MIN","sage-plasma-504 - test reward__MAX","sleek-frost-502 - test reward","sleek-frost-502 - test reward__MIN","sleek-frost-502 - test reward__MAX"
"424","0","0","0","0","0","0","0","0","0","0","0","0"
"564","0","0","0","0","0","0","0","0","0","0","0","0"
"4640","561.0852725627525","561.0852725627525","561.0852725627525","381.87254436298014","381.87254436298014","381.87254436298014","","","","","",""
"6175","","","","","","","291.9782879242988","291.9782879242988","291.9782879242988","493.2240836196319","493.2240836196319","493.2240836196319"
"8856","536.1344932555799","536.1344932555799","536.1344932555799","253.04952466009863","253.04952466009863","253.04952466009863","","","","","",""
"11787","","","","","","","380.01755348930703","380.01755348930703","380.01755348930703","294.00672595756424","294.00672595756424","294.00672595756424"
"13072","589.4309685664468","589.4309685664468","589.4309685664468","298.3977752310238","298.3977752310238","298.3977752310238","","","","","",""
"17288","561.0376170982092","561.0376170982092","561.0376170982092","314.6743820575468","314.6743820575468","314.6743820575468","","","","","",""
"17399","","","","","","","399.9609504185259","399.9609504185259","399.9609504185259","380.5811837350232","380.5811837350232","380.5811837350232"
"21507","477.7129774824993","477.7129774824993","477.7129774824993","359.0438363023256","359.0438363023256","359.0438363023256","","","","","",""
"23011","","","","","","","421.1383731972902","421.1383731972902","421.1383731972902","497.0462758121888","497.0462758121888","497.0462758121888"
"25723","502.81878667373337","502.81878667373337","502.81878667373337","273.2197364332632","273.2197364332632","273.2197364332632","","","","","",""
"28627","","","","","","","353.31037109300433","353.31037109300433","353.31037109300433","488.03809565134424","488.03809565134424","488.03809565134424"
"29939","559.9937184160642","559.9937184160642","559.9937184160642","291.18948835876864","291.18948835876864","291.18948835876864","","","","","",""
"34155","507.0442711990787","507.0442711990787","507.0442711990787","377.4273805123265","377.4273805123265","377.4273805123265","","","","","",""
"34239","","","","","","","353.5561372913179","353.5561372913179","353.5561372913179","349.6463679850039","349.6463679850039","349.6463679850039"
"38371","588.6404945768629","588.6404945768629","588.6404945768629","311.0280937865834","311.0280937865834","311.0280937865834","","","","","",""
"39851","","","","","","","262.36828632816804","262.36828632816804","262.36828632816804","453.96957401181186","453.96957401181186","453.96957401181186"
"42591","494.71033911655724","494.71033911655724","494.71033911655724","282.91584453929045","282.91584453929045","282.91584453929045","","","","","",""
"45463","","","","","","","245.20800769794963","245.20800769794963","245.20800769794963","515.2776619341176","515.2776619341176","515.2776619341176"
"46807","454.28540539918504","454.28540539918504","454.28540539918504","209.05145165523814","209.05145165523814","209.05145165523814","","","","","",""
"51023","581.5198418875041","581.5198418875041","581.5198418875041","261.65442936822177","261.65442936822177","261.65442936822177","","","","","",""
"51075","","","","","","","280.59281840773565","280.59281840773565","280.59281840773565","400.12325309591887","400.12325309591887","400.12325309591887"
"55239","465.7352843839764","465.7352843839764","465.7352843839764","188.7512625615463","188.7512625615463","188.7512625615463","","","","","",""
"56690","","","","","","","220.66191966744515","220.66191966744515","220.66191966744515","542.6304586359056","542.6304586359056","542.6304586359056"
"59455","323.55191738077997","323.55191738077997","323.55191738077997","297.9735901929899","297.9735901929899","297.9735901929899","","","","","",""
"62302","","","","","","","295.5687706346945","295.5687706346945","295.5687706346945","342.9024429175839","342.9024429175839","342.9024429175839"
"63674","580.6151433187367","580.6151433187367","580.6151433187367","375.73997568243726","375.73997568243726","375.73997568243726","","","","","",""
"67890","434.6927308651806","434.6927308651806","434.6927308651806","320.359936872817","320.359936872817","320.359936872817","","","","","",""
"67913","","","","","","","208.8633617437553","208.8633617437553","208.8633617437553","516.0037345654431","516.0037345654431","516.0037345654431"
"72106","436.160382834117","436.160382834117","436.160382834117","240.8249433685001","240.8249433685001","240.8249433685001","","","","","",""
"73525","","","","","","","274.3157091673639","274.3157091673639","274.3157091673639","317.63777785276596","317.63777785276596","317.63777785276596"
"76322","384.2833915112938","384.2833915112938","384.2833915112938","318.058585333681","318.058585333681","318.058585333681","","","","","",""
"79137","","","","","","","301.06360316650716","301.06360316650716","301.06360316650716","509.2987235097086","509.2987235097086","509.2987235097086"
"80538","396.7409015816296","396.7409015816296","396.7409015816296","207.49860364462288","207.49860364462288","207.49860364462288","","","","","",""
"84753","","","","","","","223.5752806542324","223.5752806542324","223.5752806542324","445.0615977681928","445.0615977681928","445.0615977681928"
"84758","479.1726711782288","479.1726711782288","479.1726711782288","151.72364350755427","151.72364350755427","151.72364350755427","","","","","",""
"88974","426.5398195392254","426.5398195392254","426.5398195392254","214.01631743397985","214.01631743397985","214.01631743397985","","","","","",""
"90365","","","","","","","237.60023665332952","237.60023665332952","237.60023665332952","363.85710005660536","363.85710005660536","363.85710005660536"
"93190","344.67832059205375","344.67832059205375","344.67832059205375","289.0573802866992","289.0573802866992","289.0573802866992","","","","","",""
"95977","","","","","","","279.42868376998564","279.42868376998564","279.42868376998564","469.9486391198909","469.9486391198909","469.9486391198909"
"97406","299.49915481287667","299.49915481287667","299.49915481287667","205.6739281987146","205.6739281987146","205.6739281987146","","","","","",""
"101589","","","","","","","307.58056694470645","307.58056694470645","307.58056694470645","446.01696321162825","446.01696321162825","446.01696321162825"
"101622","342.59732791560504","342.59732791560504","342.59732791560504","199.61629404612407","199.61629404612407","199.61629404612407","","","","","",""
"105841","398.99563467650177","398.99563467650177","398.99563467650177","286.17600481799167","286.17600481799167","286.17600481799167","","","","","",""
"107201","","","","","","","165.42021409822544","165.42021409822544","165.42021409822544","471.1990986216463","471.1990986216463","471.1990986216463"
"110057","293.3231944126872","293.3231944126872","293.3231944126872","166.11073446700541","166.11073446700541","166.11073446700541","","","","","",""
"112816","","","","","","","166.0179046263611","166.0179046263611","166.0179046263611","360.9277920686242","360.9277920686242","360.9277920686242"
"114273","479.16165559145907","479.16165559145907","479.16165559145907","237.2519722427953","237.2519722427953","237.2519722427953","","","","","",""
"118428","","","","","","","222.33144390743774","222.33144390743774","222.33144390743774","441.552434888894","441.552434888894","441.552434888894"
"118489","390.99801025041677","390.99801025041677","390.99801025041677","235.53058921101086","235.53058921101086","235.53058921101086","","","","","",""
"122705","623.1860916092177","623.1860916092177","623.1860916092177","209.83006204673015","209.83006204673015","209.83006204673015","","","","","",""
