"Step","earthy-cosmos-89 - test/returns_stat/mean","earthy-cosmos-89 - test/returns_stat/mean__MIN","earthy-cosmos-89 - test/returns_stat/mean__MAX","decent-darkness-88 - test/returns_stat/mean","decent-darkness-88 - test/returns_stat/mean__MIN","decent-darkness-88 - test/returns_stat/mean__MAX"
"1131","","","","16.362717","16.362717","16.362717"
"1264","16.451845","16.451845","16.451845","","",""
"9403","","","","10.2702","10.2702","10.2702"
"9602","9.542738","9.542738","9.542738","","",""
"16814","","","","5.5643992","5.5643992","5.5643992"
"17268","5.92607","5.92607","5.92607","","",""
"25341","8.064546","8.064546","8.064546","","",""
"25358","","","","4.5582337","4.5582337","4.5582337"
"33507","4.2612925","4.2612925","4.2612925","","",""
"34141","","","","6.8296356","6.8296356","6.8296356"
"41024","","","","6.95192","6.95192","6.95192"
"41277","9.641647","9.641647","9.641647","","",""
"50068","4.816482","4.816482","4.816482","","",""
"50188","","","","8.456518","8.456518","8.456518"
"57433","7.8548727","7.8548727","7.8548727","","",""
"57561","","","","7.311699","7.311699","7.311699"
"65820","10.726866","10.726866","10.726866","","",""
"65846","","","","4.575113","4.575113","4.575113"
"74017","10.649474","10.649474","10.649474","","",""
"74177","","","","14.787033","14.787033","14.787033"
"81866","15.850837","15.850837","15.850837","","",""
"82520","","","","8.299787","8.299787","8.299787"
"90334","","","","13.21123","13.21123","13.21123"
"91082","15.148668","15.148668","15.148668","","",""
"99076","8.680702","8.680702","8.680702","","",""
"99336","","","","12.054144","12.054144","12.054144"
"106633","","","","13.590957","13.590957","13.590957"
"107535","11.669233","11.669233","11.669233","","",""
"114786","7.316809","7.316809","7.316809","","",""
"115648","","","","11.761007","11.761007","11.761007"
"122827","","","","17.610695","17.610695","17.610695"
"123240","14.024513","14.024513","14.024513","","",""
"131510","","","","14.434389","14.434389","14.434389"
"131553","11.940524","11.940524","11.940524","","",""
"139548","10.237217","10.237217","10.237217","","",""
"139747","","","","12.715313","12.715313","12.715313"
"147457","10.638617","10.638617","10.638617","","",""
"147501","","","","10.970691","10.970691","10.970691"
"155644","","","","17.763626","17.763626","17.763626"
"156567","7.015616","7.015616","7.015616","","",""
"164011","","","","13.896366","13.896366","13.896366"
"164354","15.268128","15.268128","15.268128","","",""
"172078","16.263288","16.263288","16.263288","","",""
"172589","","","","16.445578","16.445578","16.445578"
"180686","10.194112","10.194112","10.194112","","",""
"180913","","","","17.492804","17.492804","17.492804"
"189043","8.872284","8.872284","8.872284","","",""
"189338","","","","8.7227955","8.7227955","8.7227955"
"197035","","","","19.171793","19.171793","19.171793"
"197434","7.594694","7.594694","7.594694","","",""
"205186","","","","13.671902","13.671902","13.671902"
"205638","9.605761","9.605761","9.605761","","",""
"213412","26.235159","26.235159","26.235159","","",""
"213491","","","","17.953098","17.953098","17.953098"
"221471","","","","6.6117296","6.6117296","6.6117296"
"221654","16.79122","16.79122","16.79122","","",""
"229460","","","","14.390328","14.390328","14.390328"
"230549","22.978504","22.978504","22.978504","","",""
"238147","","","","5.868135","5.868135","5.868135"
"238509","8.494838","8.494838","8.494838","","",""
"245933","","","","10.30835","10.30835","10.30835"
"246347","10.372294","10.372294","10.372294","","",""
"254313","","","","11.038203","11.038203","11.038203"
"255071","10.1369095","10.1369095","10.1369095","","",""
"262584","13.751672","13.751672","13.751672","","",""
"262631","","","","10.458227","10.458227","10.458227"
"270985","","","","9.672242","9.672242","9.672242"
"271053","6.3297324","6.3297324","6.3297324","","",""
"278426","","","","8.273382","8.273382","8.273382"
"279273","14.783331","14.783331","14.783331","","",""
"286808","","","","13.815886","13.815886","13.815886"
"287534","7.120663","7.120663","7.120663","","",""
"294841","","","","15.604296","15.604296","15.604296"
"295081","13.456169","13.456169","13.456169","","",""
"303541","","","","13.506685","13.506685","13.506685"
"303694","7.5424137","7.5424137","7.5424137","","",""
"311381","14.320232","14.320232","14.320232","","",""
"311599","","","","11.830379","11.830379","11.830379"
"319597","","","","13.068796","13.068796","13.068796"
"319942","8.92675","8.92675","8.92675","","",""
"323055","","","","12.225279","12.225279","12.225279"
"328429","9.811494","9.811494","9.811494","","",""
"335681","","","","8.58682","8.58682","8.58682"
"335955","6.244517","6.244517","6.244517","","",""
"344325","7.2038617","7.2038617","7.2038617","","",""
"344426","","","","17.37724","17.37724","17.37724"
"351994","","","","9.502295","9.502295","9.502295"
"352575","12.217144","12.217144","12.217144","","",""
"360300","","","","17.09505","17.09505","17.09505"
"360558","13.691147","13.691147","13.691147","","",""
"368470","","","","14.301452","14.301452","14.301452"
"368676","8.8609295","8.8609295","8.8609295","","",""
"376553","","","","10.81729","10.81729","10.81729"
"377237","9.244189","9.244189","9.244189","","",""
"384738","","","","9.018457","9.018457","9.018457"
"384978","11.315542","11.315542","11.315542","","",""
"393108","14.002559","14.002559","14.002559","","",""
"393318","","","","12.945824","12.945824","12.945824"
"401351","","","","20.812052","20.812052","20.812052"
"409305","","","","12.987905","12.987905","12.987905"
