"Step","glad-moon-567 - test len","glad-moon-567 - test len__MIN","glad-moon-567 - test len__MAX","denim-river-566 - test len","denim-river-566 - test len__MIN","denim-river-566 - test len__MAX","youthful-planet-565 - test len","youthful-planet-565 - test len__MIN","youthful-planet-565 - test len__MAX","smooth-durian-555-TD3BC - test len","smooth-durian-555-TD3BC - test len__MIN","smooth-durian-555-TD3BC - test len__MAX","colorful-haze-553-TD3BC - test len","colorful-haze-553-TD3BC - test len__MIN","colorful-haze-553-TD3BC - test len__MAX"
"241","53.15","53.15","53.15","32.85","32.85","32.85","30.5","30.5","30.5","32.65","32.65","32.65","35.75","35.75","35.75"
"2648","133.75","133.75","133.75","326.85","326.85","326.85","232.65","232.65","232.65","136.65","136.65","136.65","129.55","129.55","129.55"
"5055","326.9","326.9","326.9","429.1","429.1","429.1","380.35","380.35","380.35","273.45","273.45","273.45","325.6","325.6","325.6"
"7462","135.3","135.3","135.3","232.95","232.95","232.95","416.9","416.9","416.9","372.85","372.85","372.85","280.2","280.2","280.2"
"9869","229.6","229.6","229.6","280.7","280.7","280.7","228.4","228.4","228.4","274","274","274","231.15","231.15","231.15"
"12276","325.8","325.8","325.8","238.8","238.8","238.8","281.2","281.2","281.2","382.5","382.5","382.5","229.2","229.2","229.2"
"14683","278.05","278.05","278.05","290.25","290.25","290.25","276.7","276.7","276.7","279.55","279.55","279.55","229","229","229"
"17090","424.5","424.5","424.5","470.9","470.9","470.9","229.85","229.85","229.85","283.9","283.9","283.9","185.15","185.15","185.15"
"19497","232.15","232.15","232.15","234.05","234.05","234.05","233.95","233.95","233.95","337.25","337.25","337.25","369.7","369.7","369.7"
"21904","92.8","92.8","92.8","231.45","231.45","231.45","281.6","281.6","281.6","232.6","232.6","232.6","326.7","326.7","326.7"
"24311","333.25","333.25","333.25","232.05","232.05","232.05","424.55","424.55","424.55","426.2","426.2","426.2","327.85","327.85","327.85"
"26718","420.95","420.95","420.95","232.25","232.25","232.25","270.55","270.55","270.55","326.2","326.2","326.2","135.4","135.4","135.4"
"29125","367.8","367.8","367.8","188.8","188.8","188.8","280","280","280","278.5","278.5","278.5","226.4","226.4","226.4"
"31532","374.5","374.5","374.5","133.85","133.85","133.85","181.55","181.55","181.55","467.45","467.45","467.45","385.4","385.4","385.4"
"33939","279.35","279.35","279.35","334.3","334.3","334.3","329","329","329","374.45","374.45","374.45","132.8","132.8","132.8"
"36346","376.55","376.55","376.55","229.35","229.35","229.35","233.4","233.4","233.4","433.3","433.3","433.3","331.1","331.1","331.1"
"38753","378.05","378.05","378.05","429.3","429.3","429.3","231.4","231.4","231.4","329.6","329.6","329.6","330.3","330.3","330.3"
"41160","","","","231.65","231.65","231.65","228.6","228.6","228.6","382.75","382.75","382.75","133.45","133.45","133.45"
"43567","","","","227.75","227.75","227.75","138","138","138","420.3","420.3","420.3","179.1","179.1","179.1"
"45974","","","","276.05","276.05","276.05","329.1","329.1","329.1","290.65","290.65","290.65","284.85","284.85","284.85"
"48381","","","","231.45","231.45","231.45","326.95","326.95","326.95","236.2","236.2","236.2","327.8","327.8","327.8"
"50788","","","","381.15","381.15","381.15","283.05","283.05","283.05","275.1","275.1","275.1","179.05","179.05","179.05"
"53195","","","","230.75","230.75","230.75","181.3","181.3","181.3","185.6","185.6","185.6","139.3","139.3","139.3"
"55602","","","","289.4","289.4","289.4","320.4","320.4","320.4","337.4","337.4","337.4","326.15","326.15","326.15"
"58009","","","","425.35","425.35","425.35","278.45","278.45","278.45","334.45","334.45","334.45","233.35","233.35","233.35"
"60416","","","","279.7","279.7","279.7","570.85","570.85","570.85","133.35","133.35","133.35","181.6","181.6","181.6"
"62823","","","","519","519","519","323.95","323.95","323.95","134.55","134.55","134.55","326.95","326.95","326.95"
"65230","","","","373.55","373.55","373.55","185.95","185.95","185.95","525.1","525.1","525.1","278.8","278.8","278.8"
"67637","","","","333.65","333.65","333.65","284.6","284.6","284.6","378.3","378.3","378.3","467.4","467.4","467.4"
"70044","","","","285.75","285.75","285.75","329.4","329.4","329.4","187.2","187.2","187.2","333","333","333"
"72451","","","","284","284","284","378.65","378.65","378.65","378.2","378.2","378.2","233.55","233.55","233.55"
"74858","","","","234.4","234.4","234.4","286.45","286.45","286.45","477.9","477.9","477.9","277.2","277.2","277.2"
"77265","","","","241.55","241.55","241.55","328.05","328.05","328.05","229.75","229.75","229.75","277.65","277.65","277.65"
"79672","","","","278.8","278.8","278.8","420.75","420.75","420.75","481.5","481.5","481.5","231.1","231.1","231.1"
"82079","","","","374.5","374.5","374.5","370.85","370.85","370.85","326.9","326.9","326.9","227.75","227.75","227.75"
"84486","","","","434.1","434.1","434.1","323.95","323.95","323.95","334.55","334.55","334.55","375.85","375.85","375.85"
"86893","","","","235.85","235.85","235.85","279.05","279.05","279.05","84.65","84.65","84.65","272","272","272"
"89300","","","","323.95","323.95","323.95","332.15","332.15","332.15","376.2","376.2","376.2","425.35","425.35","425.35"
"91707","","","","135.05","135.05","135.05","383.15","383.15","383.15","83.8","83.8","83.8","283.3","283.3","283.3"
"94114","","","","478.3","478.3","478.3","379","379","379","177.9","177.9","177.9","180.75","180.75","180.75"
"96521","","","","430.95","430.95","430.95","287.6","287.6","287.6","331.05","331.05","331.05","323.9","323.9","323.9"
"98928","","","","327.75","327.75","327.75","374.75","374.75","374.75","473.65","473.65","473.65","279.7","279.7","279.7"
"101335","","","","373.7","373.7","373.7","233.45","233.45","233.45","428.35","428.35","428.35","470.1","470.1","470.1"
"103742","","","","329.95","329.95","329.95","184.3","184.3","184.3","471.65","471.65","471.65","379.05","379.05","379.05"
"106149","","","","521.2","521.2","521.2","276.3","276.3","276.3","374.15","374.15","374.15","278.85","278.85","278.85"
"108556","","","","430.65","430.65","430.65","128.4","128.4","128.4","376.55","376.55","376.55","180.3","180.3","180.3"
"110963","","","","332.55","332.55","332.55","136.1","136.1","136.1","421.65","421.65","421.65","184.35","184.35","184.35"
"113370","","","","143.75","143.75","143.75","181.85","181.85","181.85","329.4","329.4","329.4","228.7","228.7","228.7"
"115777","","","","280.15","280.15","280.15","282","282","282","336.35","336.35","336.35","231.6","231.6","231.6"
"118184","","","","240.05","240.05","240.05","472.85","472.85","472.85","274","274","274","191.65","191.65","191.65"
