"Step","earthy-cosmos-89 - test/lens_stat/mean","earthy-cosmos-89 - test/lens_stat/mean__MIN","earthy-cosmos-89 - test/lens_stat/mean__MAX","decent-darkness-88 - test/lens_stat/mean","decent-darkness-88 - test/lens_stat/mean__MIN","decent-darkness-88 - test/lens_stat/mean__MAX"
"1135","","","","36.7","36.7","36.7"
"1268","35.6","35.6","35.6","","",""
"9407","","","","35.5","35.5","35.5"
"9606","40.9","40.9","40.9","","",""
"16818","","","","35.1","35.1","35.1"
"17272","33.3","33.3","33.3","","",""
"25345","33.6","33.6","33.6","","",""
"25362","","","","37.2","37.2","37.2"
"33511","35.9","35.9","35.9","","",""
"34145","","","","30","30","30"
"41028","","","","35.2","35.2","35.2"
"41281","37.2","37.2","37.2","","",""
"50072","36.5","36.5","36.5","","",""
"50192","","","","39.4","39.4","39.4"
"57437","39.6","39.6","39.6","","",""
"57565","","","","40.5","40.5","40.5"
"65824","35.1","35.1","35.1","","",""
"65850","","","","35.6","35.6","35.6"
"74021","37.5","37.5","37.5","","",""
"74181","","","","46.5","46.5","46.5"
"81870","45.1","45.1","45.1","","",""
"82524","","","","45.7","45.7","45.7"
"90338","","","","41.7","41.7","41.7"
"91086","46","46","46","","",""
"99080","37.4","37.4","37.4","","",""
"99340","","","","42.5","42.5","42.5"
"106637","","","","43.7","43.7","43.7"
"107539","41.9","41.9","41.9","","",""
"114790","40.5","40.5","40.5","","",""
"115652","","","","39.7","39.7","39.7"
"122831","","","","48.2","48.2","48.2"
"123244","41.5","41.5","41.5","","",""
"131514","","","","48.5","48.5","48.5"
"131557","39.6","39.6","39.6","","",""
"139552","37.8","37.8","37.8","","",""
"139751","","","","40.5","40.5","40.5"
"147461","43.9","43.9","43.9","","",""
"147505","","","","32.6","32.6","32.6"
"155648","","","","58","58","58"
"156571","35.8","35.8","35.8","","",""
"164015","","","","42.3","42.3","42.3"
"164358","55.4","55.4","55.4","","",""
"172082","50","50","50","","",""
"172593","","","","48.5","48.5","48.5"
"180690","42.7","42.7","42.7","","",""
"180917","","","","48.7","48.7","48.7"
"189047","33","33","33","","",""
"189342","","","","31.2","31.2","31.2"
"197039","","","","48.2","48.2","48.2"
"197438","44.8","44.8","44.8","","",""
"205190","","","","35.5","35.5","35.5"
"205642","36.9","36.9","36.9","","",""
"213416","66.1","66.1","66.1","","",""
"213495","","","","41.2","41.2","41.2"
"221475","","","","37.1","37.1","37.1"
"221658","50.5","50.5","50.5","","",""
"229464","","","","48.7","48.7","48.7"
"230553","54.4","54.4","54.4","","",""
"238151","","","","35.9","35.9","35.9"
"238513","35.6","35.6","35.6","","",""
"245937","","","","39.6","39.6","39.6"
"246351","32.7","32.7","32.7","","",""
"254317","","","","35.6","35.6","35.6"
"255075","40.2","40.2","40.2","","",""
"262588","41.5","41.5","41.5","","",""
"262635","","","","36.2","36.2","36.2"
"270989","","","","43.4","43.4","43.4"
"271057","28.7","28.7","28.7","","",""
"278430","","","","33.1","33.1","33.1"
"279286","40.9","40.9","40.9","","",""
"286812","","","","36.8","36.8","36.8"
"287538","30.6","30.6","30.6","","",""
"294845","","","","44.5","44.5","44.5"
"295085","40.2","40.2","40.2","","",""
"303545","","","","38.3","38.3","38.3"
"303698","29.3","29.3","29.3","","",""
"311385","39.4","39.4","39.4","","",""
"311603","","","","35.7","35.7","35.7"
"319601","","","","37.7","37.7","37.7"
"319946","39.5","39.5","39.5","","",""
"323068","","","","38.6","38.6","38.6"
"328433","36.6","36.6","36.6","","",""
"335685","","","","37.3","37.3","37.3"
"335959","29.7","29.7","29.7","","",""
"344329","30.7","30.7","30.7","","",""
"344430","","","","41.3","41.3","41.3"
"351998","","","","37.1","37.1","37.1"
"352579","36.4","36.4","36.4","","",""
"360304","","","","45.7","45.7","45.7"
"360562","39","39","39","","",""
"368474","","","","35","35","35"
"368680","31","31","31","","",""
"376557","","","","42.2","42.2","42.2"
"377241","34.1","34.1","34.1","","",""
"384742","","","","31.6","31.6","31.6"
"384982","39.4","39.4","39.4","","",""
"393112","38.7","38.7","38.7","","",""
"393322","","","","34.6","34.6","34.6"
"401355","","","","50.2","50.2","50.2"
"409309","","","","37.1","37.1","37.1"
