"Step","lively-deluge-619 - test len","lively-deluge-619 - test len__MIN","lively-deluge-619 - test len__MAX","pious-mountain-617 - test len","pious-mountain-617 - test len__MIN","pious-mountain-617 - test len__MAX","hopeful-hill-615 - test len","hopeful-hill-615 - test len__MIN","hopeful-hill-615 - test len__MAX","neat-mountain-613 - test len","neat-mountain-613 - test len__MIN","neat-mountain-613 - test len__MAX","dark-sky-610 - test len","dark-sky-610 - test len__MIN","dark-sky-610 - test len__MAX","desert-totem-609 - test len","desert-totem-609 - test len__MIN","desert-totem-609 - test len__MAX","magic-pine-608 - test len","magic-pine-608 - test len__MIN","magic-pine-608 - test len__MAX","devoted-mountain-607 - test len","devoted-mountain-607 - test len__MIN","devoted-mountain-607 - test len__MAX","dauntless-hill-606 - test len","dauntless-hill-606 - test len__MIN","dauntless-hill-606 - test len__MAX","legendary-tree-605 - test len","legendary-tree-605 - test len__MIN","legendary-tree-605 - test len__MAX","morning-glade-604 - test len","morning-glade-604 - test len__MIN","morning-glade-604 - test len__MAX","charmed-snowflake-602 - test len","charmed-snowflake-602 - test len__MIN","charmed-snowflake-602 - test len__MAX","silvery-pyramid-600 - test len","silvery-pyramid-600 - test len__MIN","silvery-pyramid-600 - test len__MAX"
"241","92","92","92","33.55","33.55","33.55","139.65","139.65","139.65","69.75","69.75","69.75","35.85","35.85","35.85","39.35","39.35","39.35","37.45","37.45","37.45","137.95","137.95","137.95","36","36","36","40.95","40.95","40.95","68.4","68.4","68.4","36","36","36","87.6","87.6","87.6"
"2642","375.3","375.3","375.3","180.1","180.1","180.1","333.45","333.45","333.45","277","277","277","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2647","","","","","","","","","","","","","136.45","136.45","136.45","469.1","469.1","469.1","86.15","86.15","86.15","328.35","328.35","328.35","225.95","225.95","225.95","370.45","370.45","370.45","281.55","281.55","281.55","181.55","181.55","181.55","178.4","178.4","178.4"
"5043","92.25","92.25","92.25","235.3","235.3","235.3","181.45","181.45","181.45","133.7","133.7","133.7","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5053","","","","","","","","","","","","","284.35","284.35","284.35","175.65","175.65","175.65","82.55","82.55","82.55","471.35","471.35","471.35","275.75","275.75","275.75","223.9","223.9","223.9","179.9","179.9","179.9","225.6","225.6","225.6","229.4","229.4","229.4"
"7444","567.35","567.35","567.35","324.5","324.5","324.5","276.35","276.35","276.35","429.35","429.35","429.35","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7459","","","","","","","","","","","","","229.55","229.55","229.55","420.65","420.65","420.65","273.95","273.95","273.95","279.6","279.6","279.6","278.3","278.3","278.3","182.5","182.5","182.5","380.65","380.65","380.65","280.75","280.75","280.75","322.3","322.3","322.3"
"9845","277.55","277.55","277.55","332","332","332","371.4","371.4","371.4","232.85","232.85","232.85","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9865","","","","","","","","","","","","","184.65","184.65","184.65","320.3","320.3","320.3","376.95","376.95","376.95","274.3","274.3","274.3","368.8","368.8","368.8","328.15","328.15","328.15","466.1","466.1","466.1","226.55","226.55","226.55","379.15","379.15","379.15"
"12247","134","134","134","128.1","128.1","128.1","184.05","184.05","184.05","336.55","336.55","336.55","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12271","","","","","","","","","","","","","","","","","","","","","","329","329","329","372.05","372.05","372.05","137.15","137.15","137.15","319.95","319.95","319.95","275.4","275.4","275.4","228.65","228.65","228.65"
"12272","","","","","","","","","","","","","373.15","373.15","373.15","520.3","520.3","520.3","282.35","282.35","282.35","","","","","","","","","","","","","","","","","",""
"14648","374.2","374.2","374.2","279.8","279.8","279.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14649","","","","","","","279.95","279.95","279.95","233.85","233.85","233.85","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14677","","","","","","","","","","","","","","","","","","","","","","368.05","368.05","368.05","132.2","132.2","132.2","134.3","134.3","134.3","563.8","563.8","563.8","322.35","322.35","322.35","473.4","473.4","473.4"
"14678","","","","","","","","","","","","","324.55","324.55","324.55","186.45","186.45","186.45","327.9","327.9","327.9","","","","","","","","","","","","","","","","","",""
"17049","378.55","378.55","378.55","420.15","420.15","420.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17050","","","","","","","323.55","323.55","323.55","423.35","423.35","423.35","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17083","","","","","","","","","","","","","","","","","","","","","","185","185","185","235.6","235.6","235.6","372.4","372.4","372.4","373.5","373.5","373.5","286","286","286","425.65","425.65","425.65"
"17084","","","","","","","","","","","","","224.6","224.6","224.6","373.1","373.1","373.1","226.1","226.1","226.1","","","","","","","","","","","","","","","","","",""
"19450","223.5","223.5","223.5","227.4","227.4","227.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19451","","","","","","","327.65","327.65","327.65","226.5","226.5","226.5","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19489","","","","","","","","","","","","","","","","","","","","","","422.4","422.4","422.4","284.3","284.3","284.3","323.7","323.7","323.7","416.7","416.7","416.7","415.2","415.2","415.2","572.2","572.2","572.2"
"19490","","","","","","","","","","","","","422.85","422.85","422.85","567.25","567.25","567.25","180.65","180.65","180.65","","","","","","","","","","","","","","","","","",""
"21851","274.95","274.95","274.95","374.85","374.85","374.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21852","","","","","","","378.4","378.4","378.4","525.75","525.75","525.75","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21896","","","","","","","","","","","","","377.65","377.65","377.65","323.55","323.55","323.55","617.4","617.4","617.4","226.95","226.95","226.95","472.35","472.35","472.35","280.65","280.65","280.65","324.3","324.3","324.3","183.7","183.7","183.7","275.3","275.3","275.3"
"24253","183.95","183.95","183.95","231.75","231.75","231.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24254","","","","","","","418.1","418.1","418.1","329.2","329.2","329.2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24302","","","","","","","","","","","","","","","","","","","","","","133.15","133.15","133.15","517.05","517.05","517.05","180.2","180.2","180.2","375.25","375.25","375.25","277.9","277.9","277.9","467.6","467.6","467.6"
"24303","","","","","","","","","","","","","278.95","278.95","278.95","280.35","280.35","280.35","321.05","321.05","321.05","","","","","","","","","","","","","","","","","",""
"26654","371.8","371.8","371.8","514.2","514.2","514.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26656","","","","","","","372.4","372.4","372.4","470.4","470.4","470.4","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26708","","","","","","","","","","","","","","","","","","","","","","330.1","330.1","330.1","326.6","326.6","326.6","144.8","144.8","144.8","274.45","274.45","274.45","182.6","182.6","182.6","236.7","236.7","236.7"
"26709","","","","","","","","","","","","","330.45","330.45","330.45","225.95","225.95","225.95","286.15","286.15","286.15","","","","","","","","","","","","","","","","","",""
"29055","373.3","373.3","373.3","427.25","427.25","427.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29057","","","","","","","230.5","230.5","230.5","373.05","373.05","373.05","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29114","","","","","","","","","","","","","","","","","","","","","","474.15","474.15","474.15","417.8","417.8","417.8","470.2","470.2","470.2","130.65","130.65","130.65","425.6","425.6","425.6","519.1","519.1","519.1"
"29115","","","","","","","","","","","","","326.5","326.5","326.5","327.55","327.55","327.55","427.8","427.8","427.8","","","","","","","","","","","","","","","","","",""
"31456","325.1","325.1","325.1","465.45","465.45","465.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31458","","","","","","","276.25","276.25","276.25","373.85","373.85","373.85","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31520","","","","","","","","","","","","","","","","","","","","","","321.95","321.95","321.95","229.4","229.4","229.4","325.5","325.5","325.5","421.65","421.65","421.65","226.5","226.5","226.5","420.55","420.55","420.55"
"31521","","","","","","","","","","","","","379.2","379.2","379.2","321.6","321.6","321.6","241.6","241.6","241.6","","","","","","","","","","","","","","","","","",""
"33857","376.75","376.75","376.75","332.05","332.05","332.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33859","","","","","","","188.7","188.7","188.7","373.1","373.1","373.1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33926","","","","","","","","","","","","","","","","","","","","","","514.9","514.9","514.9","474.85","474.85","474.85","376.3","376.3","376.3","422.45","422.45","422.45","475.15","475.15","475.15","473.85","473.85","473.85"
"33927","","","","","","","","","","","","","328.2","328.2","328.2","282.45","282.45","282.45","276","276","276","","","","","","","","","","","","","","","","","",""
"36259","188.15","188.15","188.15","235.35","235.35","235.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36261","","","","","","","421.55","421.55","421.55","325.35","325.35","325.35","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36332","","","","","","","","","","","","","","","","","","","","","","282.65","282.65","282.65","420","420","420","270.45","270.45","270.45","431.1","431.1","431.1","414.2","414.2","414.2","376.4","376.4","376.4"
"36334","","","","","","","","","","","","","415.25","415.25","415.25","420.2","420.2","420.2","422.4","422.4","422.4","","","","","","","","","","","","","","","","","",""
"38660","479.1","479.1","479.1","228.4","228.4","228.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38663","","","","","","","279.9","279.9","279.9","374.3","374.3","374.3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38738","","","","","","","","","","","","","","","","","","","","","","136.65","136.65","136.65","176.05","176.05","176.05","328.3","328.3","328.3","329.3","329.3","329.3","420.4","420.4","420.4","237","237","237"
"38740","","","","","","","","","","","","","663.55","663.55","663.55","375.3","375.3","375.3","417.6","417.6","417.6","","","","","","","","","","","","","","","","","",""
"41061","370.45","370.45","370.45","327.5","327.5","327.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41064","","","","","","","524.3","524.3","524.3","328.2","328.2","328.2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41145","","","","","","","","","","","","","","","","","","","","","","329.3","329.3","329.3","283.15","283.15","283.15","423.45","423.45","423.45","371.55","371.55","371.55","424","424","424","283.45","283.45","283.45"
"41146","","","","","","","","","","","","","468.15","468.15","468.15","328.7","328.7","328.7","467.6","467.6","467.6","","","","","","","","","","","","","","","","","",""
"43462","377.15","377.15","377.15","277","277","277","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43465","","","","","","","282.7","282.7","282.7","432.95","432.95","432.95","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43551","","","","","","","","","","","","","","","","","","","","","","175.7","175.7","175.7","422.7","422.7","422.7","221.45","221.45","221.45","376.9","376.9","376.9","376.05","376.05","376.05","233.45","233.45","233.45"
"43552","","","","","","","","","","","","","280.5","280.5","280.5","379.4","379.4","379.4","470.6","470.6","470.6","","","","","","","","","","","","","","","","","",""
"45863","479.1","479.1","479.1","472.45","472.45","472.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45866","","","","","","","178.3","178.3","178.3","423.95","423.95","423.95","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45957","","","","","","","","","","","","","","","","","","","","","","424.5","424.5","424.5","179.5","179.5","179.5","225.8","225.8","225.8","469.9","469.9","469.9","370.6","370.6","370.6","234.25","234.25","234.25"
"45958","","","","","","","","","","","","","468.2","468.2","468.2","330.6","330.6","330.6","425.55","425.55","425.55","","","","","","","","","","","","","","","","","",""
"48265","332.55","332.55","332.55","417.3","417.3","417.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48268","","","","","","","224.25","224.25","224.25","381.8","381.8","381.8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48363","","","","","","","","","","","","","","","","","","","","","","279.55","279.55","279.55","378.6","378.6","378.6","470.9","470.9","470.9","233.6","233.6","233.6","761.15","761.15","761.15","327.5","327.5","327.5"
"48365","","","","","","","","","","","","","229.9","229.9","229.9","327.2","327.2","327.2","420.6","420.6","420.6","","","","","","","","","","","","","","","","","",""
"50666","424.85","424.85","424.85","467.1","467.1","467.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50670","","","","","","","379.35","379.35","379.35","378.15","378.15","378.15","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50769","","","","","","","","","","","","","","","","","","","","","","277.2","277.2","277.2","327","327","327","424.7","424.7","424.7","280.45","280.45","280.45","329.25","329.25","329.25","467.35","467.35","467.35"
"50771","","","","","","","","","","","","","232.7","232.7","232.7","282.05","282.05","282.05","377.4","377.4","377.4","","","","","","","","","","","","","","","","","",""
"53067","422.55","422.55","422.55","519.85","519.85","519.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53071","","","","","","","140.65","140.65","140.65","320.75","320.75","320.75","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53175","","","","","","","","","","","","","","","","","","","","","","528.65","528.65","528.65","378.95","378.95","378.95","228.1","228.1","228.1","273.2","273.2","273.2","417.35","417.35","417.35","422.75","422.75","422.75"
"53177","","","","","","","","","","","","","420.25","420.25","420.25","419.95","419.95","419.95","712.15","712.15","712.15","","","","","","","","","","","","","","","","","",""
"55468","617.3","617.3","617.3","384.1","384.1","384.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55472","","","","","","","424.8","424.8","424.8","520.2","520.2","520.2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55581","","","","","","","","","","","","","","","","","","","","","","187.95","187.95","187.95","425.5","425.5","425.5","375.6","375.6","375.6","325.05","325.05","325.05","470.3","470.3","470.3","370.4","370.4","370.4"
"55583","","","","","","","","","","","","","665.55","665.55","665.55","618.55","618.55","618.55","520.35","520.35","520.35","","","","","","","","","","","","","","","","","",""
"57869","423.25","423.25","423.25","379.55","379.55","379.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57873","","","","","","","377.2","377.2","377.2","473.15","473.15","473.15","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57987","","","","","","","","","","","","","","","","","","","","","","519.25","519.25","519.25","325.5","325.5","325.5","373.25","373.25","373.25","276.75","276.75","276.75","280.75","280.75","280.75","518.9","518.9","518.9"
"57989","","","","","","","","","","","","","521.15","521.15","521.15","422.95","422.95","422.95","327.55","327.55","327.55","","","","","","","","","","","","","","","","","",""
"60271","435.3","435.3","435.3","517.35","517.35","517.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60275","","","","","","","229.75","229.75","229.75","569.5","569.5","569.5","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60394","","","","","","","","","","","","","","","","","","","","","","283.7","283.7","283.7","663","663","663","319.5","319.5","319.5","523.9","523.9","523.9","381","381","381","280.6","280.6","280.6"
"60396","","","","","","","","","","","","","373.35","373.35","373.35","519.45","519.45","519.45","275","275","275","","","","","","","","","","","","","","","","","",""
"62672","232.6","232.6","232.6","379.2","379.2","379.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62677","","","","","","","617.3","617.3","617.3","472.35","472.35","472.35","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62800","","","","","","","","","","","","","","","","","","","","","","322.35","322.35","322.35","421.3","421.3","421.3","280.1","280.1","280.1","272.65","272.65","272.65","324.8","324.8","324.8","335.4","335.4","335.4"
"62802","","","","","","","","","","","","","371","371","371","276.2","276.2","276.2","535.15","535.15","535.15","","","","","","","","","","","","","","","","","",""
"65073","276.95","276.95","276.95","573.05","573.05","573.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65078","","","","","","","512.3","512.3","512.3","236.8","236.8","236.8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65206","","","","","","","","","","","","","","","","","","","","","","326.35","326.35","326.35","371.95","371.95","371.95","234.55","234.55","234.55","423.8","423.8","423.8","521.55","521.55","521.55","369.25","369.25","369.25"
"65208","","","","","","","","","","","","","374.9","374.9","374.9","574.05","574.05","574.05","528.1","528.1","528.1","","","","","","","","","","","","","","","","","",""
"67474","429.05","429.05","429.05","278.2","278.2","278.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67479","","","","","","","326.2","326.2","326.2","326.3","326.3","326.3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67612","","","","","","","","","","","","","","","","","","","","","","","","","419.2","419.2","419.2","284.95","284.95","284.95","228.1","228.1","228.1","565.2","565.2","565.2","419.05","419.05","419.05"
"67614","","","","","","","","","","","","","419.5","419.5","419.5","369.4","369.4","369.4","572.9","572.9","572.9","","","","","","","","","","","","","","","","","",""
"69875","373.95","373.95","373.95","472.55","472.55","472.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69880","","","","","","","471.85","471.85","471.85","328.7","328.7","328.7","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70018","","","","","","","","","","","","","","","","","","","","","","","","","333.4","333.4","333.4","420.85","420.85","420.85","422.75","422.75","422.75","329.15","329.15","329.15","568.3","568.3","568.3"
"70020","","","","","","","","","","","","","183.65","183.65","183.65","325.7","325.7","325.7","326.3","326.3","326.3","","","","","","","","","","","","","","","","","",""
"72424","","","","","","","","","","","","","","","","","","","","","","","","","613.95","613.95","613.95","421.65","421.65","421.65","522.5","522.5","522.5","378.5","378.5","378.5","475.3","475.3","475.3"
"74830","","","","","","","","","","","","","","","","","","","","","","","","","427.95","427.95","427.95","422.35","422.35","422.35","373.25","373.25","373.25","","","","230.05","230.05","230.05"
"77236","","","","","","","","","","","","","","","","","","","","","","","","","423.95","423.95","423.95","424.25","424.25","424.25","467.1","467.1","467.1","","","","282.4","282.4","282.4"
"79642","","","","","","","","","","","","","","","","","","","","","","","","","278.6","278.6","278.6","276.05","276.05","276.05","420","420","420","","","","333.45","333.45","333.45"
"82049","","","","","","","","","","","","","","","","","","","","","","","","","327.4","327.4","327.4","231.4","231.4","231.4","325.9","325.9","325.9","","","","324.45","324.45","324.45"
"84455","","","","","","","","","","","","","","","","","","","","","","","","","567.6","567.6","567.6","420.25","420.25","420.25","375.4","375.4","375.4","","","","340.25","340.25","340.25"
"86861","","","","","","","","","","","","","","","","","","","","","","","","","231","231","231","184.3","184.3","184.3","519.8","519.8","519.8","","","","229.55","229.55","229.55"
"89267","","","","","","","","","","","","","","","","","","","","","","","","","424.6","424.6","424.6","371.4","371.4","371.4","226.7","226.7","226.7","","","","668.25","668.25","668.25"
"91673","","","","","","","","","","","","","","","","","","","","","","","","","428.2","428.2","428.2","376.2","376.2","376.2","370","370","370","","","","323.2","323.2","323.2"
"94079","","","","","","","","","","","","","","","","","","","","","","","","","376.35","376.35","376.35","370.65","370.65","370.65","225.8","225.8","225.8","","","","182.05","182.05","182.05"
"96485","","","","","","","","","","","","","","","","","","","","","","","","","226.2","226.2","226.2","422.6","422.6","422.6","284.4","284.4","284.4","","","","519.45","519.45","519.45"
"98891","","","","","","","","","","","","","","","","","","","","","","","","","231.45","231.45","231.45","423","423","423","133.3","133.3","133.3","","","","469.05","469.05","469.05"
"101298","","","","","","","","","","","","","","","","","","","","","","","","","228.65","228.65","228.65","326.75","326.75","326.75","516.8","516.8","516.8","","","","420.4","420.4","420.4"
"103704","","","","","","","","","","","","","","","","","","","","","","","","","371.1","371.1","371.1","419.5","419.5","419.5","427.2","427.2","427.2","","","","182.8","182.8","182.8"
"106110","","","","","","","","","","","","","","","","","","","","","","","","","377.5","377.5","377.5","329.3","329.3","329.3","275.25","275.25","275.25","","","","425.25","425.25","425.25"
"108516","","","","","","","","","","","","","","","","","","","","","","","","","475.6","475.6","475.6","276.9","276.9","276.9","371.05","371.05","371.05","","","","520.85","520.85","520.85"
"110922","","","","","","","","","","","","","","","","","","","","","","","","","332.2","332.2","332.2","420.4","420.4","420.4","373.8","373.8","373.8","","","","612.85","612.85","612.85"
"113328","","","","","","","","","","","","","","","","","","","","","","","","","327.45","327.45","327.45","426.1","426.1","426.1","324.25","324.25","324.25","","","","327.55","327.55","327.55"
"115734","","","","","","","","","","","","","","","","","","","","","","","","","323.55","323.55","323.55","626.9","626.9","626.9","373.75","373.75","373.75","","","","279.15","279.15","279.15"
"118140","","","","","","","","","","","","","","","","","","","","","","","","","228.15","228.15","228.15","373.15","373.15","373.15","567.1","567.1","567.1","","","","277.6","277.6","277.6"
