"Step","sunny-valley-620 - test len","sunny-valley-620 - test len__MIN","sunny-valley-620 - test len__MAX","royal-moon-603 - test len","royal-moon-603 - test len__MIN","royal-moon-603 - test len__MAX","sage-plasma-504 - test len","sage-plasma-504 - test len__MIN","sage-plasma-504 - test len__MAX","sleek-frost-502 - test len","sleek-frost-502 - test len__MIN","sleek-frost-502 - test len__MAX","earthy-shadow-459 - test len","earthy-shadow-459 - test len__MIN","earthy-shadow-459 - test len__MAX","ethereal-forest-458 - test len","ethereal-forest-458 - test len__MIN","ethereal-forest-458 - test len__MAX","drawn-monkey-457 - test len","drawn-monkey-457 - test len__MIN","drawn-monkey-457 - test len__MAX","trim-breeze-456 - test len","trim-breeze-456 - test len__MIN","trim-breeze-456 - test len__MAX","curious-resonance-455 - test len","curious-resonance-455 - test len__MIN","curious-resonance-455 - test len__MAX","rose-disco-454 - test len","rose-disco-454 - test len__MIN","rose-disco-454 - test len__MAX","wise-rain-453 - test len","wise-rain-453 - test len__MIN","wise-rain-453 - test len__MAX","vocal-butterfly-452 - test len","vocal-butterfly-452 - test len__MIN","vocal-butterfly-452 - test len__MAX","denim-tree-451 - test len","denim-tree-451 - test len__MIN","denim-tree-451 - test len__MAX","upbeat-hill-263 - test len","upbeat-hill-263 - test len__MIN","upbeat-hill-263 - test len__MAX"
"27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.56666666666667","36.56666666666667","36.56666666666667"
"64","","","","","","","","","","","","","368.6666666666667","368.6666666666667","368.6666666666667","433.7","433.7","433.7","397.6666666666667","397.6666666666667","397.6666666666667","502.6","502.6","502.6","553.2666666666667","553.2666666666667","553.2666666666667","515.6666666666666","515.6666666666666","515.6666666666666","527.6333333333333","527.6333333333333","527.6333333333333","276.6666666666667","276.6666666666667","276.6666666666667","398.7","398.7","398.7","","",""
"280","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.86666666666666","69.86666666666666","69.86666666666666"
"424","587.0333333333333","587.0333333333333","587.0333333333333","452.3666666666667","452.3666666666667","452.3666666666667","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"533","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","135.63333333333333","135.63333333333333","135.63333333333333"
"564","","","","","","","317.03333333333336","317.03333333333336","317.03333333333336","485.2","485.2","485.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"675","","","","","","","","","","","","","662.4666666666667","662.4666666666667","662.4666666666667","584.3666666666667","584.3666666666667","584.3666666666667","469.6666666666667","469.6666666666667","469.6666666666667","414.8666666666667","414.8666666666667","414.8666666666667","407.03333333333336","407.03333333333336","407.03333333333336","463.6","463.6","463.6","545.8","545.8","545.8","573.3","573.3","573.3","475.73333333333335","475.73333333333335","475.73333333333335","","",""
"808","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","197.16666666666666","197.16666666666666","197.16666666666666"
"1091","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","258.6666666666667","258.6666666666667","258.6666666666667"
"1286","","","","","","","","","","","","","435.26666666666665","435.26666666666665","435.26666666666665","489.43333333333334","489.43333333333334","489.43333333333334","365.8333333333333","365.8333333333333","365.8333333333333","540.2666666666667","540.2666666666667","540.2666666666667","381.76666666666665","381.76666666666665","381.76666666666665","567.3","567.3","567.3","567","567","567","596.7","596.7","596.7","435.93333333333334","435.93333333333334","435.93333333333334","","",""
"1384","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","134.3","134.3","134.3"
"1727","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","363.46666666666664","363.46666666666664","363.46666666666664"
"1897","","","","","","","","","","","","","460.3","460.3","460.3","285.26666666666665","285.26666666666665","285.26666666666665","392.2","392.2","392.2","497.1666666666667","497.1666666666667","497.1666666666667","502.43333333333334","502.43333333333334","502.43333333333334","467.5","467.5","467.5","355.43333333333334","355.43333333333334","355.43333333333334","540.1333333333333","540.1333333333333","540.1333333333333","478.8","478.8","478.8","","",""
"2070","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","294","294","294"
"2435","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","231.76666666666668","231.76666666666668","231.76666666666668"
"2508","","","","","","","","","","","","","351.1666666666667","351.1666666666667","351.1666666666667","495.03333333333336","495.03333333333336","495.03333333333336","232.4","232.4","232.4","499.4","499.4","499.4","424.1333333333333","424.1333333333333","424.1333333333333","480.43333333333334","480.43333333333334","480.43333333333334","423.06666666666666","423.06666666666666","423.06666666666666","413.5","413.5","413.5","411.8666666666667","411.8666666666667","411.8666666666667","","",""
"2808","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331.6333333333333","331.6333333333333","331.6333333333333"
"3123","","","","","","","","","","","","","350","350","350","537.1666666666666","537.1666666666666","537.1666666666666","429.8666666666667","429.8666666666667","429.8666666666667","463.6666666666667","463.6666666666667","463.6666666666667","433.7","433.7","433.7","414.2","414.2","414.2","428.53333333333336","428.53333333333336","428.53333333333336","529.7666666666667","529.7666666666667","529.7666666666667","426.73333333333335","426.73333333333335","426.73333333333335","","",""
"3191","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","391.6333333333333","391.6333333333333","391.6333333333333"
"3624","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","232.53333333333333","232.53333333333333","232.53333333333333"
"3734","","","","","","","","","","","","","435.3333333333333","435.3333333333333","435.3333333333333","364.3333333333333","364.3333333333333","364.3333333333333","381.3","381.3","381.3","464.76666666666665","464.76666666666665","464.76666666666665","471.8333333333333","471.8333333333333","471.8333333333333","494.6333333333333","494.6333333333333","494.6333333333333","549.4333333333333","549.4333333333333","549.4333333333333","599.5666666666667","599.5666666666667","599.5666666666667","400.4","400.4","400.4","","",""
"4057","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","330.06666666666666","330.06666666666666","330.06666666666666"
"4345","","","","","","","","","","","","","423.9","423.9","423.9","335.26666666666665","335.26666666666665","335.26666666666665","472.73333333333335","472.73333333333335","472.73333333333335","473.43333333333334","473.43333333333334","473.43333333333334","363.3333333333333","363.3333333333333","363.3333333333333","499.7","499.7","499.7","551.2666666666667","551.2666666666667","551.2666666666667","437.4","437.4","437.4","547.0666666666667","547.0666666666667","547.0666666666667","","",""
"4530","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","484.6666666666667","484.6666666666667","484.6666666666667"
"4640","646.4666666666667","646.4666666666667","646.4666666666667","583.2","583.2","583.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4956","","","","","","","","","","","","","434.6333333333333","434.6333333333333","434.6333333333333","610.9666666666667","610.9666666666667","610.9666666666667","588.7","588.7","588.7","441.5","441.5","441.5","437.4","437.4","437.4","473.46666666666664","473.46666666666664","473.46666666666664","601.5333333333333","601.5333333333333","601.5333333333333","561.2333333333333","561.2333333333333","561.2333333333333","535.3666666666667","535.3666666666667","535.3666666666667","","",""
"5023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","391.73333333333335","391.73333333333335","391.73333333333335"
"5523","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","456.26666666666665","456.26666666666665","456.26666666666665"
"5567","","","","","","","","","","","","","377.6","377.6","377.6","467.96666666666664","467.96666666666664","467.96666666666664","468.7","468.7","468.7","348.7","348.7","348.7","504.7","504.7","504.7","508.3666666666667","508.3666666666667","508.3666666666667","459.03333333333336","459.03333333333336","459.03333333333336","496.3","496.3","496.3","557.7666666666667","557.7666666666667","557.7666666666667","","",""
"6046","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","489.76666666666665","489.76666666666665","489.76666666666665"
"6175","","","","","","","454.3","454.3","454.3","581.6","581.6","581.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
