"Step","drawn-fog-371 - test reward","drawn-fog-371 - test reward__MIN","drawn-fog-371 - test reward__MAX","autumn-shape-368 - test reward","autumn-shape-368 - test reward__MIN","autumn-shape-368 - test reward__MAX","rich-music-273 - test reward","rich-music-273 - test reward__MIN","rich-music-273 - test reward__MAX","peach-terrain-245 - test reward","peach-terrain-245 - test reward__MIN","peach-terrain-245 - test reward__MAX","light-river-271 - test reward","light-river-271 - test reward__MIN","light-river-271 - test reward__MAX","whole-rain-272 - test reward","whole-rain-272 - test reward__MIN","whole-rain-272 - test reward__MAX"
"7","","","","","","","","","","18.95977507852256","18.95977507852256","18.95977507852256","","","","","",""
"8","","","","","","","12.015423442581913","12.015423442581913","12.015423442581913","","","","16.544159427828255","16.544159427828255","16.544159427828255","16.60053548542385","16.60053548542385","16.60053548542385"
"23","21.167850505709428","21.167850505709428","21.167850505709428","","","","","","","","","","","","","","",""
"24","","","","20.882943629731194","20.882943629731194","20.882943629731194","","","","","","","","","","","",""
"69","","","","","","","","","","20.1545644646791","20.1545644646791","20.1545644646791","","","","","",""
"70","","","","","","","20.09832641264404","20.09832641264404","20.09832641264404","","","","","","","19.79457537610154","19.79457537610154","19.79457537610154"
"131","","","","","","","","","","100.36269815346047","100.36269815346047","100.36269815346047","","","","","",""
"132","","","","","","","24.669534721780643","24.669534721780643","24.669534721780643","","","","","","","60.27090117596894","60.27090117596894","60.27090117596894"
"193","","","","","","","","","","105.47024389135102","105.47024389135102","105.47024389135102","","","","","",""
"194","","","","","","","97.06781119987303","97.06781119987303","97.06781119987303","","","","","","","99.63579241916189","99.63579241916189","99.63579241916189"
"245","18.254661592284194","18.254661592284194","18.254661592284194","","","","","","","","","","","","","","",""
"255","","","","","","","","","","61.652669193145655","61.652669193145655","61.652669193145655","","","","","",""
"256","","","","","","","100.29789894354421","100.29789894354421","100.29789894354421","","","","","","","258.12401868807893","258.12401868807893","258.12401868807893"
"317","","","","","","","","","","100.14303859283169","100.14303859283169","100.14303859283169","","","","","",""
"319","","","","","","","53.19525354548357","53.19525354548357","53.19525354548357","","","","","","","132.69697714542613","132.69697714542613","132.69697714542613"
