"Step","prime-terrain-188 - test reward","prime-terrain-188 - test reward__MIN","prime-terrain-188 - test reward__MAX","splendid-valley-369 - test reward","splendid-valley-369 - test reward__MIN","splendid-valley-369 - test reward__MAX","zesty-fog-370 - test reward","zesty-fog-370 - test reward__MIN","zesty-fog-370 - test reward__MAX"
"6","17.977312010382214","17.977312010382214","17.977312010382214","","","","","",""
"23","","","","","","","17.190051176045436","17.190051176045436","17.190051176045436"
"24","","","","15.804681632048652","15.804681632048652","15.804681632048652","","",""
"49","18.039349088452777","18.039349088452777","18.039349088452777","","","","","",""
"92","17.758776094184814","17.758776094184814","17.758776094184814","","","","","",""
"135","20.857751608334585","20.857751608334585","20.857751608334585","","","","","",""
"178","17.921564688462546","17.921564688462546","17.921564688462546","","","","","",""
"221","16.17509839025559","16.17509839025559","16.17509839025559","","","","","",""
"245","","","","","","","21.170019494330823","21.170019494330823","21.170019494330823"
"264","23.957988797997395","23.957988797997395","23.957988797997395","","","","","",""
"307","19.159025534705012","19.159025534705012","19.159025534705012","","","","","",""
"350","21.070635277718665","21.070635277718665","21.070635277718665","","","","","",""
"393","17.54472454105034","17.54472454105034","17.54472454105034","","","","","",""
"436","12.969183826913905","12.969183826913905","12.969183826913905","","","","","",""
"467","","","","","","","18.98178958385889","18.98178958385889","18.98178958385889"
"479","16.450643609827097","16.450643609827097","16.450643609827097","","","","","",""
"522","15.474306167626603","15.474306167626603","15.474306167626603","","","","","",""
"565","20.28363619858388","20.28363619858388","20.28363619858388","","","","","",""
"608","17.81156899117484","17.81156899117484","17.81156899117484","","","","","",""
"651","18.404939179997395","18.404939179997395","18.404939179997395","","","","","",""
"689","","","","","","","20.41931223712454","20.41931223712454","20.41931223712454"
"694","24.230853152127494","24.230853152127494","24.230853152127494","","","","","",""
"737","22.928799759189086","22.928799759189086","22.928799759189086","","","","","",""
"780","16.83863615540202","16.83863615540202","16.83863615540202","","","","","",""
"823","19.401062432059135","19.401062432059135","19.401062432059135","","","","","",""
"866","19.691136610175622","19.691136610175622","19.691136610175622","","","","","",""
"909","16.525000543725614","16.525000543725614","16.525000543725614","","","","","",""
"911","","","","","","","19.726584156410844","19.726584156410844","19.726584156410844"
"952","26.0965225356256","26.0965225356256","26.0965225356256","","","","","",""
"995","20.273825038342032","20.273825038342032","20.273825038342032","","","","","",""
"1038","21.4096345011879","21.4096345011879","21.4096345011879","","","","","",""
"1081","19.008755433724684","19.008755433724684","19.008755433724684","","","","","",""
"1124","19.20491133853579","19.20491133853579","19.20491133853579","","","","","",""
"1133","","","","","","","14.744783263078824","14.744783263078824","14.744783263078824"
"1167","23.85509229395417","23.85509229395417","23.85509229395417","","","","","",""
"1210","20.582735145847472","20.582735145847472","20.582735145847472","","","","","",""
"1253","26.998273313649793","26.998273313649793","26.998273313649793","","","","","",""
"1296","20.614750111579664","20.614750111579664","20.614750111579664","","","","","",""
"1339","18.88517686457721","18.88517686457721","18.88517686457721","","","","","",""
"1355","","","","","","","23.720095621212984","23.720095621212984","23.720095621212984"
"1382","19.09053621229004","19.09053621229004","19.09053621229004","","","","","",""
"1425","23.60720562098932","23.60720562098932","23.60720562098932","","","","","",""
"1468","18.93630401548119","18.93630401548119","18.93630401548119","","","","","",""
"1577","","","","","","","16.028068885326572","16.028068885326572","16.028068885326572"
"1799","","","","","","","18.603324365889044","18.603324365889044","18.603324365889044"
"2021","","","","","","","15.77864736113366","15.77864736113366","15.77864736113366"
"2243","","","","","","","36.71726039871001","36.71726039871001","36.71726039871001"
"2465","","","","","","","18.934273613983528","18.934273613983528","18.934273613983528"
"2687","","","","","","","16.477571935949644","16.477571935949644","16.477571935949644"
"2909","","","","","","","22.766752120971773","22.766752120971773","22.766752120971773"
"3131","","","","","","","149.27425797177327","149.27425797177327","149.27425797177327"
"3353","","","","","","","138.50723412613885","138.50723412613885","138.50723412613885"
"3575","","","","","","","15.706679550089053","15.706679550089053","15.706679550089053"
"3797","","","","","","","23.028184634737634","23.028184634737634","23.028184634737634"
"4019","","","","","","","195.80922377901172","195.80922377901172","195.80922377901172"
"4241","","","","","","","62.34808396252129","62.34808396252129","62.34808396252129"
"4463","","","","","","","61.772955371894604","61.772955371894604","61.772955371894604"
"4685","","","","","","","63.87823872807676","63.87823872807676","63.87823872807676"
