"Step","lucky-breeze-189 - test reward","lucky-breeze-189 - test reward__MIN","lucky-breeze-189 - test reward__MAX","olive-wildflower-372 - test reward","olive-wildflower-372 - test reward__MIN","olive-wildflower-372 - test reward__MAX","dark-lake-367 - test reward","dark-lake-367 - test reward__MIN","dark-lake-367 - test reward__MAX"
"6","19.444809552949074","19.444809552949074","19.444809552949074","","","","","",""
"23","","","","17.570106565372356","17.570106565372356","17.570106565372356","","",""
"24","","","","","","","14.402186062459625","14.402186062459625","14.402186062459625"
"49","17.689504508773908","17.689504508773908","17.689504508773908","","","","","",""
"92","18.32400800914762","18.32400800914762","18.32400800914762","","","","","",""
"135","30.716301869362574","30.716301869362574","30.716301869362574","","","","","",""
"178","15.3242026739957","15.3242026739957","15.3242026739957","","","","","",""
"221","15.120231954175168","15.120231954175168","15.120231954175168","","","","","",""
"245","","","","20.78179184602643","20.78179184602643","20.78179184602643","","",""
"264","19.695994070648197","19.695994070648197","19.695994070648197","","","","","",""
"307","38.14629331423191","38.14629331423191","38.14629331423191","","","","","",""
"350","23.736102587034676","23.736102587034676","23.736102587034676","","","","","",""
"393","19.678754608334003","19.678754608334003","19.678754608334003","","","","","",""
"436","17.269619409534123","17.269619409534123","17.269619409534123","","","","","",""
"467","","","","147.56043367552354","147.56043367552354","147.56043367552354","","",""
"479","33.52417819095693","33.52417819095693","33.52417819095693","","","","","",""
"522","57.807821924042194","57.807821924042194","57.807821924042194","","","","","",""
"565","108.57699893035556","108.57699893035556","108.57699893035556","","","","","",""
"608","19.82514956549322","19.82514956549322","19.82514956549322","","","","","",""
"651","55.8348379111909","55.8348379111909","55.8348379111909","","","","","",""
"689","","","","190.65377572681615","190.65377572681615","190.65377572681615","","",""
"694","26.349157886403617","26.349157886403617","26.349157886403617","","","","","",""
"737","59.369304757242254","59.369304757242254","59.369304757242254","","","","","",""
"780","154.60845217675006","154.60845217675006","154.60845217675006","","","","","",""
"823","104.91397262263717","104.91397262263717","104.91397262263717","","","","","",""
"866","144.08062030218346","144.08062030218346","144.08062030218346","","","","","",""
"909","106.10827223105215","106.10827223105215","106.10827223105215","","","","","",""
"911","","","","186.00923608824053","186.00923608824053","186.00923608824053","","",""
"952","18.60697746124554","18.60697746124554","18.60697746124554","","","","","",""
"995","107.24124855998704","107.24124855998704","107.24124855998704","","","","","",""
"1038","108.77397848280785","108.77397848280785","108.77397848280785","","","","","",""
"1081","104.50459536555448","104.50459536555448","104.50459536555448","","","","","",""
"1124","151.1444573861043","151.1444573861043","151.1444573861043","","","","","",""
"1133","","","","245.57108997671494","245.57108997671494","245.57108997671494","","",""
"1167","146.53900522124624","146.53900522124624","146.53900522124624","","","","","",""
"1210","101.67456095092783","101.67456095092783","101.67456095092783","","","","","",""
"1253","147.01689721663962","147.01689721663962","147.01689721663962","","","","","",""
"1296","97.2585582145053","97.2585582145053","97.2585582145053","","","","","",""
"1339","154.6792152495654","154.6792152495654","154.6792152495654","","","","","",""
"1355","","","","157.53924760680098","157.53924760680098","157.53924760680098","","",""
"1382","111.0668335325212","111.0668335325212","111.0668335325212","","","","","",""
"1425","149.65235617340278","149.65235617340278","149.65235617340278","","","","","",""
"1468","235.35757521247655","235.35757521247655","235.35757521247655","","","","","",""
"1577","","","","191.09905343085845","191.09905343085845","191.09905343085845","","",""
"1799","","","","106.468507097206","106.468507097206","106.468507097206","","",""
"2021","","","","321.78679156661804","321.78679156661804","321.78679156661804","","",""
"2243","","","","106.1195206450142","106.1195206450142","106.1195206450142","","",""
"2465","","","","109.4652201856813","109.4652201856813","109.4652201856813","","",""
"2687","","","","108.94304359904424","108.94304359904424","108.94304359904424","","",""
"2909","","","","106.1855305337369","106.1855305337369","106.1855305337369","","",""
"3131","","","","194.36942744562754","194.36942744562754","194.36942744562754","","",""
"3353","","","","242.68055633378282","242.68055633378282","242.68055633378282","","",""
"3575","","","","231.3717456099063","231.3717456099063","231.3717456099063","","",""
"3797","","","","235.98668536308463","235.98668536308463","235.98668536308463","","",""
"4019","","","","107.83941032010746","107.83941032010746","107.83941032010746","","",""
"4241","","","","145.48529111152342","145.48529111152342","145.48529111152342","","",""
"4463","","","","102.56687025611384","102.56687025611384","102.56687025611384","","",""
"4685","","","","364.84614471108483","364.84614471108483","364.84614471108483","","",""
"4907","","","","144.82671593204535","144.82671593204535","144.82671593204535","","",""
