"Step","peach-terrain-245 - test reward","peach-terrain-245 - test reward__MIN","peach-terrain-245 - test reward__MAX"
"7","18.95977507852256","18.95977507852256","18.95977507852256"
"69","20.1545644646791","20.1545644646791","20.1545644646791"
"131","100.36269815346047","100.36269815346047","100.36269815346047"
"193","105.47024389135102","105.47024389135102","105.47024389135102"
"255","61.652669193145655","61.652669193145655","61.652669193145655"
"317","100.14303859283169","100.14303859283169","100.14303859283169"
"379","99.22907706468472","99.22907706468472","99.22907706468472"
"441","236.51385994543938","236.51385994543938","236.51385994543938"
"503","232.49810595465027","232.49810595465027","232.49810595465027"
"565","148.92798001324607","148.92798001324607","148.92798001324607"
"627","109.59036714384146","109.59036714384146","109.59036714384146"
"689","233.04968236178925","233.04968236178925","233.04968236178925"
"751","224.95377369321713","224.95377369321713","224.95377369321713"
"813","187.39044657409116","187.39044657409116","187.39044657409116"
"875","316.69808808167744","316.69808808167744","316.69808808167744"
"937","59.04017903895796","59.04017903895796","59.04017903895796"
"999","231.2327888899788","231.2327888899788","231.2327888899788"
"1061","190.05405506323444","190.05405506323444","190.05405506323444"
"1123","281.21400812661216","281.21400812661216","281.21400812661216"
"1185","320.57822982455843","320.57822982455843","320.57822982455843"
"1247","183.56034880480541","183.56034880480541","183.56034880480541"
"1309","358.65804453340303","358.65804453340303","358.65804453340303"
"1371","186.4281633579018","186.4281633579018","186.4281633579018"
"1433","318.77825579769285","318.77825579769285","318.77825579769285"
"1495","188.96560247123116","188.96560247123116","188.96560247123116"
"1557","236.70383128830605","236.70383128830605","236.70383128830605"
"1619","364.17353997998833","364.17353997998833","364.17353997998833"
"1681","191.9404764449416","191.9404764449416","191.9404764449416"
"1743","360.61454354710156","360.61454354710156","360.61454354710156"
"1805","236.29645678800958","236.29645678800958","236.29645678800958"
"1867","229.0569844726894","229.0569844726894","229.0569844726894"
"1929","405.77814324639365","405.77814324639365","405.77814324639365"
"1991","367.6830516835033","367.6830516835033","367.6830516835033"
"2053","184.74367160460602","184.74367160460602","184.74367160460602"
"2115","271.63319059445723","271.63319059445723","271.63319059445723"
"2177","317.3666637113308","317.3666637113308","317.3666637113308"
"2239","152.53148379642343","152.53148379642343","152.53148379642343"
"2301","274.70298930914","274.70298930914","274.70298930914"
"2363","185.68056866796502","185.68056866796502","185.68056866796502"
"2425","275.49423498104045","275.49423498104045","275.49423498104045"
"2487","279.514278808408","279.514278808408","279.514278808408"
"2549","232.6616689894628","232.6616689894628","232.6616689894628"
"2611","360.02915769850586","360.02915769850586","360.02915769850586"
"2673","524.8253026717667","524.8253026717667","524.8253026717667"
"2735","232.15215694767116","232.15215694767116","232.15215694767116"
