"Step","wandering-mountain-242 - test reward","wandering-mountain-242 - test reward__MIN","wandering-mountain-242 - test reward__MAX","revived-dawn-237 - test reward","revived-dawn-237 - test reward__MIN","revived-dawn-237 - test reward__MAX","royal-disco-223 - test reward","royal-disco-223 - test reward__MIN","royal-disco-223 - test reward__MAX"
"5","","","","20.15563642622887","20.15563642622887","20.15563642622887","22.257007474213108","22.257007474213108","22.257007474213108"
"7","19.3974965293379","19.3974965293379","19.3974965293379","","","","","",""
"47","","","","19.262043373342618","19.262043373342618","19.262043373342618","19.35662635475419","19.35662635475419","19.35662635475419"
"69","21.28455037478476","21.28455037478476","21.28455037478476","","","","","",""
"89","","","","21.661058830478158","21.661058830478158","21.661058830478158","20.820792526657474","20.820792526657474","20.820792526657474"
"131","102.00140971991634","102.00140971991634","102.00140971991634","17.787036557030397","17.787036557030397","17.787036557030397","16.116308447082734","16.116308447082734","16.116308447082734"
"173","","","","26.160260156060907","26.160260156060907","26.160260156060907","27.4271274286351","27.4271274286351","27.4271274286351"
"193","144.38577035671725","144.38577035671725","144.38577035671725","","","","","",""
"215","","","","16.703059924217218","16.703059924217218","16.703059924217218","14.353581255919655","14.353581255919655","14.353581255919655"
"255","321.00896448912226","321.00896448912226","321.00896448912226","","","","","",""
"257","","","","103.33527444758961","103.33527444758961","103.33527444758961","30.640413715855903","30.640413715855903","30.640413715855903"
"299","","","","100.88885660097642","100.88885660097642","100.88885660097642","146.40766404517882","146.40766404517882","146.40766404517882"
"317","357.47239144465277","357.47239144465277","357.47239144465277","","","","","",""
"341","","","","229.44394715177054","229.44394715177054","229.44394715177054","143.336453216054","143.336453216054","143.336453216054"
"379","192.5420994523861","192.5420994523861","192.5420994523861","","","","","",""
"383","","","","58.894555587009755","58.894555587009755","58.894555587009755","186.73500784536947","186.73500784536947","186.73500784536947"
"425","","","","316.3938510605351","316.3938510605351","316.3938510605351","155.2815381846849","155.2815381846849","155.2815381846849"
"441","188.07187550237512","188.07187550237512","188.07187550237512","","","","","",""
"467","","","","226.45195312629093","226.45195312629093","226.45195312629093","140.30748923984305","140.30748923984305","140.30748923984305"
"503","357.6345913594717","357.6345913594717","357.6345913594717","","","","","",""
"509","","","","191.28590590510038","191.28590590510038","191.28590590510038","148.2891162792082","148.2891162792082","148.2891162792082"
"551","","","","185.0438603970609","185.0438603970609","185.0438603970609","60.36735254097755","60.36735254097755","60.36735254097755"
"565","318.72597940577714","318.72597940577714","318.72597940577714","","","","","",""
"593","","","","187.1849678202393","187.1849678202393","187.1849678202393","19.1956794236444","19.1956794236444","19.1956794236444"
"627","403.79962831258877","403.79962831258877","403.79962831258877","","","","","",""
"635","","","","191.974651876995","191.974651876995","191.974651876995","188.6700616415527","188.6700616415527","188.6700616415527"
"677","","","","359.5174240715809","359.5174240715809","359.5174240715809","190.9845247987821","190.9845247987821","190.9845247987821"
"689","401.76159274098035","401.76159274098035","401.76159274098035","","","","","",""
"719","","","","195.88055142231804","195.88055142231804","195.88055142231804","100.84211916924735","100.84211916924735","100.84211916924735"
"751","318.40841855884","318.40841855884","318.40841855884","","","","","",""
"761","","","","237.11983172758354","237.11983172758354","237.11983172758354","106.30685797602118","106.30685797602118","106.30685797602118"
"803","","","","275.33247062802855","275.33247062802855","275.33247062802855","152.04329973665216","152.04329973665216","152.04329973665216"
"813","317.05452433594166","317.05452433594166","317.05452433594166","","","","","",""
"845","","","","149.73960387615358","149.73960387615358","149.73960387615358","20.295116656216738","20.295116656216738","20.295116656216738"
"875","232.07640304565666","232.07640304565666","232.07640304565666","","","","","",""
"887","","","","234.06987795278832","234.06987795278832","234.06987795278832","233.76062347180837","233.76062347180837","233.76062347180837"
"929","","","","364.2309890092217","364.2309890092217","364.2309890092217","192.08646482896165","192.08646482896165","192.08646482896165"
"937","228.18100977818258","228.18100977818258","228.18100977818258","","","","","",""
"971","","","","236.01854446848864","236.01854446848864","236.01854446848864","189.05208248991653","189.05208248991653","189.05208248991653"
"999","104.88212114145065","104.88212114145065","104.88212114145065","","","","","",""
"1013","","","","190.30396279647027","190.30396279647027","190.30396279647027","193.23985767158416","193.23985767158416","193.23985767158416"
"1055","","","","186.5364623017479","186.5364623017479","186.5364623017479","145.33852992239105","145.33852992239105","145.33852992239105"
"1061","492.8433624814952","492.8433624814952","492.8433624814952","","","","","",""
"1097","","","","64.2168536601892","64.2168536601892","64.2168536601892","188.2600107768984","188.2600107768984","188.2600107768984"
"1123","365.2520214068151","365.2520214068151","365.2520214068151","","","","","",""
"1139","","","","145.35431311455554","145.35431311455554","145.35431311455554","400.25062710426016","400.25062710426016","400.25062710426016"
"1181","","","","275.2241878352612","275.2241878352612","275.2241878352612","315.67650107205714","315.67650107205714","315.67650107205714"
"1185","189.92472218354834","189.92472218354834","189.92472218354834","","","","","",""
"1223","","","","402.11338839699897","402.11338839699897","402.11338839699897","97.07402141913327","97.07402141913327","97.07402141913327"
"1247","141.67585166747045","141.67585166747045","141.67585166747045","","","","","",""
"1265","","","","101.84226129427185","101.84226129427185","101.84226129427185","229.5948432520871","229.5948432520871","229.5948432520871"
"1307","","","","318.80245405085617","318.80245405085617","318.80245405085617","186.56095507360675","186.56095507360675","186.56095507360675"
"1309","228.65284290614144","228.65284290614144","228.65284290614144","","","","","",""
"1349","","","","232.51863292317867","232.51863292317867","232.51863292317867","187.49101991969684","187.49101991969684","187.49101991969684"
"1371","367.2847708316034","367.2847708316034","367.2847708316034","","","","","",""
"1391","","","","226.39625564719444","226.39625564719444","226.39625564719444","232.0100869494695","232.0100869494695","232.0100869494695"
