"Step","copper-darkness-244 - test reward","copper-darkness-244 - test reward__MIN","copper-darkness-244 - test reward__MAX","cool-thunder-238 - test reward","cool-thunder-238 - test reward__MIN","cool-thunder-238 - test reward__MAX","laced-surf-225 - test reward","laced-surf-225 - test reward__MIN","laced-surf-225 - test reward__MAX"
"5","","","","19.95343174514777","19.95343174514777","19.95343174514777","19.521625212305175","19.521625212305175","19.521625212305175"
"7","17.277047308752877","17.277047308752877","17.277047308752877","","","","","",""
"47","","","","15.091050024146316","15.091050024146316","15.091050024146316","19.774449220486996","19.774449220486996","19.774449220486996"
"69","16.39515271873075","16.39515271873075","16.39515271873075","","","","","",""
"89","","","","21.432132367271365","21.432132367271365","21.432132367271365","20.80587689341896","20.80587689341896","20.80587689341896"
"131","20.87137462367178","20.87137462367178","20.87137462367178","20.196280841509676","20.196280841509676","20.196280841509676","16.392477220253262","16.392477220253262","16.392477220253262"
"173","","","","","","","29.16546593797189","29.16546593797189","29.16546593797189"
"193","103.78403831511503","103.78403831511503","103.78403831511503","","","","","",""
"215","","","","","","","23.481806224288995","23.481806224288995","23.481806224288995"
"255","192.3605333375776","192.3605333375776","192.3605333375776","","","","","",""
"257","","","","","","","17.037025705881856","17.037025705881856","17.037025705881856"
"299","","","","","","","61.26137031479923","61.26137031479923","61.26137031479923"
"317","64.74202571920242","64.74202571920242","64.74202571920242","","","","","",""
"341","","","","","","","18.51898284503537","18.51898284503537","18.51898284503537"
"379","280.0614359072037","280.0614359072037","280.0614359072037","","","","","",""
"383","","","","","","","105.54644292518431","105.54644292518431","105.54644292518431"
"425","","","","","","","105.26062753066044","105.26062753066044","105.26062753066044"
"441","187.51186242776683","187.51186242776683","187.51186242776683","","","","","",""
"467","","","","","","","275.68381951626066","275.68381951626066","275.68381951626066"
"503","189.0149866673153","189.0149866673153","189.0149866673153","","","","","",""
"509","","","","","","","148.67545794859157","148.67545794859157","148.67545794859157"
"551","","","","","","","145.11324014783725","145.11324014783725","145.11324014783725"
"565","106.4224769694423","106.4224769694423","106.4224769694423","","","","","",""
"593","","","","","","","273.14591342868675","273.14591342868675","273.14591342868675"
"627","145.95734457954566","145.95734457954566","145.95734457954566","","","","","",""
"635","","","","","","","276.2750363789037","276.2750363789037","276.2750363789037"
"677","","","","","","","360.69983649691824","360.69983649691824","360.69983649691824"
"689","321.3235749912825","321.3235749912825","321.3235749912825","","","","","",""
"719","","","","","","","143.92127237588164","143.92127237588164","143.92127237588164"
"751","188.13954365134646","188.13954365134646","188.13954365134646","","","","","",""
"761","","","","","","","318.0454273190281","318.0454273190281","318.0454273190281"
"803","","","","","","","231.9355564738757","231.9355564738757","231.9355564738757"
"813","142.93244049313535","142.93244049313535","142.93244049313535","","","","","",""
"845","","","","","","","321.0565341791544","321.0565341791544","321.0565341791544"
"875","190.69875950151217","190.69875950151217","190.69875950151217","","","","","",""
"887","","","","","","","190.62096888970626","190.62096888970626","190.62096888970626"
"929","","","","","","","272.5489069538931","272.5489069538931","272.5489069538931"
"937","236.55004270777744","236.55004270777744","236.55004270777744","","","","","",""
"971","","","","","","","313.18362052226496","313.18362052226496","313.18362052226496"
"999","152.3840745004296","152.3840745004296","152.3840745004296","","","","","",""
"1013","","","","","","","146.72945045408187","146.72945045408187","146.72945045408187"
"1055","","","","","","","323.4872281949282","323.4872281949282","323.4872281949282"
"1061","279.4099838729599","279.4099838729599","279.4099838729599","","","","","",""
"1097","","","","","","","276.5347424891114","276.5347424891114","276.5347424891114"
"1123","363.9500693949236","363.9500693949236","363.9500693949236","","","","","",""
"1139","","","","","","","231.91705196797676","231.91705196797676","231.91705196797676"
"1181","","","","","","","107.51058965460363","107.51058965460363","107.51058965460363"
"1185","229.8000576127381","229.8000576127381","229.8000576127381","","","","","",""
"1223","","","","","","","367.4312964069963","367.4312964069963","367.4312964069963"
"1247","189.4476439120138","189.4476439120138","189.4476439120138","","","","","",""
"1265","","","","","","","107.49646188713902","107.49646188713902","107.49646188713902"
"1307","","","","","","","317.6739835597949","317.6739835597949","317.6739835597949"
"1309","357.5009824009928","357.5009824009928","357.5009824009928","","","","","",""
"1349","","","","","","","405.0635473177502","405.0635473177502","405.0635473177502"
"1371","275.1702360464571","275.1702360464571","275.1702360464571","","","","","",""
"1391","","","","","","","237.35856276661912","237.35856276661912","237.35856276661912"
"1433","234.1031241303869","234.1031241303869","234.1031241303869","","","","315.81589399685873","315.81589399685873","315.81589399685873"
"1475","","","","","","","228.88872707515793","228.88872707515793","228.88872707515793"
"1495","272.87495144018914","272.87495144018914","272.87495144018914","","","","","",""
"1517","","","","","","","315.34902971857684","315.34902971857684","315.34902971857684"
"1557","320.24395422335016","320.24395422335016","320.24395422335016","","","","","",""
"1559","","","","","","","236.4586987045619","236.4586987045619","236.4586987045619"
"1601","","","","","","","404.21796195290403","404.21796195290403","404.21796195290403"
"1619","273.44287320330517","273.44287320330517","273.44287320330517","","","","","",""
"1643","","","","","","","192.72541223574908","192.72541223574908","192.72541223574908"
"1681","365.4570299256003","365.4570299256003","365.4570299256003","","","","","",""
"1685","","","","","","","277.90314637509107","277.90314637509107","277.90314637509107"
"1727","","","","","","","402.6551707752937","402.6551707752937","402.6551707752937"
"1743","278.1763230546923","278.1763230546923","278.1763230546923","","","","","",""
"1769","","","","","","","105.8297489450465","105.8297489450465","105.8297489450465"
"1805","317.5325649439545","317.5325649439545","317.5325649439545","","","","","",""
"1811","","","","","","","272.20123043161266","272.20123043161266","272.20123043161266"
"1853","","","","","","","358.9217394756079","358.9217394756079","358.9217394756079"
"1867","151.73959598327014","151.73959598327014","151.73959598327014","","","","","",""
"1895","","","","","","","228.1739088332612","228.1739088332612","228.1739088332612"
"1929","277.1692057044339","277.1692057044339","277.1692057044339","","","","","",""
"1937","","","","","","","231.42671630097425","231.42671630097425","231.42671630097425"
"1979","","","","","","","319.5426478741778","319.5426478741778","319.5426478741778"
"1991","276.97462884957116","276.97462884957116","276.97462884957116","","","","","",""
"2021","","","","","","","186.01311956751752","186.01311956751752","186.01311956751752"
"2053","401.14357765771626","401.14357765771626","401.14357765771626","","","","","",""
"2063","","","","","","","192.64717843401144","192.64717843401144","192.64717843401144"
"2115","397.19675077780187","397.19675077780187","397.19675077780187","","","","","",""
"2177","369.25632882464345","369.25632882464345","369.25632882464345","","","","","",""
"2239","188.540179294545","188.540179294545","188.540179294545","","","","","",""
"2301","275.97459331102584","275.97459331102584","275.97459331102584","","","","","",""
"2363","187.54093323978174","187.54093323978174","187.54093323978174","","","","","",""
"2425","360.6802168067195","360.6802168067195","360.6802168067195","","","","","",""
"2487","190.71898088366518","190.71898088366518","190.71898088366518","","","","","",""
