"Step","earthy-firefly-202 - test reward","earthy-firefly-202 - test reward__MIN","earthy-firefly-202 - test reward__MAX","chocolate-voice-176 - test reward","chocolate-voice-176 - test reward__MIN","chocolate-voice-176 - test reward__MAX"
"5","16.53710733645778","16.53710733645778","16.53710733645778","","",""
"6","","","","20.104895311514664","20.104895311514664","20.104895311514664"
"47","17.95495561527921","17.95495561527921","17.95495561527921","","",""
"49","","","","16.642903095732038","16.642903095732038","16.642903095732038"
"89","16.835090543217106","16.835090543217106","16.835090543217106","","",""
"92","","","","16.27068168132312","16.27068168132312","16.27068168132312"
"131","19.43360737882168","19.43360737882168","19.43360737882168","","",""
"135","","","","19.340036158874632","19.340036158874632","19.340036158874632"
"173","18.871144124819057","18.871144124819057","18.871144124819057","","",""
"178","","","","19.799074396848173","19.799074396848173","19.799074396848173"
"215","23.881884377302633","23.881884377302633","23.881884377302633","","",""
"221","","","","16.534274758928113","16.534274758928113","16.534274758928113"
"257","20.395019601801664","20.395019601801664","20.395019601801664","","",""
"264","","","","18.033589279815097","18.033589279815097","18.033589279815097"
"299","18.077731944978012","18.077731944978012","18.077731944978012","","",""
"307","","","","24.794517048653642","24.794517048653642","24.794517048653642"
"341","25.55625179956519","25.55625179956519","25.55625179956519","","",""
"350","","","","19.53695914346816","19.53695914346816","19.53695914346816"
"383","17.22551750876543","17.22551750876543","17.22551750876543","","",""
"393","","","","22.195452217067533","22.195452217067533","22.195452217067533"
"425","17.188101559502986","17.188101559502986","17.188101559502986","","",""
"436","","","","17.75932526839678","17.75932526839678","17.75932526839678"
"467","16.78983584150329","16.78983584150329","16.78983584150329","","",""
"479","","","","19.93903258049233","19.93903258049233","19.93903258049233"
"509","25.165346158384025","25.165346158384025","25.165346158384025","","",""
"522","","","","15.336220397327992","15.336220397327992","15.336220397327992"
"551","17.90061895615099","17.90061895615099","17.90061895615099","","",""
"565","","","","25.013677864944775","25.013677864944775","25.013677864944775"
"593","24.429277448011003","24.429277448011003","24.429277448011003","","",""
"608","","","","18.202229333239607","18.202229333239607","18.202229333239607"
"635","21.577684032258784","21.577684032258784","21.577684032258784","","",""
"651","","","","17.390095589842197","17.390095589842197","17.390095589842197"
"677","19.392721312495677","19.392721312495677","19.392721312495677","","",""
"694","","","","18.952300639817285","18.952300639817285","18.952300639817285"
"719","18.30114104681432","18.30114104681432","18.30114104681432","","",""
"737","","","","25.72738108606295","25.72738108606295","25.72738108606295"
"761","18.009888214756437","18.009888214756437","18.009888214756437","","",""
"780","","","","19.22031926063104","19.22031926063104","19.22031926063104"
"803","24.326736861058727","24.326736861058727","24.326736861058727","","",""
"823","","","","19.281917554857127","19.281917554857127","19.281917554857127"
"845","37.8955943274499","37.8955943274499","37.8955943274499","","",""
"866","","","","19.435314129857915","19.435314129857915","19.435314129857915"
"887","41.67474485719219","41.67474485719219","41.67474485719219","","",""
"909","","","","18.468776322940723","18.468776322940723","18.468776322940723"
"929","16.169062371560887","16.169062371560887","16.169062371560887","","",""
"952","","","","14.708877535755795","14.708877535755795","14.708877535755795"
"971","24.133424878019824","24.133424878019824","24.133424878019824","","",""
"995","","","","23.249735852364793","23.249735852364793","23.249735852364793"
"1013","19.588237406980884","19.588237406980884","19.588237406980884","","",""
"1038","","","","17.091179261682214","17.091179261682214","17.091179261682214"
"1055","21.7376035914642","21.7376035914642","21.7376035914642","","",""
"1081","","","","44.5978404762714","44.5978404762714","44.5978404762714"
"1097","18.924063681641776","18.924063681641776","18.924063681641776","","",""
"1124","","","","20.118814412996155","20.118814412996155","20.118814412996155"
"1139","17.316951145910433","17.316951145910433","17.316951145910433","","",""
"1167","","","","59.48068679625968","59.48068679625968","59.48068679625968"
"1181","61.62927049784986","61.62927049784986","61.62927049784986","","",""
"1210","","","","61.75571165864733","61.75571165864733","61.75571165864733"
"1223","19.55918299924179","19.55918299924179","19.55918299924179","","",""
"1253","","","","59.32815318884042","59.32815318884042","59.32815318884042"
"1265","14.088606198431629","14.088606198431629","14.088606198431629","","",""
"1296","","","","140.0785568276693","140.0785568276693","140.0785568276693"
"1307","19.61888364228277","19.61888364228277","19.61888364228277","","",""
"1339","","","","98.96480302297769","98.96480302297769","98.96480302297769"
"1349","18.05162090469845","18.05162090469845","18.05162090469845","","",""
"1382","","","","59.55222021282445","59.55222021282445","59.55222021282445"
"1391","19.01412540014609","19.01412540014609","19.01412540014609","","",""
"1425","","","","96.40045336727812","96.40045336727812","96.40045336727812"
"1433","20.97833912459017","20.97833912459017","20.97833912459017","","",""
"1468","","","","57.003455277280395","57.003455277280395","57.003455277280395"
"1475","18.17908877436349","18.17908877436349","18.17908877436349","","",""
"1517","25.002140876780523","25.002140876780523","25.002140876780523","","",""
"1559","17.277114226787017","17.277114226787017","17.277114226787017","","",""
"1601","61.96317540221298","61.96317540221298","61.96317540221298","","",""
"1643","17.417237417961683","17.417237417961683","17.417237417961683","","",""
"1685","26.582315708647723","26.582315708647723","26.582315708647723","","",""
"1727","22.199504281340893","22.199504281340893","22.199504281340893","","",""
"1769","22.09489296648591","22.09489296648591","22.09489296648591","","",""
"1811","15.873923897582776","15.873923897582776","15.873923897582776","","",""
"1853","21.089274832974322","21.089274832974322","21.089274832974322","","",""
"1895","22.24335905916231","22.24335905916231","22.24335905916231","","",""
"1937","19.527597130391218","19.527597130391218","19.527597130391218","","",""
"1979","104.6293350378663","104.6293350378663","104.6293350378663","","",""
"2021","15.045677985818525","15.045677985818525","15.045677985818525","","",""
"2063","22.58496691419886","22.58496691419886","22.58496691419886","","",""
