"Step","blooming-sun-384 - test reward","blooming-sun-384 - test reward__MIN","blooming-sun-384 - test reward__MAX","northern-violet-177 - test reward","northern-violet-177 - test reward__MIN","northern-violet-177 - test reward__MAX","usual-shape-381 - test reward","usual-shape-381 - test reward__MIN","usual-shape-381 - test reward__MAX"
"6","","","","17.1191221461029","17.1191221461029","17.1191221461029","","",""
"23","17.24151041704598","17.24151041704598","17.24151041704598","","","","18.13379606811717","18.13379606811717","18.13379606811717"
"49","","","","16.592483221373488","16.592483221373488","16.592483221373488","","",""
"92","","","","17.44924252115942","17.44924252115942","17.44924252115942","","",""
"135","","","","16.900766995840147","16.900766995840147","16.900766995840147","","",""
"178","","","","17.846830678674984","17.846830678674984","17.846830678674984","","",""
"221","","","","19.723289966238656","19.723289966238656","19.723289966238656","","",""
"245","23.30459172794593","23.30459172794593","23.30459172794593","","","","20.15734295571011","20.15734295571011","20.15734295571011"
"264","","","","15.112849117122158","15.112849117122158","15.112849117122158","","",""
"307","","","","15.245936970995377","15.245936970995377","15.245936970995377","","",""
"350","","","","18.978220031922664","18.978220031922664","18.978220031922664","","",""
"393","","","","15.58906359582134","15.58906359582134","15.58906359582134","","",""
"436","","","","26.17702811141322","26.17702811141322","26.17702811141322","","",""
"467","18.758712632429436","18.758712632429436","18.758712632429436","","","","17.354246535584117","17.354246535584117","17.354246535584117"
"479","","","","20.5938661793296","20.5938661793296","20.5938661793296","","",""
"522","","","","19.750509421456016","19.750509421456016","19.750509421456016","","",""
"565","","","","22.066106377764854","22.066106377764854","22.066106377764854","","",""
"608","","","","38.997098582788716","38.997098582788716","38.997098582788716","","",""
"651","","","","20.302134096400938","20.302134096400938","20.302134096400938","","",""
"689","45.105401991879276","45.105401991879276","45.105401991879276","","","","19.524117834549862","19.524117834549862","19.524117834549862"
"694","","","","60.88178714235001","60.88178714235001","60.88178714235001","","",""
"737","","","","20.71619360841638","20.71619360841638","20.71619360841638","","",""
"780","","","","91.87615510888415","91.87615510888415","91.87615510888415","","",""
"823","","","","23.617054265107804","23.617054265107804","23.617054265107804","","",""
"866","","","","133.08681820102228","133.08681820102228","133.08681820102228","","",""
"909","","","","64.02508111272951","64.02508111272951","64.02508111272951","","",""
"911","61.208664717469354","61.208664717469354","61.208664717469354","","","","40.720442792510916","40.720442792510916","40.720442792510916"
"952","","","","143.30143393166975","143.30143393166975","143.30143393166975","","",""
"995","","","","61.811779442895144","61.811779442895144","61.811779442895144","","",""
"1038","","","","64.41781117417608","64.41781117417608","64.41781117417608","","",""
"1081","","","","27.40557451420297","27.40557451420297","27.40557451420297","","",""
"1124","","","","106.26274689317265","106.26274689317265","106.26274689317265","","",""
"1133","21.80097042903028","21.80097042903028","21.80097042903028","","","","28.157726087047717","28.157726087047717","28.157726087047717"
"1167","","","","99.82447693160331","99.82447693160331","99.82447693160331","","",""
"1210","","","","100.1084909761863","100.1084909761863","100.1084909761863","","",""
"1253","","","","62.75509106345398","62.75509106345398","62.75509106345398","","",""
"1296","","","","57.037978977786636","57.037978977786636","57.037978977786636","","",""
"1339","","","","148.71248501590543","148.71248501590543","148.71248501590543","","",""
"1355","141.7372724881869","141.7372724881869","141.7372724881869","","","","72.60300712698114","72.60300712698114","72.60300712698114"
"1382","","","","23.249766470425044","23.249766470425044","23.249766470425044","","",""
"1425","","","","17.918798986103134","17.918798986103134","17.918798986103134","","",""
"1468","","","","103.1829691624051","103.1829691624051","103.1829691624051","","",""
"1577","145.12079733300487","145.12079733300487","145.12079733300487","","","","17.694938893385437","17.694938893385437","17.694938893385437"
"1799","67.55852834005633","67.55852834005633","67.55852834005633","","","","186.82702794724634","186.82702794724634","186.82702794724634"
"2021","21.39924881990826","21.39924881990826","21.39924881990826","","","","153.40716969893452","153.40716969893452","153.40716969893452"
"2243","194.09542915086075","194.09542915086075","194.09542915086075","","","","67.24818112711617","67.24818112711617","67.24818112711617"
"2465","148.61524475956307","148.61524475956307","148.61524475956307","","","","104.82749218796566","104.82749218796566","104.82749218796566"
"2687","25.84598804120637","25.84598804120637","25.84598804120637","","","","196.25672004575293","196.25672004575293","196.25672004575293"
"2909","64.28404248113807","64.28404248113807","64.28404248113807","","","","152.56988724182776","152.56988724182776","152.56988724182776"
"3131","61.853543863060125","61.853543863060125","61.853543863060125","","","","66.99049526918836","66.99049526918836","66.99049526918836"
"3353","232.8628081767319","232.8628081767319","232.8628081767319","","","","108.42773931414365","108.42773931414365","108.42773931414365"
"3575","101.83020370875877","101.83020370875877","101.83020370875877","","","","148.8504449212006","148.8504449212006","148.8504449212006"
"3797","107.01638489407961","107.01638489407961","107.01638489407961","","","","110.89109488624703","110.89109488624703","110.89109488624703"
"4019","64.67103372805451","64.67103372805451","64.67103372805451","","","","189.71188607950177","189.71188607950177","189.71188607950177"
"4241","106.4007246958865","106.4007246958865","106.4007246958865","","","","103.55977468325432","103.55977468325432","103.55977468325432"
"4463","109.51017804021023","109.51017804021023","109.51017804021023","","","","106.00386560229597","106.00386560229597","106.00386560229597"
"4685","186.75378498553454","186.75378498553454","186.75378498553454","","","","74.85538335080977","74.85538335080977","74.85538335080977"
"4907","102.32746801755658","102.32746801755658","102.32746801755658","","","","107.53141113830853","107.53141113830853","107.53141113830853"
"5129","102.08544289857676","102.08544289857676","102.08544289857676","","","","109.96645073478392","109.96645073478392","109.96645073478392"
"5351","104.1207208266782","104.1207208266782","104.1207208266782","","","","236.2530330336504","236.2530330336504","236.2530330336504"
"5573","71.59654093539251","71.59654093539251","71.59654093539251","","","","62.21172050256854","62.21172050256854","62.21172050256854"
"5795","65.50049705157254","65.50049705157254","65.50049705157254","","","","233.1704295618647","233.1704295618647","233.1704295618647"
"6017","232.2872455359257","232.2872455359257","232.2872455359257","","","","110.05775948620585","110.05775948620585","110.05775948620585"
"6239","146.93942262833693","146.93942262833693","146.93942262833693","","","","194.61463131424287","194.61463131424287","194.61463131424287"
"6461","60.58984899295116","60.58984899295116","60.58984899295116","","","","190.92770303507075","190.92770303507075","190.92770303507075"
