"Step","fancy-monkey-376 - test reward","fancy-monkey-376 - test reward__MIN","fancy-monkey-376 - test reward__MAX","laced-surf-225 - test reward","laced-surf-225 - test reward__MIN","laced-surf-225 - test reward__MAX","cool-thunder-238 - test reward","cool-thunder-238 - test reward__MIN","cool-thunder-238 - test reward__MAX","revived-dawn-237 - test reward","revived-dawn-237 - test reward__MIN","revived-dawn-237 - test reward__MAX","sweet-sunset-377 - test reward","sweet-sunset-377 - test reward__MIN","sweet-sunset-377 - test reward__MAX","royal-disco-223 - test reward","royal-disco-223 - test reward__MIN","royal-disco-223 - test reward__MAX","lyric-sunset-380 - test reward","lyric-sunset-380 - test reward__MIN","lyric-sunset-380 - test reward__MAX","wandering-mountain-242 - test reward","wandering-mountain-242 - test reward__MIN","wandering-mountain-242 - test reward__MAX","copper-darkness-244 - test reward","copper-darkness-244 - test reward__MIN","copper-darkness-244 - test reward__MAX"
"5","","","","19.521625212305175","19.521625212305175","19.521625212305175","19.95343174514777","19.95343174514777","19.95343174514777","20.15563642622887","20.15563642622887","20.15563642622887","","","","22.257007474213108","22.257007474213108","22.257007474213108","","","","","","","","",""
"7","","","","","","","","","","","","","","","","","","","","","","19.3974965293379","19.3974965293379","19.3974965293379","17.277047308752877","17.277047308752877","17.277047308752877"
"23","23.298814447563668","23.298814447563668","23.298814447563668","","","","","","","","","","20.10222334650898","20.10222334650898","20.10222334650898","","","","18.593071302926795","18.593071302926795","18.593071302926795","","","","","",""
"47","","","","19.774449220486996","19.774449220486996","19.774449220486996","15.091050024146316","15.091050024146316","15.091050024146316","19.262043373342618","19.262043373342618","19.262043373342618","","","","19.35662635475419","19.35662635475419","19.35662635475419","","","","","","","","",""
"69","","","","","","","","","","","","","","","","","","","","","","21.28455037478476","21.28455037478476","21.28455037478476","16.39515271873075","16.39515271873075","16.39515271873075"
"89","","","","20.80587689341896","20.80587689341896","20.80587689341896","21.432132367271365","21.432132367271365","21.432132367271365","21.661058830478158","21.661058830478158","21.661058830478158","","","","20.820792526657474","20.820792526657474","20.820792526657474","","","","","","","","",""
"131","","","","16.392477220253262","16.392477220253262","16.392477220253262","20.196280841509676","20.196280841509676","20.196280841509676","17.787036557030397","17.787036557030397","17.787036557030397","","","","16.116308447082734","16.116308447082734","16.116308447082734","","","","102.00140971991634","102.00140971991634","102.00140971991634","20.87137462367178","20.87137462367178","20.87137462367178"
"173","","","","29.16546593797189","29.16546593797189","29.16546593797189","","","","26.160260156060907","26.160260156060907","26.160260156060907","","","","27.4271274286351","27.4271274286351","27.4271274286351","","","","","","","","",""
"193","","","","","","","","","","","","","","","","","","","","","","144.38577035671725","144.38577035671725","144.38577035671725","103.78403831511503","103.78403831511503","103.78403831511503"
"215","","","","23.481806224288995","23.481806224288995","23.481806224288995","","","","16.703059924217218","16.703059924217218","16.703059924217218","","","","14.353581255919655","14.353581255919655","14.353581255919655","","","","","","","","",""
"245","232.69495119624457","232.69495119624457","232.69495119624457","","","","","","","","","","232.49916428359","232.49916428359","232.49916428359","","","","149.743563884171","149.743563884171","149.743563884171","","","","","",""
"255","","","","","","","","","","","","","","","","","","","","","","321.00896448912226","321.00896448912226","321.00896448912226","192.3605333375776","192.3605333375776","192.3605333375776"
"257","","","","17.037025705881856","17.037025705881856","17.037025705881856","","","","103.33527444758961","103.33527444758961","103.33527444758961","","","","30.640413715855903","30.640413715855903","30.640413715855903","","","","","","","","",""
"299","","","","61.26137031479923","61.26137031479923","61.26137031479923","","","","100.88885660097642","100.88885660097642","100.88885660097642","","","","146.40766404517882","146.40766404517882","146.40766404517882","","","","","","","","",""
"317","","","","","","","","","","","","","","","","","","","","","","357.47239144465277","357.47239144465277","357.47239144465277","64.74202571920242","64.74202571920242","64.74202571920242"
"341","","","","18.51898284503537","18.51898284503537","18.51898284503537","","","","229.44394715177054","229.44394715177054","229.44394715177054","","","","143.336453216054","143.336453216054","143.336453216054","","","","","","","","",""
"379","","","","","","","","","","","","","","","","","","","","","","192.5420994523861","192.5420994523861","192.5420994523861","280.0614359072037","280.0614359072037","280.0614359072037"
"383","","","","105.54644292518431","105.54644292518431","105.54644292518431","","","","58.894555587009755","58.894555587009755","58.894555587009755","","","","186.73500784536947","186.73500784536947","186.73500784536947","","","","","","","","",""
"425","","","","105.26062753066044","105.26062753066044","105.26062753066044","","","","316.3938510605351","316.3938510605351","316.3938510605351","","","","155.2815381846849","155.2815381846849","155.2815381846849","","","","","","","","",""
"441","","","","","","","","","","","","","","","","","","","","","","188.07187550237512","188.07187550237512","188.07187550237512","187.51186242776683","187.51186242776683","187.51186242776683"
"467","101.75971641004523","101.75971641004523","101.75971641004523","275.68381951626066","275.68381951626066","275.68381951626066","","","","226.45195312629093","226.45195312629093","226.45195312629093","276.0078560769036","276.0078560769036","276.0078560769036","140.30748923984305","140.30748923984305","140.30748923984305","61.18186874715583","61.18186874715583","61.18186874715583","","","","","",""
"503","","","","","","","","","","","","","","","","","","","","","","357.6345913594717","357.6345913594717","357.6345913594717","189.0149866673153","189.0149866673153","189.0149866673153"
"509","","","","148.67545794859157","148.67545794859157","148.67545794859157","","","","191.28590590510038","191.28590590510038","191.28590590510038","","","","148.2891162792082","148.2891162792082","148.2891162792082","","","","","","","","",""
"551","","","","145.11324014783725","145.11324014783725","145.11324014783725","","","","185.0438603970609","185.0438603970609","185.0438603970609","","","","60.36735254097755","60.36735254097755","60.36735254097755","","","","","","","","",""
"565","","","","","","","","","","","","","","","","","","","","","","318.72597940577714","318.72597940577714","318.72597940577714","106.4224769694423","106.4224769694423","106.4224769694423"
"593","","","","273.14591342868675","273.14591342868675","273.14591342868675","","","","187.1849678202393","187.1849678202393","187.1849678202393","","","","19.1956794236444","19.1956794236444","19.1956794236444","","","","","","","","",""
"627","","","","","","","","","","","","","","","","","","","","","","403.79962831258877","403.79962831258877","403.79962831258877","145.95734457954566","145.95734457954566","145.95734457954566"
"635","","","","276.2750363789037","276.2750363789037","276.2750363789037","","","","191.974651876995","191.974651876995","191.974651876995","","","","188.6700616415527","188.6700616415527","188.6700616415527","","","","","","","","",""
"677","","","","360.69983649691824","360.69983649691824","360.69983649691824","","","","359.5174240715809","359.5174240715809","359.5174240715809","","","","190.9845247987821","190.9845247987821","190.9845247987821","","","","","","","","",""
"689","105.55835306790775","105.55835306790775","105.55835306790775","","","","","","","","","","103.3292861572238","103.3292861572238","103.3292861572238","","","","188.3458835024385","188.3458835024385","188.3458835024385","401.76159274098035","401.76159274098035","401.76159274098035","321.3235749912825","321.3235749912825","321.3235749912825"
"719","","","","143.92127237588164","143.92127237588164","143.92127237588164","","","","195.88055142231804","195.88055142231804","195.88055142231804","","","","100.84211916924735","100.84211916924735","100.84211916924735","","","","","","","","",""
"751","","","","","","","","","","","","","","","","","","","","","","318.40841855884","318.40841855884","318.40841855884","188.13954365134646","188.13954365134646","188.13954365134646"
"761","","","","318.0454273190281","318.0454273190281","318.0454273190281","","","","237.11983172758354","237.11983172758354","237.11983172758354","","","","106.30685797602118","106.30685797602118","106.30685797602118","","","","","","","","",""
"803","","","","231.9355564738757","231.9355564738757","231.9355564738757","","","","275.33247062802855","275.33247062802855","275.33247062802855","","","","152.04329973665216","152.04329973665216","152.04329973665216","","","","","","","","",""
"813","","","","","","","","","","","","","","","","","","","","","","317.05452433594166","317.05452433594166","317.05452433594166","142.93244049313535","142.93244049313535","142.93244049313535"
"845","","","","321.0565341791544","321.0565341791544","321.0565341791544","","","","149.73960387615358","149.73960387615358","149.73960387615358","","","","20.295116656216738","20.295116656216738","20.295116656216738","","","","","","","","",""
"875","","","","","","","","","","","","","","","","","","","","","","232.07640304565666","232.07640304565666","232.07640304565666","190.69875950151217","190.69875950151217","190.69875950151217"
"887","","","","190.62096888970626","190.62096888970626","190.62096888970626","","","","234.06987795278832","234.06987795278832","234.06987795278832","","","","233.76062347180837","233.76062347180837","233.76062347180837","","","","","","","","",""
"911","366.46414019459473","366.46414019459473","366.46414019459473","","","","","","","","","","316.69509235951625","316.69509235951625","316.69509235951625","","","","272.9236875620642","272.9236875620642","272.9236875620642","","","","","",""
"929","","","","272.5489069538931","272.5489069538931","272.5489069538931","","","","364.2309890092217","364.2309890092217","364.2309890092217","","","","192.08646482896165","192.08646482896165","192.08646482896165","","","","","","","","",""
"937","","","","","","","","","","","","","","","","","","","","","","228.18100977818258","228.18100977818258","228.18100977818258","236.55004270777744","236.55004270777744","236.55004270777744"
"971","","","","313.18362052226496","313.18362052226496","313.18362052226496","","","","236.01854446848864","236.01854446848864","236.01854446848864","","","","189.05208248991653","189.05208248991653","189.05208248991653","","","","","","","","",""
"999","","","","","","","","","","","","","","","","","","","","","","104.88212114145065","104.88212114145065","104.88212114145065","152.3840745004296","152.3840745004296","152.3840745004296"
"1013","","","","146.72945045408187","146.72945045408187","146.72945045408187","","","","190.30396279647027","190.30396279647027","190.30396279647027","","","","193.23985767158416","193.23985767158416","193.23985767158416","","","","","","","","",""
"1055","","","","323.4872281949282","323.4872281949282","323.4872281949282","","","","186.5364623017479","186.5364623017479","186.5364623017479","","","","145.33852992239105","145.33852992239105","145.33852992239105","","","","","","","","",""
"1061","","","","","","","","","","","","","","","","","","","","","","492.8433624814952","492.8433624814952","492.8433624814952","279.4099838729599","279.4099838729599","279.4099838729599"
"1097","","","","276.5347424891114","276.5347424891114","276.5347424891114","","","","64.2168536601892","64.2168536601892","64.2168536601892","","","","188.2600107768984","188.2600107768984","188.2600107768984","","","","","","","","",""
"1123","","","","","","","","","","","","","","","","","","","","","","365.2520214068151","365.2520214068151","365.2520214068151","363.9500693949236","363.9500693949236","363.9500693949236"
"1133","189.16376337213214","189.16376337213214","189.16376337213214","","","","","","","","","","275.3936450693451","275.3936450693451","275.3936450693451","","","","228.3318756043961","228.3318756043961","228.3318756043961","","","","","",""
"1139","","","","231.91705196797676","231.91705196797676","231.91705196797676","","","","145.35431311455554","145.35431311455554","145.35431311455554","","","","400.25062710426016","400.25062710426016","400.25062710426016","","","","","","","","",""
"1181","","","","107.51058965460363","107.51058965460363","107.51058965460363","","","","275.2241878352612","275.2241878352612","275.2241878352612","","","","315.67650107205714","315.67650107205714","315.67650107205714","","","","","","","","",""
"1185","","","","","","","","","","","","","","","","","","","","","","189.92472218354834","189.92472218354834","189.92472218354834","229.8000576127381","229.8000576127381","229.8000576127381"
"1223","","","","367.4312964069963","367.4312964069963","367.4312964069963","","","","402.11338839699897","402.11338839699897","402.11338839699897","","","","97.07402141913327","97.07402141913327","97.07402141913327","","","","","","","","",""
"1247","","","","","","","","","","","","","","","","","","","","","","141.67585166747045","141.67585166747045","141.67585166747045","189.4476439120138","189.4476439120138","189.4476439120138"
"1265","","","","107.49646188713902","107.49646188713902","107.49646188713902","","","","101.84226129427185","101.84226129427185","101.84226129427185","","","","229.5948432520871","229.5948432520871","229.5948432520871","","","","","","","","",""
"1307","","","","317.6739835597949","317.6739835597949","317.6739835597949","","","","318.80245405085617","318.80245405085617","318.80245405085617","","","","186.56095507360675","186.56095507360675","186.56095507360675","","","","","","","","",""
"1309","","","","","","","","","","","","","","","","","","","","","","228.65284290614144","228.65284290614144","228.65284290614144","357.5009824009928","357.5009824009928","357.5009824009928"
"1349","","","","405.0635473177502","405.0635473177502","405.0635473177502","","","","232.51863292317867","232.51863292317867","232.51863292317867","","","","187.49101991969684","187.49101991969684","187.49101991969684","","","","","","","","",""
"1355","146.1828130342639","146.1828130342639","146.1828130342639","","","","","","","","","","237.57876797111422","237.57876797111422","237.57876797111422","","","","359.6058525450307","359.6058525450307","359.6058525450307","","","","","",""
"1371","","","","","","","","","","","","","","","","","","","","","","367.2847708316034","367.2847708316034","367.2847708316034","275.1702360464571","275.1702360464571","275.1702360464571"
"1391","","","","237.35856276661912","237.35856276661912","237.35856276661912","","","","226.39625564719444","226.39625564719444","226.39625564719444","","","","232.0100869494695","232.0100869494695","232.0100869494695","","","","","","","","",""
