"Step","clear-meadow-179 - test reward","clear-meadow-179 - test reward__MIN","clear-meadow-179 - test reward__MAX","playful-dawn-182 - test reward","playful-dawn-182 - test reward__MIN","playful-dawn-182 - test reward__MAX","vibrant-totem-204 - test reward","vibrant-totem-204 - test reward__MIN","vibrant-totem-204 - test reward__MAX"
"5","","","","","","","18.721494917403515","18.721494917403515","18.721494917403515"
"6","15.996974338505998","15.996974338505998","15.996974338505998","15.463304539095802","15.463304539095802","15.463304539095802","","",""
"47","","","","","","","18.68028118401","18.68028118401","18.68028118401"
"49","17.592411411199954","17.592411411199954","17.592411411199954","22.660505079194646","22.660505079194646","22.660505079194646","","",""
"89","","","","","","","17.386686983021065","17.386686983021065","17.386686983021065"
"92","21.03080566830821","21.03080566830821","21.03080566830821","17.233145916845054","17.233145916845054","17.233145916845054","","",""
"131","","","","","","","16.094500711166617","16.094500711166617","16.094500711166617"
"135","16.92844480613266","16.92844480613266","16.92844480613266","17.987052401738627","17.987052401738627","17.987052401738627","","",""
"173","","","","","","","20.064691518119318","20.064691518119318","20.064691518119318"
"178","17.29396701003538","17.29396701003538","17.29396701003538","16.79442808518136","16.79442808518136","16.79442808518136","","",""
"215","","","","","","","19.48196145335789","19.48196145335789","19.48196145335789"
"221","19.62802267349712","19.62802267349712","19.62802267349712","20.479604236509072","20.479604236509072","20.479604236509072","","",""
"257","","","","","","","18.35889597416321","18.35889597416321","18.35889597416321"
"264","22.6134973917352","22.6134973917352","22.6134973917352","18.777129695384296","18.777129695384296","18.777129695384296","","",""
"299","","","","","","","16.899544526096783","16.899544526096783","16.899544526096783"
"307","19.94519046848769","19.94519046848769","19.94519046848769","17.058896531024743","17.058896531024743","17.058896531024743","","",""
"341","","","","","","","20.552343168995","20.552343168995","20.552343168995"
"350","21.714826726516257","21.714826726516257","21.714826726516257","22.066122519255565","22.066122519255565","22.066122519255565","","",""
"383","","","","","","","17.93474278311733","17.93474278311733","17.93474278311733"
"393","16.41082632614062","16.41082632614062","16.41082632614062","21.302920082530314","21.302920082530314","21.302920082530314","","",""
"425","","","","","","","20.903411138459724","20.903411138459724","20.903411138459724"
"436","21.30986656308902","21.30986656308902","21.30986656308902","19.039906846232952","19.039906846232952","19.039906846232952","","",""
"467","","","","","","","19.148892538220945","19.148892538220945","19.148892538220945"
"479","18.92526978257161","18.92526978257161","18.92526978257161","19.218402184147894","19.218402184147894","19.218402184147894","","",""
"509","","","","","","","12.9382237537698","12.9382237537698","12.9382237537698"
"522","22.090814439747305","22.090814439747305","22.090814439747305","18.105364592646755","18.105364592646755","18.105364592646755","","",""
"551","","","","","","","16.608593954190468","16.608593954190468","16.608593954190468"
"565","17.121970409476003","17.121970409476003","17.121970409476003","19.06412899577559","19.06412899577559","19.06412899577559","","",""
"593","","","","","","","19.421901089757167","19.421901089757167","19.421901089757167"
"608","16.479698546593266","16.479698546593266","16.479698546593266","23.363064609585642","23.363064609585642","23.363064609585642","","",""
"635","","","","","","","18.519232386950172","18.519232386950172","18.519232386950172"
"651","17.028141895569327","17.028141895569327","17.028141895569327","23.371061086725184","23.371061086725184","23.371061086725184","","",""
"677","","","","","","","24.484897354763646","24.484897354763646","24.484897354763646"
"694","14.360253351075281","14.360253351075281","14.360253351075281","15.610540325855471","15.610540325855471","15.610540325855471","","",""
"719","","","","","","","22.48361628463898","22.48361628463898","22.48361628463898"
"737","20.777103303395332","20.777103303395332","20.777103303395332","19.559001895810184","19.559001895810184","19.559001895810184","","",""
"761","","","","","","","18.446933987744103","18.446933987744103","18.446933987744103"
"780","17.12197801037772","17.12197801037772","17.12197801037772","25.69762694654279","25.69762694654279","25.69762694654279","","",""
"803","","","","","","","16.638404051066033","16.638404051066033","16.638404051066033"
"823","17.695688722783423","17.695688722783423","17.695688722783423","20.553509474451644","20.553509474451644","20.553509474451644","","",""
"845","","","","","","","16.58988497797172","16.58988497797172","16.58988497797172"
"866","19.242678808293878","19.242678808293878","19.242678808293878","19.991294427647432","19.991294427647432","19.991294427647432","","",""
"887","","","","","","","15.732325177769173","15.732325177769173","15.732325177769173"
"909","19.087830626609076","19.087830626609076","19.087830626609076","17.014155174616633","17.014155174616633","17.014155174616633","","",""
"929","","","","","","","17.53223673334505","17.53223673334505","17.53223673334505"
"952","21.428169075446448","21.428169075446448","21.428169075446448","16.437644334087025","16.437644334087025","16.437644334087025","","",""
"971","","","","","","","15.463782558328854","15.463782558328854","15.463782558328854"
"995","18.85678447575163","18.85678447575163","18.85678447575163","25.757050874160427","25.757050874160427","25.757050874160427","","",""
"1013","","","","","","","14.772600642994735","14.772600642994735","14.772600642994735"
"1038","21.31981159265376","21.31981159265376","21.31981159265376","12.997728667487788","12.997728667487788","12.997728667487788","","",""
"1055","","","","","","","17.144780957127615","17.144780957127615","17.144780957127615"
"1081","18.357975327481782","18.357975327481782","18.357975327481782","20.1109411524751","20.1109411524751","20.1109411524751","","",""
"1097","","","","","","","22.122063274275853","22.122063274275853","22.122063274275853"
"1124","22.762443785471152","22.762443785471152","22.762443785471152","22.11458194615893","22.11458194615893","22.11458194615893","","",""
"1139","","","","","","","14.855453816141036","14.855453816141036","14.855453816141036"
"1167","18.82499950830477","18.82499950830477","18.82499950830477","21.496898219333577","21.496898219333577","21.496898219333577","","",""
"1181","","","","","","","22.994094014795337","22.994094014795337","22.994094014795337"
"1210","16.702616551637934","16.702616551637934","16.702616551637934","16.260055105653574","16.260055105653574","16.260055105653574","","",""
"1223","","","","","","","21.461912340076765","21.461912340076765","21.461912340076765"
"1253","19.43114241007363","19.43114241007363","19.43114241007363","22.94187907872406","22.94187907872406","22.94187907872406","","",""
"1265","","","","","","","16.888483411713302","16.888483411713302","16.888483411713302"
"1296","21.532193306483588","21.532193306483588","21.532193306483588","16.26708432317109","16.26708432317109","16.26708432317109","","",""
"1307","","","","","","","21.202271005226738","21.202271005226738","21.202271005226738"
"1339","18.580133747105613","18.580133747105613","18.580133747105613","24.613034491789357","24.613034491789357","24.613034491789357","","",""
"1349","","","","","","","22.793602462497482","22.793602462497482","22.793602462497482"
"1382","19.627608427529232","19.627608427529232","19.627608427529232","16.93517526856321","16.93517526856321","16.93517526856321","","",""
"1391","","","","","","","23.481806439231026","23.481806439231026","23.481806439231026"
"1425","23.84280597359662","23.84280597359662","23.84280597359662","21.977538728550034","21.977538728550034","21.977538728550034","","",""
"1433","","","","","","","21.916352913836167","21.916352913836167","21.916352913836167"
"1468","21.90385616166263","21.90385616166263","21.90385616166263","15.080170563542822","15.080170563542822","15.080170563542822","","",""
