"Step","brisk-cherry-382 - test reward","brisk-cherry-382 - test reward__MIN","brisk-cherry-382 - test reward__MAX","prime-river-181 - test reward","prime-river-181 - test reward__MIN","prime-river-181 - test reward__MAX","dutiful-waterfall-374 - test reward","dutiful-waterfall-374 - test reward__MIN","dutiful-waterfall-374 - test reward__MAX","valiant-paper-217 - test reward","valiant-paper-217 - test reward__MIN","valiant-paper-217 - test reward__MAX","young-forest-186 - test reward","young-forest-186 - test reward__MIN","young-forest-186 - test reward__MAX","winter-tree-379 - test reward","winter-tree-379 - test reward__MIN","winter-tree-379 - test reward__MAX"
"5","","","","","","","","","","16.012147256866093","16.012147256866093","16.012147256866093","","","","","",""
"6","","","","20.919077137315302","20.919077137315302","20.919077137315302","","","","","","","20.519539259560354","20.519539259560354","20.519539259560354","","",""
"23","17.586762963148026","17.586762963148026","17.586762963148026","","","","16.514900881262403","16.514900881262403","16.514900881262403","","","","","","","16.68039865017652","16.68039865017652","16.68039865017652"
"47","","","","","","","","","","21.585368183297827","21.585368183297827","21.585368183297827","","","","","",""
"49","","","","22.424708661724225","22.424708661724225","22.424708661724225","","","","","","","19.528518877697223","19.528518877697223","19.528518877697223","","",""
"89","","","","","","","","","","17.38336868025172","17.38336868025172","17.38336868025172","","","","","",""
"92","","","","22.841591136364844","22.841591136364844","22.841591136364844","","","","","","","18.20178067120372","18.20178067120372","18.20178067120372","","",""
"131","","","","","","","","","","18.381798578350658","18.381798578350658","18.381798578350658","","","","","",""
"135","","","","29.143460756702474","29.143460756702474","29.143460756702474","","","","","","","19.570432657890102","19.570432657890102","19.570432657890102","","",""
"173","","","","","","","","","","17.30978675015019","17.30978675015019","17.30978675015019","","","","","",""
"178","","","","18.124805727339698","18.124805727339698","18.124805727339698","","","","","","","25.70104102064647","25.70104102064647","25.70104102064647","","",""
"215","","","","","","","","","","19.40485438328966","19.40485438328966","19.40485438328966","","","","","",""
"221","","","","20.41820753917556","20.41820753917556","20.41820753917556","","","","","","","17.16812388805327","17.16812388805327","17.16812388805327","","",""
"245","16.32716652383609","16.32716652383609","16.32716652383609","","","","104.64533115702663","104.64533115702663","104.64533115702663","","","","","","","101.31753787042906","101.31753787042906","101.31753787042906"
"257","","","","","","","","","","25.942416476035504","25.942416476035504","25.942416476035504","","","","","",""
"264","","","","25.383715337211218","25.383715337211218","25.383715337211218","","","","","","","44.22235867449672","44.22235867449672","44.22235867449672","","",""
"299","","","","","","","","","","20.565565377203082","20.565565377203082","20.565565377203082","","","","","",""
"307","","","","15.354369952565222","15.354369952565222","15.354369952565222","","","","","","","23.57421429672388","23.57421429672388","23.57421429672388","","",""
"341","","","","","","","","","","73.23033600113499","73.23033600113499","73.23033600113499","","","","","",""
"350","","","","63.23312878764095","63.23312878764095","63.23312878764095","","","","","","","62.37716346945609","62.37716346945609","62.37716346945609","","",""
"383","","","","","","","","","","93.01609754709571","93.01609754709571","93.01609754709571","","","","","",""
"393","","","","58.966315620102066","58.966315620102066","58.966315620102066","","","","","","","57.02900647057811","57.02900647057811","57.02900647057811","","",""
"425","","","","","","","","","","17.253569832743786","17.253569832743786","17.253569832743786","","","","","",""
"436","","","","106.1466005904501","106.1466005904501","106.1466005904501","","","","","","","104.07833516019892","104.07833516019892","104.07833516019892","","",""
"467","59.50634140608271","59.50634140608271","59.50634140608271","","","","103.47199413784563","103.47199413784563","103.47199413784563","146.30606748778268","146.30606748778268","146.30606748778268","","","","107.26643256298385","107.26643256298385","107.26643256298385"
"479","","","","146.51630097787427","146.51630097787427","146.51630097787427","","","","","","","60.11732256418594","60.11732256418594","60.11732256418594","","",""
"509","","","","","","","","","","62.53128276995544","62.53128276995544","62.53128276995544","","","","","",""
"522","","","","192.49856602045116","192.49856602045116","192.49856602045116","","","","","","","146.23713698274184","146.23713698274184","146.23713698274184","","",""
"551","","","","","","","","","","58.41318145738544","58.41318145738544","58.41318145738544","","","","","",""
"565","","","","189.3768807449622","189.3768807449622","189.3768807449622","","","","","","","141.89785588839828","141.89785588839828","141.89785588839828","","",""
"593","","","","","","","","","","100.89234789978164","100.89234789978164","100.89234789978164","","","","","",""
"608","","","","60.18820134071874","60.18820134071874","60.18820134071874","","","","","","","145.0563356789028","145.0563356789028","145.0563356789028","","",""
"635","","","","","","","","","","107.84747909423102","107.84747909423102","107.84747909423102","","","","","",""
"651","","","","277.0187988784506","277.0187988784506","277.0187988784506","","","","","","","70.37844318388241","70.37844318388241","70.37844318388241","","",""
"677","","","","","","","","","","142.32361926698934","142.32361926698934","142.32361926698934","","","","","",""
"689","64.7482305718978","64.7482305718978","64.7482305718978","","","","236.32515380018717","236.32515380018717","236.32515380018717","","","","","","","199.92762610194922","199.92762610194922","199.92762610194922"
"694","","","","97.60832629105087","97.60832629105087","97.60832629105087","","","","","","","107.08331001333538","107.08331001333538","107.08331001333538","","",""
"719","","","","","","","","","","60.649451908928555","60.649451908928555","60.649451908928555","","","","","",""
"737","","","","15.533835621950402","15.533835621950402","15.533835621950402","","","","","","","147.66036761828082","147.66036761828082","147.66036761828082","","",""
"761","","","","","","","","","","189.62315354564518","189.62315354564518","189.62315354564518","","","","","",""
"780","","","","191.0675613096821","191.0675613096821","191.0675613096821","","","","","","","229.20602980447364","229.20602980447364","229.20602980447364","","",""
"803","","","","","","","","","","59.9796651707873","59.9796651707873","59.9796651707873","","","","","",""
"823","","","","103.44447821909337","103.44447821909337","103.44447821909337","","","","","","","108.75784694184756","108.75784694184756","108.75784694184756","","",""
"845","","","","","","","","","","230.8908144399199","230.8908144399199","230.8908144399199","","","","","",""
