"Step","still-elevator-215 - test reward","still-elevator-215 - test reward__MIN","still-elevator-215 - test reward__MAX","prime-river-181 - test reward","prime-river-181 - test reward__MIN","prime-river-181 - test reward__MAX"
"5","18.642393037138604","18.642393037138604","18.642393037138604","","",""
"6","","","","20.919077137315302","20.919077137315302","20.919077137315302"
"47","16.232574622203117","16.232574622203117","16.232574622203117","","",""
"49","","","","22.424708661724225","22.424708661724225","22.424708661724225"
"89","16.79379440678411","16.79379440678411","16.79379440678411","","",""
"92","","","","22.841591136364844","22.841591136364844","22.841591136364844"
"131","20.500584735163358","20.500584735163358","20.500584735163358","","",""
"135","","","","29.143460756702474","29.143460756702474","29.143460756702474"
"173","18.929982533858137","18.929982533858137","18.929982533858137","","",""
"178","","","","18.124805727339698","18.124805727339698","18.124805727339698"
"215","12.790864380851568","12.790864380851568","12.790864380851568","","",""
"221","","","","20.41820753917556","20.41820753917556","20.41820753917556"
"257","18.11820497855056","18.11820497855056","18.11820497855056","","",""
"264","","","","25.383715337211218","25.383715337211218","25.383715337211218"
"299","13.281899446640514","13.281899446640514","13.281899446640514","","",""
"307","","","","15.354369952565222","15.354369952565222","15.354369952565222"
"341","52.239694761157786","52.239694761157786","52.239694761157786","","",""
"350","","","","63.23312878764095","63.23312878764095","63.23312878764095"
"383","14.841076581215157","14.841076581215157","14.841076581215157","","",""
"393","","","","58.966315620102066","58.966315620102066","58.966315620102066"
"425","58.65899152629388","58.65899152629388","58.65899152629388","","",""
"436","","","","106.1466005904501","106.1466005904501","106.1466005904501"
"467","61.93398231154883","61.93398231154883","61.93398231154883","","",""
"479","","","","146.51630097787427","146.51630097787427","146.51630097787427"
"509","61.16126590661776","61.16126590661776","61.16126590661776","","",""
"522","","","","192.49856602045116","192.49856602045116","192.49856602045116"
"551","103.69818526701063","103.69818526701063","103.69818526701063","","",""
"565","","","","189.3768807449622","189.3768807449622","189.3768807449622"
"593","187.419218367444","187.419218367444","187.419218367444","","",""
"608","","","","60.18820134071874","60.18820134071874","60.18820134071874"
"635","191.41552171993516","191.41552171993516","191.41552171993516","","",""
"651","","","","277.0187988784506","277.0187988784506","277.0187988784506"
"677","97.81261252822945","97.81261252822945","97.81261252822945","","",""
"694","","","","97.60832629105087","97.60832629105087","97.60832629105087"
"719","230.85658198827804","230.85658198827804","230.85658198827804","","",""
"737","","","","15.533835621950402","15.533835621950402","15.533835621950402"
"761","186.97536303853735","186.97536303853735","186.97536303853735","","",""
"780","","","","191.0675613096821","191.0675613096821","191.0675613096821"
"803","56.87507825498799","56.87507825498799","56.87507825498799","","",""
"823","","","","103.44447821909337","103.44447821909337","103.44447821909337"
"845","64.99379018027102","64.99379018027102","64.99379018027102","","",""
"866","","","","58.6209949508297","58.6209949508297","58.6209949508297"
"887","104.1051202602491","104.1051202602491","104.1051202602491","","",""
"909","","","","190.83169743110412","190.83169743110412","190.83169743110412"
"929","145.50797330423126","145.50797330423126","145.50797330423126","","",""
"952","","","","108.9013905003878","108.9013905003878","108.9013905003878"
"971","152.20437321442301","152.20437321442301","152.20437321442301","","",""
"995","","","","234.8510140348144","234.8510140348144","234.8510140348144"
"1013","144.92227783472018","144.92227783472018","144.92227783472018","","",""
"1038","","","","238.96426797800132","238.96426797800132","238.96426797800132"
"1055","105.00882108516218","105.00882108516218","105.00882108516218","","",""
"1081","","","","109.06468436929167","109.06468436929167","109.06468436929167"
"1097","144.54227437985875","144.54227437985875","144.54227437985875","","",""
"1124","","","","60.311142128350525","60.311142128350525","60.311142128350525"
"1139","109.90612782125234","109.90612782125234","109.90612782125234","","",""
"1167","","","","104.3029872017122","104.3029872017122","104.3029872017122"
"1181","192.2656191644008","192.2656191644008","192.2656191644008","","",""
"1210","","","","99.31899624805277","99.31899624805277","99.31899624805277"
"1223","150.5136896964645","150.5136896964645","150.5136896964645","","",""
"1253","","","","231.34478881099207","231.34478881099207","231.34478881099207"
"1265","105.57984298113145","105.57984298113145","105.57984298113145","","",""
"1296","","","","238.51561039195167","238.51561039195167","238.51561039195167"
"1307","232.84571681201564","232.84571681201564","232.84571681201564","","",""
"1339","","","","235.62706681146892","235.62706681146892","235.62706681146892"
"1349","64.55381674216612","64.55381674216612","64.55381674216612","","",""
"1382","","","","146.13179316692626","146.13179316692626","146.13179316692626"
"1391","104.08662337443465","104.08662337443465","104.08662337443465","","",""
"1425","","","","147.5691961899218","147.5691961899218","147.5691961899218"
"1433","149.82233534065298","149.82233534065298","149.82233534065298","","",""
"1468","","","","148.0288132106976","148.0288132106976","148.0288132106976"
"1475","150.05422545947397","150.05422545947397","150.05422545947397","","",""
"1517","148.22895740732073","148.22895740732073","148.22895740732073","","",""
"1559","155.8166467715185","155.8166467715185","155.8166467715185","","",""
"1601","60.36336157848094","60.36336157848094","60.36336157848094","","",""
"1643","145.26685188563414","145.26685188563414","145.26685188563414","","",""
"1685","146.79279322252094","146.79279322252094","146.79279322252094","","",""
"1727","101.36540644822225","101.36540644822225","101.36540644822225","","",""
"1769","103.78033623303705","103.78033623303705","103.78033623303705","","",""
"1811","108.24902708169702","108.24902708169702","108.24902708169702","","",""
"1853","18.59841195242126","18.59841195242126","18.59841195242126","","",""
"1895","405.1795359955526","405.1795359955526","405.1795359955526","","",""
"1937","100.79657169838019","100.79657169838019","100.79657169838019","","",""
"1979","235.24831369338767","235.24831369338767","235.24831369338767","","",""
"2021","190.42535610274166","190.42535610274166","190.42535610274166","","",""
"2063","63.66319199006357","63.66319199006357","63.66319199006357","","",""
