"Step","earthy-water-386 - test reward","earthy-water-386 - test reward__MIN","earthy-water-386 - test reward__MAX","upbeat-snowball-389 - test reward","upbeat-snowball-389 - test reward__MIN","upbeat-snowball-389 - test reward__MAX","grateful-dust-383 - test reward","grateful-dust-383 - test reward__MIN","grateful-dust-383 - test reward__MAX","graceful-dew-219 - test reward","graceful-dew-219 - test reward__MIN","graceful-dew-219 - test reward__MAX","prime-meadow-233 - test reward","prime-meadow-233 - test reward__MIN","prime-meadow-233 - test reward__MAX","deep-snowflake-239 - test reward","deep-snowflake-239 - test reward__MIN","deep-snowflake-239 - test reward__MAX"
"5","","","","","","","","","","17.7893717386033","17.7893717386033","17.7893717386033","21.329259457504982","21.329259457504982","21.329259457504982","","",""
"7","","","","","","","","","","","","","","","","20.6458271763917","20.6458271763917","20.6458271763917"
"23","16.471945508442122","16.471945508442122","16.471945508442122","18.428090173848364","18.428090173848364","18.428090173848364","12.361917782778956","12.361917782778956","12.361917782778956","","","","","","","","",""
"48","","","","","","","","","","17.582850324046017","17.582850324046017","17.582850324046017","17.86610217582786","17.86610217582786","17.86610217582786","","",""
"70","","","","","","","","","","","","","","","","17.412372253959425","17.412372253959425","17.412372253959425"
"90","","","","","","","","","","18.022997828215114","18.022997828215114","18.022997828215114","19.58312975277297","19.58312975277297","19.58312975277297","","",""
"132","","","","","","","","","","24.02236115723204","24.02236115723204","24.02236115723204","17.847761986486173","17.847761986486173","17.847761986486173","56.53861550299344","56.53861550299344","56.53861550299344"
"174","","","","","","","","","","18.958738607907954","18.958738607907954","18.958738607907954","99.40716954855291","99.40716954855291","99.40716954855291","","",""
"194","","","","","","","","","","","","","","","","136.93487869736296","136.93487869736296","136.93487869736296"
"216","","","","","","","","","","21.399456490133197","21.399456490133197","21.399456490133197","20.35268462281558","20.35268462281558","20.35268462281558","","",""
"245","131.9550165530983","131.9550165530983","131.9550165530983","227.77316556888718","227.77316556888718","227.77316556888718","54.83886047920589","54.83886047920589","54.83886047920589","","","","","","","","",""
"256","","","","","","","","","","","","","","","","189.88352487798983","189.88352487798983","189.88352487798983"
"258","","","","","","","","","","160.9509360821788","160.9509360821788","160.9509360821788","18.673874835903092","18.673874835903092","18.673874835903092","","",""
"300","","","","","","","","","","55.40640188420556","55.40640188420556","55.40640188420556","106.01115072956027","106.01115072956027","106.01115072956027","","",""
"318","","","","","","","","","","","","","","","","229.82089934661252","229.82089934661252","229.82089934661252"
"342","","","","","","","","","","178.9801467545878","178.9801467545878","178.9801467545878","134.13755184778506","134.13755184778506","134.13755184778506","","",""
"380","","","","","","","","","","","","","","","","55.84474084273246","55.84474084273246","55.84474084273246"
"384","","","","","","","","","","139.10060493772747","139.10060493772747","139.10060493772747","190.46579269767741","190.46579269767741","190.46579269767741","","",""
"426","","","","","","","","","","57.47587711008714","57.47587711008714","57.47587711008714","99.83977639452416","99.83977639452416","99.83977639452416","","",""
"442","","","","","","","","","","","","","","","","233.35286397583576","233.35286397583576","233.35286397583576"
"467","102.27528746251403","102.27528746251403","102.27528746251403","232.12700550416488","232.12700550416488","232.12700550416488","100.148602634194","100.148602634194","100.148602634194","","","","","","","","",""
"468","","","","","","","","","","95.92138732823362","95.92138732823362","95.92138732823362","58.35546364059731","58.35546364059731","58.35546364059731","","",""
"504","","","","","","","","","","","","","","","","188.98624207964525","188.98624207964525","188.98624207964525"
"510","","","","","","","","","","142.3794172025561","142.3794172025561","142.3794172025561","98.64769869087263","98.64769869087263","98.64769869087263","","",""
"552","","","","","","","","","","104.25169111864791","104.25169111864791","104.25169111864791","184.84439800269283","184.84439800269283","184.84439800269283","","",""
"566","","","","","","","","","","","","","","","","232.0801347142416","232.0801347142416","232.0801347142416"
"594","","","","","","","","","","188.58734231528237","188.58734231528237","188.58734231528237","233.0537937495482","233.0537937495482","233.0537937495482","","",""
"628","","","","","","","","","","","","","","","","277.0875444866538","277.0875444866538","277.0875444866538"
"636","","","","","","","","","","103.71369148540707","103.71369148540707","103.71369148540707","103.17428061267849","103.17428061267849","103.17428061267849","","",""
"678","","","","","","","","","","272.69465249960007","272.69465249960007","272.69465249960007","100.06871382696525","100.06871382696525","100.06871382696525","","",""
"689","224.98332149129652","224.98332149129652","224.98332149129652","230.73003226771442","230.73003226771442","230.73003226771442","315.58582429224646","315.58582429224646","315.58582429224646","","","","","","","","",""
"690","","","","","","","","","","","","","","","","108.62988803785716","108.62988803785716","108.62988803785716"
"720","","","","","","","","","","105.06210669500365","105.06210669500365","105.06210669500365","144.8173286933309","144.8173286933309","144.8173286933309","","",""
"752","","","","","","","","","","","","","","","","316.8284394265378","316.8284394265378","316.8284394265378"
"762","","","","","","","","","","101.32743580479205","101.32743580479205","101.32743580479205","190.8113145694443","190.8113145694443","190.8113145694443","","",""
"804","","","","","","","","","","152.72178008643954","152.72178008643954","152.72178008643954","276.0696627204301","276.0696627204301","276.0696627204301","","",""
"814","","","","","","","","","","","","","","","","318.3419367691351","318.3419367691351","318.3419367691351"
"848","","","","","","","","","","153.8750872764466","153.8750872764466","153.8750872764466","361.9282805822147","361.9282805822147","361.9282805822147","","",""
"876","","","","","","","","","","","","","","","","186.93432847618206","186.93432847618206","186.93432847618206"
"890","","","","","","","","","","189.33791655382777","189.33791655382777","189.33791655382777","188.28167798210754","188.28167798210754","188.28167798210754","","",""
"911","315.5652578138386","315.5652578138386","315.5652578138386","272.82062137437003","272.82062137437003","272.82062137437003","141.67621185708947","141.67621185708947","141.67621185708947","","","","","","","","",""
"932","","","","","","","","","","274.73086241932685","274.73086241932685","274.73086241932685","270.6413286466165","270.6413286466165","270.6413286466165","","",""
"938","","","","","","","","","","","","","","","","274.1960067916702","274.1960067916702","274.1960067916702"
