"Step","radiant-moon-192 - test reward","radiant-moon-192 - test reward__MIN","radiant-moon-192 - test reward__MAX","frosty-tree-175 - test reward","frosty-tree-175 - test reward__MIN","frosty-tree-175 - test reward__MAX","glorious-frost-185 - test reward","glorious-frost-185 - test reward__MIN","glorious-frost-185 - test reward__MAX"
"5","22.14469772055096","22.14469772055096","22.14469772055096","","","","","",""
"6","","","","15.928944447286861","15.928944447286861","15.928944447286861","18.35669799096918","18.35669799096918","18.35669799096918"
"48","16.015911729949266","16.015911729949266","16.015911729949266","","","","","",""
"50","","","","","","","17.42830472947379","17.42830472947379","17.42830472947379"
"53","","","","14.507644823458174","14.507644823458174","14.507644823458174","","",""
"90","17.551254730436153","17.551254730436153","17.551254730436153","","","","","",""
"93","","","","","","","18.099539182514942","18.099539182514942","18.099539182514942"
"98","","","","22.00959332795343","22.00959332795343","22.00959332795343","","",""
"132","17.726469363940485","17.726469363940485","17.726469363940485","","","","","",""
"136","","","","","","","18.308938008220856","18.308938008220856","18.308938008220856"
"143","","","","17.52595539552474","17.52595539552474","17.52595539552474","","",""
"174","17.89038643384842","17.89038643384842","17.89038643384842","","","","","",""
"179","","","","","","","16.866591079435455","16.866591079435455","16.866591079435455"
"188","","","","17.147510671942054","17.147510671942054","17.147510671942054","","",""
"216","19.334518066288588","19.334518066288588","19.334518066288588","","","","","",""
"222","","","","","","","16.206558168737587","16.206558168737587","16.206558168737587"
"233","","","","17.456862183484716","17.456862183484716","17.456862183484716","","",""
"258","15.60548549240087","15.60548549240087","15.60548549240087","","","","","",""
"267","","","","","","","16.30861796125503","16.30861796125503","16.30861796125503"
"278","","","","15.87102251618137","15.87102251618137","15.87102251618137","","",""
"300","18.37550068318499","18.37550068318499","18.37550068318499","","","","","",""
"312","","","","","","","21.478144888193352","21.478144888193352","21.478144888193352"
"323","","","","18.54511297961715","18.54511297961715","18.54511297961715","","",""
"344","19.354979267699157","19.354979267699157","19.354979267699157","","","","","",""
"357","","","","","","","22.125812521009944","22.125812521009944","22.125812521009944"
"368","","","","19.48533762596581","19.48533762596581","19.48533762596581","","",""
"386","18.058249046874064","18.058249046874064","18.058249046874064","","","","","",""
"402","","","","","","","19.80945945976869","19.80945945976869","19.80945945976869"
"413","","","","16.003216759484655","16.003216759484655","16.003216759484655","","",""
"430","14.613396161003333","14.613396161003333","14.613396161003333","","","","","",""
"447","","","","","","","18.904688478448932","18.904688478448932","18.904688478448932"
"458","","","","16.039072066029785","16.039072066029785","16.039072066029785","","",""
"472","15.713981307467924","15.713981307467924","15.713981307467924","","","","","",""
"492","","","","","","","17.011784794481155","17.011784794481155","17.011784794481155"
"503","","","","15.748534998104754","15.748534998104754","15.748534998104754","","",""
"514","17.886500331756622","17.886500331756622","17.886500331756622","","","","","",""
"537","","","","","","","21.5854163457958","21.5854163457958","21.5854163457958"
"548","","","","18.269921131240828","18.269921131240828","18.269921131240828","","",""
"558","18.537290077803082","18.537290077803082","18.537290077803082","","","","","",""
"582","","","","","","","17.8544106115126","17.8544106115126","17.8544106115126"
"593","","","","22.84406305270883","22.84406305270883","22.84406305270883","","",""
"600","22.38537947737999","22.38537947737999","22.38537947737999","","","","","",""
"627","","","","","","","16.00235846345703","16.00235846345703","16.00235846345703"
"638","","","","23.96098884001161","23.96098884001161","23.96098884001161","","",""
"644","21.56002151203292","21.56002151203292","21.56002151203292","","","","","",""
"672","","","","","","","17.715241490019828","17.715241490019828","17.715241490019828"
"683","","","","16.341446449453194","16.341446449453194","16.341446449453194","","",""
"686","16.231863414487158","16.231863414487158","16.231863414487158","","","","","",""
"717","","","","","","","17.004422979083753","17.004422979083753","17.004422979083753"
"728","19.685090332534138","19.685090332534138","19.685090332534138","18.642994180572554","18.642994180572554","18.642994180572554","","",""
"762","","","","","","","18.842759577736924","18.842759577736924","18.842759577736924"
"772","18.357119368306403","18.357119368306403","18.357119368306403","","","","","",""
"773","","","","19.25721774426301","19.25721774426301","19.25721774426301","","",""
"807","","","","","","","21.0346893633509","21.0346893633509","21.0346893633509"
"814","23.06539827561557","23.06539827561557","23.06539827561557","","","","","",""
"818","","","","19.107689447756346","19.107689447756346","19.107689447756346","","",""
"852","","","","","","","18.891856273497492","18.891856273497492","18.891856273497492"
"858","20.588627809969747","20.588627809969747","20.588627809969747","","","","","",""
"863","","","","21.043513978365418","21.043513978365418","21.043513978365418","","",""
"897","","","","","","","22.928088802137072","22.928088802137072","22.928088802137072"
"900","16.456433485158648","16.456433485158648","16.456433485158648","","","","","",""
"908","","","","19.22128667968363","19.22128667968363","19.22128667968363","","",""
"942","18.897133475119972","18.897133475119972","18.897133475119972","","","","16.896443440415943","16.896443440415943","16.896443440415943"
"953","","","","18.118331797062833","18.118331797062833","18.118331797062833","","",""
"986","15.695844266648075","15.695844266648075","15.695844266648075","","","","","",""
"987","","","","","","","16.281899215901902","16.281899215901902","16.281899215901902"
"998","","","","19.422412361832688","19.422412361832688","19.422412361832688","","",""
"1028","16.657624005708616","16.657624005708616","16.657624005708616","","","","","",""
"1032","","","","","","","20.638625328693102","20.638625328693102","20.638625328693102"
"1043","","","","16.819816275819317","16.819816275819317","16.819816275819317","","",""
"1072","17.96135300651236","17.96135300651236","17.96135300651236","","","","","",""
"1077","","","","","","","20.83510701097869","20.83510701097869","20.83510701097869"
"1088","","","","17.76189186396617","17.76189186396617","17.76189186396617","","",""
"1114","17.314332626972845","17.314332626972845","17.314332626972845","","","","","",""
"1122","","","","","","","19.704199418830708","19.704199418830708","19.704199418830708"
"1133","","","","18.23668934134435","18.23668934134435","18.23668934134435","","",""
"1156","16.652567940817494","16.652567940817494","16.652567940817494","","","","","",""
"1167","","","","","","","18.700292508800764","18.700292508800764","18.700292508800764"
"1178","","","","18.697286576794216","18.697286576794216","18.697286576794216","","",""
"1200","20.822357691143033","20.822357691143033","20.822357691143033","","","","","",""
"1212","","","","","","","20.720548255443763","20.720548255443763","20.720548255443763"
"1223","","","","21.997415656841156","21.997415656841156","21.997415656841156","","",""
