"Step","volcanic-hill-388 - test reward","volcanic-hill-388 - test reward__MIN","volcanic-hill-388 - test reward__MAX","splendid-smoke-203 - test reward","splendid-smoke-203 - test reward__MIN","splendid-smoke-203 - test reward__MAX","radiant-shape-385 - test reward","radiant-shape-385 - test reward__MIN","radiant-shape-385 - test reward__MAX","wobbly-surf-391 - test reward","wobbly-surf-391 - test reward__MIN","wobbly-surf-391 - test reward__MAX"
"5","","","","17.38136190329768","17.38136190329768","17.38136190329768","","","","","",""
"23","15.195412103597565","15.195412103597565","15.195412103597565","","","","19.018126400954518","19.018126400954518","19.018126400954518","17.354513222073734","17.354513222073734","17.354513222073734"
"48","","","","14.640516454135772","14.640516454135772","14.640516454135772","","","","","",""
"90","","","","16.815875557103322","16.815875557103322","16.815875557103322","","","","","",""
"132","","","","16.395659530613756","16.395659530613756","16.395659530613756","","","","","",""
"174","","","","19.030314242057564","19.030314242057564","19.030314242057564","","","","","",""
"216","","","","28.387067973714522","28.387067973714522","28.387067973714522","","","","","",""
"245","106.50712341369521","106.50712341369521","106.50712341369521","","","","19.90560993572769","19.90560993572769","19.90560993572769","20.030078417510726","20.030078417510726","20.030078417510726"
"258","","","","19.201498283112322","19.201498283112322","19.201498283112322","","","","","",""
"300","","","","18.9492775984609","18.9492775984609","18.9492775984609","","","","","",""
"342","","","","15.639669280340135","15.639669280340135","15.639669280340135","","","","","",""
"384","","","","15.277606467538877","15.277606467538877","15.277606467538877","","","","","",""
"426","","","","19.9253348196133","19.9253348196133","19.9253348196133","","","","","",""
"467","143.82928808443717","143.82928808443717","143.82928808443717","","","","150.1716961611327","150.1716961611327","150.1716961611327","61.435353158847946","61.435353158847946","61.435353158847946"
"468","","","","29.2396200849304","29.2396200849304","29.2396200849304","","","","","",""
"510","","","","61.50943736684584","61.50943736684584","61.50943736684584","","","","","",""
"552","","","","18.275542928854858","18.275542928854858","18.275542928854858","","","","","",""
"594","","","","61.34844216574637","61.34844216574637","61.34844216574637","","","","","",""
"636","","","","143.16171577979034","143.16171577979034","143.16171577979034","","","","","",""
"678","","","","176.59949107839094","176.59949107839094","176.59949107839094","","","","","",""
"689","105.73118148701785","105.73118148701785","105.73118148701785","","","","147.77416843761443","147.77416843761443","147.77416843761443","101.89436616713348","101.89436616713348","101.89436616713348"
"720","","","","102.16124173565144","102.16124173565144","102.16124173565144","","","","","",""
"762","","","","96.82203554851174","96.82203554851174","96.82203554851174","","","","","",""
"804","","","","60.53133411445757","60.53133411445757","60.53133411445757","","","","","",""
"846","","","","189.0945135020655","189.0945135020655","189.0945135020655","","","","","",""
"888","","","","17.759502072004715","17.759502072004715","17.759502072004715","","","","","",""
"911","108.36857411828211","108.36857411828211","108.36857411828211","","","","191.9582673622984","191.9582673622984","191.9582673622984","276.0831368022383","276.0831368022383","276.0831368022383"
