"Step","rural-armadillo-241 - test reward","rural-armadillo-241 - test reward__MIN","rural-armadillo-241 - test reward__MAX","peach-terrain-245 - test reward","peach-terrain-245 - test reward__MIN","peach-terrain-245 - test reward__MAX"
"7","16.34388121488302","16.34388121488302","16.34388121488302","18.95977507852256","18.95977507852256","18.95977507852256"
"69","14.283661552878389","14.283661552878389","14.283661552878389","20.1545644646791","20.1545644646791","20.1545644646791"
"131","56.94919907931556","56.94919907931556","56.94919907931556","100.36269815346047","100.36269815346047","100.36269815346047"
"193","230.17911571849973","230.17911571849973","230.17911571849973","105.47024389135102","105.47024389135102","105.47024389135102"
"255","146.03266481664372","146.03266481664372","146.03266481664372","61.652669193145655","61.652669193145655","61.652669193145655"
"317","359.4716827764872","359.4716827764872","359.4716827764872","100.14303859283169","100.14303859283169","100.14303859283169"
"379","182.04470912883642","182.04470912883642","182.04470912883642","99.22907706468472","99.22907706468472","99.22907706468472"
"441","105.73884279786213","105.73884279786213","105.73884279786213","236.51385994543938","236.51385994543938","236.51385994543938"
"503","182.34126429890733","182.34126429890733","182.34126429890733","232.49810595465027","232.49810595465027","232.49810595465027"
"565","311.39694500380386","311.39694500380386","311.39694500380386","148.92798001324607","148.92798001324607","148.92798001324607"
"627","107.73657330585647","107.73657330585647","107.73657330585647","109.59036714384146","109.59036714384146","109.59036714384146"
"689","189.01772726290181","189.01772726290181","189.01772726290181","233.04968236178925","233.04968236178925","233.04968236178925"
"751","360.80254548612305","360.80254548612305","360.80254548612305","224.95377369321713","224.95377369321713","224.95377369321713"
"813","188.6063325223709","188.6063325223709","188.6063325223709","187.39044657409116","187.39044657409116","187.39044657409116"
"875","188.6138964725452","188.6138964725452","188.6138964725452","316.69808808167744","316.69808808167744","316.69808808167744"
"937","196.56507228547062","196.56507228547062","196.56507228547062","59.04017903895796","59.04017903895796","59.04017903895796"
"999","367.68533472087626","367.68533472087626","367.68533472087626","231.2327888899788","231.2327888899788","231.2327888899788"
"1061","190.32953540895147","190.32953540895147","190.32953540895147","190.05405506323444","190.05405506323444","190.05405506323444"
"1123","444.86670562887974","444.86670562887974","444.86670562887974","281.21400812661216","281.21400812661216","281.21400812661216"
"1185","231.15171204030275","231.15171204030275","231.15171204030275","320.57822982455843","320.57822982455843","320.57822982455843"
"1247","145.8748599966528","145.8748599966528","145.8748599966528","183.56034880480541","183.56034880480541","183.56034880480541"
"1309","316.6903769310026","316.6903769310026","316.6903769310026","358.65804453340303","358.65804453340303","358.65804453340303"
"1371","232.76443842155953","232.76443842155953","232.76443842155953","186.4281633579018","186.4281633579018","186.4281633579018"
"1433","409.57471727200925","409.57471727200925","409.57471727200925","318.77825579769285","318.77825579769285","318.77825579769285"
"1495","360.62026044481917","360.62026044481917","360.62026044481917","188.96560247123116","188.96560247123116","188.96560247123116"
"1557","273.75883671332446","273.75883671332446","273.75883671332446","236.70383128830605","236.70383128830605","236.70383128830605"
"1619","322.4520684259744","322.4520684259744","322.4520684259744","364.17353997998833","364.17353997998833","364.17353997998833"
"1681","318.40909147933723","318.40909147933723","318.40909147933723","191.9404764449416","191.9404764449416","191.9404764449416"
"1743","61.02351457712632","61.02351457712632","61.02351457712632","360.61454354710156","360.61454354710156","360.61454354710156"
"1805","273.3285835159212","273.3285835159212","273.3285835159212","236.29645678800958","236.29645678800958","236.29645678800958"
"1867","229.6090654430206","229.6090654430206","229.6090654430206","229.0569844726894","229.0569844726894","229.0569844726894"
"1929","316.3600129212988","316.3600129212988","316.3600129212988","405.77814324639365","405.77814324639365","405.77814324639365"
"1991","402.58976966448284","402.58976966448284","402.58976966448284","367.6830516835033","367.6830516835033","367.6830516835033"
"2053","228.78471507637838","228.78471507637838","228.78471507637838","184.74367160460602","184.74367160460602","184.74367160460602"
"2115","237.17496357731505","237.17496357731505","237.17496357731505","271.63319059445723","271.63319059445723","271.63319059445723"
"2177","278.3535364027881","278.3535364027881","278.3535364027881","317.3666637113308","317.3666637113308","317.3666637113308"
"2239","227.77438345337788","227.77438345337788","227.77438345337788","152.53148379642343","152.53148379642343","152.53148379642343"
"2301","320.1831779487728","320.1831779487728","320.1831779487728","274.70298930914","274.70298930914","274.70298930914"
"2363","151.05961896747723","151.05961896747723","151.05961896747723","185.68056866796502","185.68056866796502","185.68056866796502"
"2425","278.4535098655818","278.4535098655818","278.4535098655818","275.49423498104045","275.49423498104045","275.49423498104045"
"2487","279.2655025503346","279.2655025503346","279.2655025503346","279.514278808408","279.514278808408","279.514278808408"
"2549","449.6608570775587","449.6608570775587","449.6608570775587","232.6616689894628","232.6616689894628","232.6616689894628"
"2611","324.025612900181","324.025612900181","324.025612900181","360.02915769850586","360.02915769850586","360.02915769850586"
"2673","358.66314569923907","358.66314569923907","358.66314569923907","524.8253026717667","524.8253026717667","524.8253026717667"
"2735","363.31782825998266","363.31782825998266","363.31782825998266","232.15215694767116","232.15215694767116","232.15215694767116"
"2797","404.1975605225003","404.1975605225003","404.1975605225003","362.79496024732373","362.79496024732373","362.79496024732373"
"2859","322.0217598879567","322.0217598879567","322.0217598879567","325.42752704985185","325.42752704985185","325.42752704985185"
"2921","275.64492829799235","275.64492829799235","275.64492829799235","404.4122803380982","404.4122803380982","404.4122803380982"
"2983","272.11548097897304","272.11548097897304","272.11548097897304","280.5730414848877","280.5730414848877","280.5730414848877"
"3045","406.26476343892574","406.26476343892574","406.26476343892574","359.7853621907","359.7853621907","359.7853621907"
