"Step","deep-moon-137 - test reward","deep-moon-137 - test reward__MIN","deep-moon-137 - test reward__MAX","grateful-shadow-76 - test reward","grateful-shadow-76 - test reward__MIN","grateful-shadow-76 - test reward__MAX","chocolate-sea-79 - test reward","chocolate-sea-79 - test reward__MIN","chocolate-sea-79 - test reward__MAX"
"26","19.09496870848602","19.09496870848602","19.09496870848602","18.58250634504183","18.58250634504183","18.58250634504183","17.109523376953447","17.109523376953447","17.109523376953447"
"269","21.9940003135314","21.9940003135314","21.9940003135314","57.93178964004429","57.93178964004429","57.93178964004429","56.16215863080362","56.16215863080362","56.16215863080362"
"512","183.3831464827831","183.3831464827831","183.3831464827831","102.41352626833161","102.41352626833161","102.41352626833161","14.609684363832343","14.609684363832343","14.609684363832343"
"755","59.20048343611753","59.20048343611753","59.20048343611753","233.86863994812126","233.86863994812126","233.86863994812126","189.10561944192574","189.10561944192574","189.10561944192574"
"998","106.48081296850448","106.48081296850448","106.48081296850448","230.98011555551676","230.98011555551676","230.98011555551676","233.07396535586395","233.07396535586395","233.07396535586395"
"1241","111.14500795610545","111.14500795610545","111.14500795610545","441.7357771038317","441.7357771038317","441.7357771038317","142.8223251660327","142.8223251660327","142.8223251660327"
"1484","237.1548463186345","237.1548463186345","237.1548463186345","101.37780305486145","101.37780305486145","101.37780305486145","150.55360274344048","150.55360274344048","150.55360274344048"
"1727","142.39186137884462","142.39186137884462","142.39186137884462","190.80462901037623","190.80462901037623","190.80462901037623","279.09793238341337","279.09793238341337","279.09793238341337"
"1970","277.06542395519483","277.06542395519483","277.06542395519483","190.65649010929877","190.65649010929877","190.65649010929877","234.23513250958803","234.23513250958803","234.23513250958803"
"2213","15.755211015351009","15.755211015351009","15.755211015351009","189.53706248485884","189.53706248485884","189.53706248485884","407.59768416086627","407.59768416086627","407.59768416086627"
"2456","191.97184121036972","191.97184121036972","191.97184121036972","409.4954023041213","409.4954023041213","409.4954023041213","232.59622306243537","232.59622306243537","232.59622306243537"
"2699","149.62672258545453","149.62672258545453","149.62672258545453","274.6161830262908","274.6161830262908","274.6161830262908","189.355429121682","189.355429121682","189.355429121682"
"2942","101.71739000174531","101.71739000174531","101.71739000174531","360.8528770859389","360.8528770859389","360.8528770859389","144.97797231064575","144.97797231064575","144.97797231064575"
"3185","232.29071845292395","232.29071845292395","232.29071845292395","286.1309274562988","286.1309274562988","286.1309274562988","275.10466485770127","275.10466485770127","275.10466485770127"
"3428","234.43109976407248","234.43109976407248","234.43109976407248","317.4140441940201","317.4140441940201","317.4140441940201","273.4341957395629","273.4341957395629","273.4341957395629"
"3671","279.3188585074516","279.3188585074516","279.3188585074516","361.9259464785411","361.9259464785411","361.9259464785411","228.54978668527724","228.54978668527724","228.54978668527724"
"3914","111.85892955683016","111.85892955683016","111.85892955683016","398.04083019985035","398.04083019985035","398.04083019985035","232.62964291803502","232.62964291803502","232.62964291803502"
"4157","237.84096742525873","237.84096742525873","237.84096742525873","","","","317.04703818654815","317.04703818654815","317.04703818654815"
"4158","","","","439.1785888277952","439.1785888277952","439.1785888277952","","",""
"4400","63.343041660516654","63.343041660516654","63.343041660516654","","","","449.28374445233686","449.28374445233686","449.28374445233686"
"4401","","","","139.4865622829047","139.4865622829047","139.4865622829047","","",""
"4643","322.21793688041726","322.21793688041726","322.21793688041726","","","","","",""
"4644","","","","396.3159220563116","396.3159220563116","396.3159220563116","313.92800247529317","313.92800247529317","313.92800247529317"
"4886","228.30591481045622","228.30591481045622","228.30591481045622","","","","","",""
"4887","","","","266.24953150031257","266.24953150031257","266.24953150031257","309.8041222910332","309.8041222910332","309.8041222910332"
"5129","283.37648287094703","283.37648287094703","283.37648287094703","","","","","",""
"5130","","","","231.86158329715028","231.86158329715028","231.86158329715028","225.8774481338068","225.8774481338068","225.8774481338068"
"5372","322.1379869012117","322.1379869012117","322.1379869012117","","","","","",""
"5373","","","","316.56008363620106","316.56008363620106","316.56008363620106","182.23620759076258","182.23620759076258","182.23620759076258"
"5616","276.44596291903747","276.44596291903747","276.44596291903747","226.27828652426683","226.27828652426683","226.27828652426683","139.69970105638325","139.69970105638325","139.69970105638325"
"5859","224.24525660892755","224.24525660892755","224.24525660892755","395.5187431830059","395.5187431830059","395.5187431830059","390.5433171629674","390.5433171629674","390.5433171629674"
"6102","147.5644074966215","147.5644074966215","147.5644074966215","","","","","",""
"6345","148.82737782692644","148.82737782692644","148.82737782692644","","","","","",""
"6588","308.57722572043315","308.57722572043315","308.57722572043315","","","","","",""
"6831","182.01844759126217","182.01844759126217","182.01844759126217","","","","","",""
"7074","314.05956279539674","314.05956279539674","314.05956279539674","","","","","",""
"7317","96.66307184359246","96.66307184359246","96.66307184359246","","","","","",""
"7560","269.180048999024","269.180048999024","269.180048999024","","","","","",""
"7803","360.3423692801094","360.3423692801094","360.3423692801094","","","","","",""
"8046","272.05735744375636","272.05735744375636","272.05735744375636","","","","","",""
"8289","436.3583908339966","436.3583908339966","436.3583908339966","","","","","",""
