"Step","still-dream-230 - test reward","still-dream-230 - test reward__MIN","still-dream-230 - test reward__MAX","lemon-bird-113 - test reward","lemon-bird-113 - test reward__MIN","lemon-bird-113 - test reward__MAX"
"28","20.2374277718888","20.2374277718888","20.2374277718888","20.702707515869157","20.702707515869157","20.702707515869157"
"281","40.07241444591732","40.07241444591732","40.07241444591732","55.52252519480959","55.52252519480959","55.52252519480959"
"534","148.5771852428145","148.5771852428145","148.5771852428145","97.14624697425612","97.14624697425612","97.14624697425612"
"787","185.49524611789525","185.49524611789525","185.49524611789525","271.0743166629396","271.0743166629396","271.0743166629396"
"1040","273.17505356968684","273.17505356968684","273.17505356968684","149.84165326293","149.84165326293","149.84165326293"
"1296","317.70381359103936","317.70381359103936","317.70381359103936","184.00714691088623","184.00714691088623","184.00714691088623"
"1549","281.3781696232657","281.3781696232657","281.3781696232657","180.75323389751546","180.75323389751546","180.75323389751546"
"1802","318.634670217324","318.634670217324","318.634670217324","311.72615479593424","311.72615479593424","311.72615479593424"
"2055","320.48372339280735","320.48372339280735","320.48372339280735","222.9015110707402","222.9015110707402","222.9015110707402"
"2308","276.87816602754435","276.87816602754435","276.87816602754435","148.10690829689545","148.10690829689545","148.10690829689545"
"2564","359.64663825951095","359.64663825951095","359.64663825951095","89.85947022946797","89.85947022946797","89.85947022946797"
"2817","100.60453440650545","100.60453440650545","100.60453440650545","425.568548648759","425.568548648759","425.568548648759"
"3070","229.44660710397844","229.44660710397844","229.44660710397844","336.9940804902225","336.9940804902225","336.9940804902225"
"3323","316.8178550099058","316.8178550099058","316.8178550099058","424.63940054206614","424.63940054206614","424.63940054206614"
"3576","449.42527090462744","449.42527090462744","449.42527090462744","347.9046828300951","347.9046828300951","347.9046828300951"
"3831","","","","302.3632020382292","302.3632020382292","302.3632020382292"
"3832","364.1699662688429","364.1699662688429","364.1699662688429","","",""
"4084","","","","341.03447337417055","341.03447337417055","341.03447337417055"
"4085","319.51043631676663","319.51043631676663","319.51043631676663","","",""
"4337","","","","257.93128297588885","257.93128297588885","257.93128297588885"
"4338","364.7937397694155","364.7937397694155","364.7937397694155","","",""
"4591","442.73235312387743","442.73235312387743","442.73235312387743","378.6166547379081","378.6166547379081","378.6166547379081"
"4844","451.5929092782594","451.5929092782594","451.5929092782594","290.60669221572647","290.60669221572647","290.60669221572647"
"5099","","","","364.878399250662","364.878399250662","364.878399250662"
"5100","314.6890722969311","314.6890722969311","314.6890722969311","","",""
"5352","","","","337.42877173023425","337.42877173023425","337.42877173023425"
"5353","232.88397883347778","232.88397883347778","232.88397883347778","","",""
"5605","","","","413.5175527676819","413.5175527676819","413.5175527676819"
"5606","363.2752833855817","363.2752833855817","363.2752833855817","","",""
"5858","","","","372.12365259862224","372.12365259862224","372.12365259862224"
"5859","239.81922612265512","239.81922612265512","239.81922612265512","","",""
"6111","","","","165.01411488320468","165.01411488320468","165.01411488320468"
"6112","451.32455504507715","451.32455504507715","451.32455504507715","","",""
"6366","","","","334.5726422028302","334.5726422028302","334.5726422028302"
"6368","356.17243837514815","356.17243837514815","356.17243837514815","","",""
"6619","","","","213.17125591201088","213.17125591201088","213.17125591201088"
"6621","191.14755783106517","191.14755783106517","191.14755783106517","","",""
"6872","","","","615.2902725715733","615.2902725715733","615.2902725715733"
"6874","363.4254243659355","363.4254243659355","363.4254243659355","","",""
"7125","","","","329.7368596367502","329.7368596367502","329.7368596367502"
"7127","363.9065957241766","363.9065957241766","363.9065957241766","","",""
"7378","","","","409.29647314252816","409.29647314252816","409.29647314252816"
"7380","401.54051939934664","401.54051939934664","401.54051939934664","","",""
"7633","","","","368.0842111313657","368.0842111313657","368.0842111313657"
"7636","192.46999326229619","192.46999326229619","192.46999326229619","","",""
"7887","","","","201.11541251569636","201.11541251569636","201.11541251569636"
"7889","318.2146431315953","318.2146431315953","318.2146431315953","","",""
"8142","275.0434933455624","275.0434933455624","275.0434933455624","","",""
"8395","361.09249905130423","361.09249905130423","361.09249905130423","","",""
"8648","274.06688526832073","274.06688526832073","274.06688526832073","","",""
"8904","317.32299535821767","317.32299535821767","317.32299535821767","","",""
"9157","283.5725297716991","283.5725297716991","283.5725297716991","","",""
"9410","104.34681799026366","104.34681799026366","104.34681799026366","","",""
"9663","317.5667099348557","317.5667099348557","317.5667099348557","","",""
"9916","232.07911099527473","232.07911099527473","232.07911099527473","","",""
"10172","270.31948677059313","270.31948677059313","270.31948677059313","","",""
"10425","195.69045693362935","195.69045693362935","195.69045693362935","","",""
"10678","272.52923397845336","272.52923397845336","272.52923397845336","","",""
"10931","277.74101242924286","277.74101242924286","277.74101242924286","","",""
"11184","323.8731195712536","323.8731195712536","323.8731195712536","","",""
"11438","403.603999261083","403.603999261083","403.603999261083","","",""
"11691","276.04405899797416","276.04405899797416","276.04405899797416","","",""
"11944","235.56517711854636","235.56517711854636","235.56517711854636","","",""
"12197","232.07418373741947","232.07418373741947","232.07418373741947","","",""
"12450","275.3278785978469","275.3278785978469","275.3278785978469","","",""
