"Step","efficient-morning-37 - test/returns_stat/mean","efficient-morning-37 - test/returns_stat/mean__MIN","efficient-morning-37 - test/returns_stat/mean__MAX","resilient-blaze-24 - test/returns_stat/mean","resilient-blaze-24 - test/returns_stat/mean__MIN","resilient-blaze-24 - test/returns_stat/mean__MAX"
"0","40.50356674194336","40.50356674194336","40.50356674194336","35.26681900024414","35.26681900024414","35.26681900024414"
"30","36.7608528137207","36.7608528137207","36.7608528137207","30.59712028503418","30.59712028503418","30.59712028503418"
"59","","","","30.314979553222656","30.314979553222656","30.314979553222656"
"61","37.54399490356445","37.54399490356445","37.54399490356445","","",""
"89","","","","31.217050552368164","31.217050552368164","31.217050552368164"
"90","32.38081359863281","32.38081359863281","32.38081359863281","","",""
"120","","","","30.995880126953125","30.995880126953125","30.995880126953125"
"121","38.99758529663086","38.99758529663086","38.99758529663086","","",""
"149","","","","44.25693130493164","44.25693130493164","44.25693130493164"
"150","43.94842529296875","43.94842529296875","43.94842529296875","","",""
"180","","","","58.66679763793945","58.66679763793945","58.66679763793945"
"181","41.87457275390625","41.87457275390625","41.87457275390625","","",""
"210","46.19853591918945","46.19853591918945","46.19853591918945","51.045623779296875","51.045623779296875","51.045623779296875"
"240","","","","37.8238525390625","37.8238525390625","37.8238525390625"
"241","38.58986282348633","38.58986282348633","38.58986282348633","","",""
"270","67.4272689819336","67.4272689819336","67.4272689819336","70.95963287353516","70.95963287353516","70.95963287353516"
"298","","","","87.70967102050781","87.70967102050781","87.70967102050781"
"301","60.19682693481445","60.19682693481445","60.19682693481445","","",""
"329","","","","98.64834594726562","98.64834594726562","98.64834594726562"
"331","49.21736526489258","49.21736526489258","49.21736526489258","","",""
"358","","","","48.82130813598633","48.82130813598633","48.82130813598633"
"361","110.83602142333984","110.83602142333984","110.83602142333984","","",""
"388","","","","122.53528594970703","122.53528594970703","122.53528594970703"
"391","116.7901382446289","116.7901382446289","116.7901382446289","","",""
"418","","","","108.49720764160156","108.49720764160156","108.49720764160156"
"420","73.51001739501953","73.51001739501953","73.51001739501953","","",""
"447","","","","57.40800476074219","57.40800476074219","57.40800476074219"
"450","120.39092254638672","120.39092254638672","120.39092254638672","","",""
"477","","","","126.80768585205078","126.80768585205078","126.80768585205078"
"480","52.17627716064453","52.17627716064453","52.17627716064453","","",""
"505","","","","119.30098724365234","119.30098724365234","119.30098724365234"
"509","279.10748291015625","279.10748291015625","279.10748291015625","","",""
"534","","","","89.01786041259766","89.01786041259766","89.01786041259766"
"537","86.6411361694336","86.6411361694336","86.6411361694336","","",""
"564","93.53424835205078","93.53424835205078","93.53424835205078","87.14839172363281","87.14839172363281","87.14839172363281"
"592","216.20932006835938","216.20932006835938","216.20932006835938","83.88812255859375","83.88812255859375","83.88812255859375"
"621","79.37152099609375","79.37152099609375","79.37152099609375","","",""
"622","","","","109.50298309326172","109.50298309326172","109.50298309326172"
"650","147.81875610351562","147.81875610351562","147.81875610351562","","",""
"651","","","","103.93061828613281","103.93061828613281","103.93061828613281"
"680","187.33949279785156","187.33949279785156","187.33949279785156","155.62672424316406","155.62672424316406","155.62672424316406"
"708","","","","131.64007568359375","131.64007568359375","131.64007568359375"
"710","71.33512878417969","71.33512878417969","71.33512878417969","","",""
"738","78.1332778930664","78.1332778930664","78.1332778930664","124.21791076660156","124.21791076660156","124.21791076660156"
"767","","","","116.41781616210938","116.41781616210938","116.41781616210938"
"768","61.034767150878906","61.034767150878906","61.034767150878906","","",""
"797","","","","84.52434539794922","84.52434539794922","84.52434539794922"
"798","85.66685485839844","85.66685485839844","85.66685485839844","","",""
"826","","","","161.18182373046875","161.18182373046875","161.18182373046875"
"828","77.5458984375","77.5458984375","77.5458984375","","",""
"856","90.4483413696289","90.4483413696289","90.4483413696289","","",""
"886","95.64515686035156","95.64515686035156","95.64515686035156","","",""
"916","40.749996185302734","40.749996185302734","40.749996185302734","","",""
"946","89.09429931640625","89.09429931640625","89.09429931640625","","",""
"975","78.91146850585938","78.91146850585938","78.91146850585938","","",""
"1004","130.22218322753906","130.22218322753906","130.22218322753906","","",""
"1034","112.97725677490234","112.97725677490234","112.97725677490234","","",""
"1063","54.541011810302734","54.541011810302734","54.541011810302734","","",""
"1093","69.25999450683594","69.25999450683594","69.25999450683594","","",""
"1122","92.36135864257812","92.36135864257812","92.36135864257812","","",""
"1152","70.45390319824219","70.45390319824219","70.45390319824219","","",""
"1181","53.73862075805664","53.73862075805664","53.73862075805664","","",""
"1211","90.95916748046875","90.95916748046875","90.95916748046875","","",""
"1240","104.57174682617188","104.57174682617188","104.57174682617188","","",""
"1270","112.59191131591797","112.59191131591797","112.59191131591797","","",""
"1299","70.20472717285156","70.20472717285156","70.20472717285156","","",""
"1329","78.81533813476562","78.81533813476562","78.81533813476562","","",""
"1359","130.1788787841797","130.1788787841797","130.1788787841797","","",""
"1389","64.76838684082031","64.76838684082031","64.76838684082031","","",""
"1419","115.6422119140625","115.6422119140625","115.6422119140625","","",""
"1448","83.72322845458984","83.72322845458984","83.72322845458984","","",""
"1477","96.84709930419922","96.84709930419922","96.84709930419922","","",""
