"Step","lemon-pond-42 - test/returns_stat/mean","lemon-pond-42 - test/returns_stat/mean__MIN","lemon-pond-42 - test/returns_stat/mean__MAX","ethereal-dream-41 - test/returns_stat/mean","ethereal-dream-41 - test/returns_stat/mean__MIN","ethereal-dream-41 - test/returns_stat/mean__MAX","glowing-valley-23 - test/returns_stat/mean","glowing-valley-23 - test/returns_stat/mean__MIN","glowing-valley-23 - test/returns_stat/mean__MAX"
"0","42.19171905517578","42.19171905517578","42.19171905517578","33.80219650268555","33.80219650268555","33.80219650268555","30.938749313354492","30.938749313354492","30.938749313354492"
"28","33.773033142089844","33.773033142089844","33.773033142089844","38.534996032714844","38.534996032714844","38.534996032714844","37.69276809692383","37.69276809692383","37.69276809692383"
"59","","","","","","","35.6378288269043","35.6378288269043","35.6378288269043"
"60","41.063655853271484","41.063655853271484","41.063655853271484","38.47084426879883","38.47084426879883","38.47084426879883","","",""
"87","","","","","","","35.84192657470703","35.84192657470703","35.84192657470703"
"88","31.309274673461914","31.309274673461914","31.309274673461914","43.38568878173828","43.38568878173828","43.38568878173828","","",""
"116","","","","27.55683135986328","27.55683135986328","27.55683135986328","","",""
"118","","","","","","","36.405208587646484","36.405208587646484","36.405208587646484"
"119","37.116878509521484","37.116878509521484","37.116878509521484","","","","","",""
"147","","","","42.47898483276367","42.47898483276367","42.47898483276367","37.5019645690918","37.5019645690918","37.5019645690918"
"149","45.624446868896484","45.624446868896484","45.624446868896484","","","","","",""
"174","","","","42.93821334838867","42.93821334838867","42.93821334838867","","",""
"178","49.91755676269531","49.91755676269531","49.91755676269531","","","","40.333763122558594","40.333763122558594","40.333763122558594"
"205","","","","37.870479583740234","37.870479583740234","37.870479583740234","","",""
"207","","","","","","","32.001827239990234","32.001827239990234","32.001827239990234"
"209","68.50373077392578","68.50373077392578","68.50373077392578","","","","","",""
"235","","","","52.88043212890625","52.88043212890625","52.88043212890625","36.08740234375","36.08740234375","36.08740234375"
"236","86.42427062988281","86.42427062988281","86.42427062988281","","","","","",""
"260","558.9489135742188","558.9489135742188","558.9489135742188","","","","","",""
"266","","","","44.11096954345703","44.11096954345703","44.11096954345703","34.70982360839844","34.70982360839844","34.70982360839844"
"285","336.9366149902344","336.9366149902344","336.9366149902344","","","","","",""
"294","","","","","","","38.631927490234375","38.631927490234375","38.631927490234375"
"295","","","","56.37813186645508","56.37813186645508","56.37813186645508","","",""
"311","87.90544891357422","87.90544891357422","87.90544891357422","","","","","",""
"322","","","","389.53851318359375","389.53851318359375","389.53851318359375","","",""
"325","","","","","","","29.982933044433594","29.982933044433594","29.982933044433594"
"339","428.63555908203125","428.63555908203125","428.63555908203125","","","","","",""
"350","","","","604.2750244140625","604.2750244140625","604.2750244140625","","",""
"352","","","","","","","29.021818161010742","29.021818161010742","29.021818161010742"
"368","79.34900665283203","79.34900665283203","79.34900665283203","","","","","",""
"379","","","","136.80088806152344","136.80088806152344","136.80088806152344","","",""
"383","","","","","","","35.709320068359375","35.709320068359375","35.709320068359375"
"397","121.4361801147461","121.4361801147461","121.4361801147461","","","","","",""
"406","","","","84.98827362060547","84.98827362060547","84.98827362060547","","",""
"412","","","","","","","34.59062194824219","34.59062194824219","34.59062194824219"
"425","56.19890213012695","56.19890213012695","56.19890213012695","","","","","",""
"435","","","","99.95561218261719","99.95561218261719","99.95561218261719","","",""
"440","","","","","","","44.784645080566406","44.784645080566406","44.784645080566406"
"456","258.0588073730469","258.0588073730469","258.0588073730469","","","","","",""
"465","","","","126.2657470703125","126.2657470703125","126.2657470703125","","",""
