"Step","solar-fog-35 - test/lens_stat/mean","solar-fog-35 - test/lens_stat/mean__MIN","solar-fog-35 - test/lens_stat/mean__MAX","summer-bee-34 - test/lens_stat/mean","summer-bee-34 - test/lens_stat/mean__MIN","summer-bee-34 - test/lens_stat/mean__MAX"
"0","36.5","36.5","36.5","31.200000762939453","31.200000762939453","31.200000762939453"
"28","38.400001525878906","38.400001525878906","38.400001525878906","36.599998474121094","36.599998474121094","36.599998474121094"
"59","32.79999923706055","32.79999923706055","32.79999923706055","39.79999923706055","39.79999923706055","39.79999923706055"
"86","","","","40.900001525878906","40.900001525878906","40.900001525878906"
"87","33.70000076293945","33.70000076293945","33.70000076293945","","",""
"117","44.70000076293945","44.70000076293945","44.70000076293945","29.5","29.5","29.5"
"146","","","","30.600000381469727","30.600000381469727","30.600000381469727"
"148","70.0999984741211","70.0999984741211","70.0999984741211","","",""
"177","","","","36","36","36"
"178","65.30000305175781","65.30000305175781","65.30000305175781","","",""
"207","","","","35.70000076293945","35.70000076293945","35.70000076293945"
"208","69.5","69.5","69.5","","",""
"236","177.5","177.5","177.5","","",""
"238","","","","44.70000076293945","44.70000076293945","44.70000076293945"
"262","108.4000015258789","108.4000015258789","108.4000015258789","","",""
"267","","","","70.30000305175781","70.30000305175781","70.30000305175781"
"288","60.79999923706055","60.79999923706055","60.79999923706055","","",""
"297","","","","84.69999694824219","84.69999694824219","84.69999694824219"
"316","85.5999984741211","85.5999984741211","85.5999984741211","","",""
"326","","","","276.5","276.5","276.5"
"346","228.8000030517578","228.8000030517578","228.8000030517578","","",""
"353","","","","260.20001220703125","260.20001220703125","260.20001220703125"
"374","50","50","50","","",""
"381","","","","430.29998779296875","430.29998779296875","430.29998779296875"
"401","117.5999984741211","117.5999984741211","117.5999984741211","","",""
"408","","","","62.099998474121094","62.099998474121094","62.099998474121094"
"430","93.69999694824219","93.69999694824219","93.69999694824219","","",""
"436","","","","425.20001220703125","425.20001220703125","425.20001220703125"
"458","69.0999984741211","69.0999984741211","69.0999984741211","","",""
"465","","","","177.1999969482422","177.1999969482422","177.1999969482422"
"488","142.10000610351562","142.10000610351562","142.10000610351562","","",""
"490","","","","82.80000305175781","82.80000305175781","82.80000305175781"
"518","127","127","127","","",""
"519","","","","161.60000610351562","161.60000610351562","161.60000610351562"
"546","","","","115.69999694824219","115.69999694824219","115.69999694824219"
"547","115.0999984741211","115.0999984741211","115.0999984741211","","",""
"574","","","","80.9000015258789","80.9000015258789","80.9000015258789"
"577","219.3000030517578","219.3000030517578","219.3000030517578","","",""
"603","","","","78.80000305175781","78.80000305175781","78.80000305175781"
"605","77.80000305175781","77.80000305175781","77.80000305175781","","",""
"633","93","93","93","63","63","63"
"662","100.4000015258789","100.4000015258789","100.4000015258789","","",""
"663","","","","116.5999984741211","116.5999984741211","116.5999984741211"
"691","177.89999389648438","177.89999389648438","177.89999389648438","","",""
"693","","","","111.69999694824219","111.69999694824219","111.69999694824219"
