"Step","autumn-frost-44 - test/returns_stat/mean","autumn-frost-44 - test/returns_stat/mean__MIN","autumn-frost-44 - test/returns_stat/mean__MAX","efficient-morning-37 - test/returns_stat/mean","efficient-morning-37 - test/returns_stat/mean__MIN","efficient-morning-37 - test/returns_stat/mean__MAX","resilient-blaze-24 - test/returns_stat/mean","resilient-blaze-24 - test/returns_stat/mean__MIN","resilient-blaze-24 - test/returns_stat/mean__MAX"
"0","18.379098892211914","18.379098892211914","18.379098892211914","40.50356674194336","40.50356674194336","40.50356674194336","35.26681900024414","35.26681900024414","35.26681900024414"
"28","14.776153564453125","14.776153564453125","14.776153564453125","","","","","",""
"30","","","","36.7608528137207","36.7608528137207","36.7608528137207","30.59712028503418","30.59712028503418","30.59712028503418"
"59","15.190119743347168","15.190119743347168","15.190119743347168","","","","30.314979553222656","30.314979553222656","30.314979553222656"
"61","","","","37.54399490356445","37.54399490356445","37.54399490356445","","",""
"87","19.747543334960938","19.747543334960938","19.747543334960938","","","","","",""
"89","","","","","","","31.217050552368164","31.217050552368164","31.217050552368164"
"90","","","","32.38081359863281","32.38081359863281","32.38081359863281","","",""
"118","17.189878463745117","17.189878463745117","17.189878463745117","","","","","",""
"120","","","","","","","30.995880126953125","30.995880126953125","30.995880126953125"
"121","","","","38.99758529663086","38.99758529663086","38.99758529663086","","",""
"145","19.825824737548828","19.825824737548828","19.825824737548828","","","","","",""
"149","","","","","","","44.25693130493164","44.25693130493164","44.25693130493164"
"150","","","","43.94842529296875","43.94842529296875","43.94842529296875","","",""
"176","20.014001846313477","20.014001846313477","20.014001846313477","","","","","",""
"180","","","","","","","58.66679763793945","58.66679763793945","58.66679763793945"
"181","","","","41.87457275390625","41.87457275390625","41.87457275390625","","",""
"206","39.983707427978516","39.983707427978516","39.983707427978516","","","","","",""
"210","","","","46.19853591918945","46.19853591918945","46.19853591918945","51.045623779296875","51.045623779296875","51.045623779296875"
"235","40.10184097290039","40.10184097290039","40.10184097290039","","","","","",""
"240","","","","","","","37.8238525390625","37.8238525390625","37.8238525390625"
"241","","","","38.58986282348633","38.58986282348633","38.58986282348633","","",""
"263","27.00307273864746","27.00307273864746","27.00307273864746","","","","","",""
"270","","","","67.4272689819336","67.4272689819336","67.4272689819336","70.95963287353516","70.95963287353516","70.95963287353516"
"288","30.847074508666992","30.847074508666992","30.847074508666992","","","","","",""
"298","","","","","","","87.70967102050781","87.70967102050781","87.70967102050781"
"301","","","","60.19682693481445","60.19682693481445","60.19682693481445","","",""
"317","45.6141471862793","45.6141471862793","45.6141471862793","","","","","",""
"329","","","","","","","98.64834594726562","98.64834594726562","98.64834594726562"
"331","","","","49.21736526489258","49.21736526489258","49.21736526489258","","",""
"346","445.9737548828125","445.9737548828125","445.9737548828125","","","","","",""
"358","","","","","","","48.82130813598633","48.82130813598633","48.82130813598633"
"361","","","","110.83602142333984","110.83602142333984","110.83602142333984","","",""
"373","51.87085723876953","51.87085723876953","51.87085723876953","","","","","",""
"388","","","","","","","122.53528594970703","122.53528594970703","122.53528594970703"
"391","","","","116.7901382446289","116.7901382446289","116.7901382446289","","",""
"403","48.543373107910156","48.543373107910156","48.543373107910156","","","","","",""
"418","","","","","","","108.49720764160156","108.49720764160156","108.49720764160156"
"420","","","","73.51001739501953","73.51001739501953","73.51001739501953","","",""
"432","73.20201873779297","73.20201873779297","73.20201873779297","","","","","",""
"447","","","","","","","57.40800476074219","57.40800476074219","57.40800476074219"
"450","","","","120.39092254638672","120.39092254638672","120.39092254638672","","",""
"462","36.42131805419922","36.42131805419922","36.42131805419922","","","","","",""
"477","","","","","","","126.80768585205078","126.80768585205078","126.80768585205078"
"480","","","","52.17627716064453","52.17627716064453","52.17627716064453","","",""
"489","29.550992965698242","29.550992965698242","29.550992965698242","","","","","",""
"505","","","","","","","119.30098724365234","119.30098724365234","119.30098724365234"
"509","","","","279.10748291015625","279.10748291015625","279.10748291015625","","",""
"515","40.91139221191406","40.91139221191406","40.91139221191406","","","","","",""
"534","","","","","","","89.01786041259766","89.01786041259766","89.01786041259766"
"537","","","","86.6411361694336","86.6411361694336","86.6411361694336","","",""
"543","47.50998306274414","47.50998306274414","47.50998306274414","","","","","",""
"564","","","","93.53424835205078","93.53424835205078","93.53424835205078","87.14839172363281","87.14839172363281","87.14839172363281"
"572","81.28999328613281","81.28999328613281","81.28999328613281","","","","","",""
"592","","","","216.20932006835938","216.20932006835938","216.20932006835938","83.88812255859375","83.88812255859375","83.88812255859375"
"600","60.43640899658203","60.43640899658203","60.43640899658203","","","","","",""
"621","","","","79.37152099609375","79.37152099609375","79.37152099609375","","",""
"622","","","","","","","109.50298309326172","109.50298309326172","109.50298309326172"
"628","26.47935676574707","26.47935676574707","26.47935676574707","","","","","",""
"650","","","","147.81875610351562","147.81875610351562","147.81875610351562","","",""
"651","","","","","","","103.93061828613281","103.93061828613281","103.93061828613281"
"655","55.321956634521484","55.321956634521484","55.321956634521484","","","","","",""
"680","","","","187.33949279785156","187.33949279785156","187.33949279785156","155.62672424316406","155.62672424316406","155.62672424316406"
"684","38.75226974487305","38.75226974487305","38.75226974487305","","","","","",""
"708","","","","","","","131.64007568359375","131.64007568359375","131.64007568359375"
"710","","","","71.33512878417969","71.33512878417969","71.33512878417969","","",""
"712","52.95595169067383","52.95595169067383","52.95595169067383","","","","","",""
"738","","","","78.1332778930664","78.1332778930664","78.1332778930664","124.21791076660156","124.21791076660156","124.21791076660156"
"743","23.90196418762207","23.90196418762207","23.90196418762207","","","","","",""
"767","","","","","","","116.41781616210938","116.41781616210938","116.41781616210938"
