"epoch","Schedule: adaptive - _step","Schedule: adaptive - _step__MIN","Schedule: adaptive - _step__MAX","Schedule: adaptive - test reward","Schedule: adaptive - test reward__MIN","Schedule: adaptive - test reward__MAX","Schedule: interval - _step","Schedule: interval - _step__MIN","Schedule: interval - _step__MAX","Schedule: interval - test reward","Schedule: interval - test reward__MIN","Schedule: interval - test reward__MAX"
"0","2","2","2","105.85452974635405","5.494174749830987","208.8067934140911","2","2","2","101.04882704123322","75.40309950114201","138.69447252509784"
"10","19","19","19","231.5971750816618","141.81650250986985","364.0855207140245","14","14","14","158.131162455434","75.64649789426679","236.78357995299126"
"20","36","36","36","181.3370827236171","109.2642514922128","237.1772826842533","26","26","26","192.0403626824514","142.43016878456277","237.0997935325738"
"30","53","53","53","191.75249497448343","74.1845435256573","302.93063055282386","38","38","38","204.19461449258648","138.5471841472751","269.1251809653237"
"40","70","70","70","217.8737115579631","75.05156857351759","402.59475969854236","50","50","50","228.51289302533596","200.22203401142457","268.9099928004818"
"50","87","87","87","223.6879785401844","102.41076458937445","332.0045628566801","62","62","62","235.86219876523174","141.85983776915555","268.58262848790594"
"60","104","104","104","238.7538896161618","105.01141584044947","329.055792791149","75","75","75","231.32209434352944","206.30793158194314","268.9552505573167"
"70","121","121","121","207.248567327911","135.39330627111767","267.99846793006196","87","87","87","177.23520710287858","137.11940973672512","236.48396775317912"
"80","138","138","138","224.13427507772298","135.86749995767212","338.5806427385465","99","99","99","171.77536870802373","72.33968117608893","208.10309953837424"
"90","155","155","155","134.24066958843252","72.25282203422849","205.5056400406716","111","111","111","191.8773683274572","73.40622153311175","304.36457271110714"
"100","172","172","172","248.6961495547203","166.30132287976295","402.28335494194687","123","123","123","191.7131462316708","78.0869477997695","269.9218065885142"
"110","189","189","189","184.86769225611133","106.23610502731015","302.7801129352623","136","136","136","182.98354827654939","101.76811707152137","298.4521042326837"
"120","206","206","206","174.3909997614562","103.70948663497529","272.6703584267359","148","148","148","178.97005640929245","74.39415783689655","237.52878524142466"
"130","223","223","223","233.07977538208024","168.94490416021972","273.2833882773455","160","160","160","184.82261095695907","102.74085501324082","274.13624442382957"
"140","240","240","240","244.98045647683716","174.7456290969928","302.42827966585116","172","172","172","248.76603020980573","174.68268030585205","399.5604319247913"
"150","257","257","257","234.93616185938063","137.24779952184824","301.2709970812583","184","184","184","223.43416416945624","136.2167474582054","333.20501126639164"
"160","274","274","274","220.1495914480177","102.10603686094574","367.21860259015637","197","197","197","243.29524414983393","172.08456595216205","399.8872695555431"
"170","291","291","291","252.21011820866158","176.05386535123114","331.5999028065637","209","209","209","262.2516940208443","235.1055331290072","307.6431971379069"
"180","308","308","308","226.25160883645304","103.6130583451043","332.9715955388405","221","221","221","214.99164501453637","103.88919241139271","298.8663630379604"
"190","325","325","325","241.6070927982436","133.79123705864367","362.63204380508404","233","233","233","269.6163437701871","208.1775827761891","369.8467251232577"
"200","342","342","342","223.98827828835005","135.32453811615682","367.127248275539","245","245","245","210.0019879339994","96.98895959763856","270.8956131635954"
"210","359","359","359","202.26925450172627","137.64141083462727","301.580402845689","258","258","258","196.78806574104334","133.4423527115328","238.37559153310582"
"220","376","376","376","255.2003724409636","136.27350479786207","432.96953007448417","270","270","270","201.9754317170677","108.04921675620153","396.7284185101929"
"230","393","393","393","211.1431203617358","140.22292560174787","300.1482100217839","282","282","282","190.18752897457767","103.58060132981056","237.43655201301468"
"240","410","410","410","227.4976361578807","135.52213286653313","304.63692354733956","294","294","294","236.51128014289833","105.41739632796266","362.5904622876018"
"250","427","427","427","198.3530389104161","137.32345166434717","264.8985523469406","306","306","306","189.32689463781531","72.42396949486813","267.767767683065"
"260","444","444","444","243.31365540092307","169.90139244477285","303.3358906040709","319","319","319","268.5105235125822","139.9143586513279","397.2460128836047"
"270","461","461","461","231.28706188180118","201.50136525468173","267.5610051682612","331","331","331","222.52910941207278","166.95502184450055","271.9235092612197"
"280","478","478","478","255.45418058844382","132.00634243880353","365.9200246979257","343","343","343","245.70069856669426","143.98485267217464","303.6124536479469"
"290","495","495","495","250.6205903018412","132.81423625730744","398.09651490075873","355","355","355","216.0215186552976","170.62518449984228","331.1811597828896"
