"epoch","slope: 50 - _step","slope: 50 - _step__MIN","slope: 50 - _step__MAX","slope: 50 - test reward","slope: 50 - test reward__MIN","slope: 50 - test reward__MAX","slope: 100 - _step","slope: 100 - _step__MIN","slope: 100 - _step__MAX","slope: 100 - test reward","slope: 100 - test reward__MIN","slope: 100 - test reward__MAX","slope: 2 - _step","slope: 2 - _step__MIN","slope: 2 - _step__MAX","slope: 2 - test reward","slope: 2 - test reward__MIN","slope: 2 - test reward__MAX"
"0","2.8333333333333335","2","7","85.38957905924902","17.277047308752877","172.1306425764936","7.5","7","8","17.75196725317541","16.544159427828255","18.95977507852256","7","7","7","16.34388121488302","16.34388121488302","16.34388121488302"
"10","23.166666666666668","14","69","178.06746331647796","16.39515271873075","301.25971691844177","69","69","69","20.1545644646791","20.1545644646791","20.1545644646791","69","69","69","14.283661552878389","14.283661552878389","14.283661552878389"
"20","43.5","26","131","133.82660017311863","20.87137462367178","237.67906330098245","131","131","131","100.36269815346047","100.36269815346047","100.36269815346047","131","131","131","56.94919907931556","56.94919907931556","56.94919907931556"
"30","63.833333333333336","38","193","187.136921879219","103.78403831511503","234.25020714751136","193","193","193","105.47024389135102","105.47024389135102","105.47024389135102","193","193","193","230.17911571849973","230.17911571849973","230.17911571849973"
"40","84.16666666666667","50","255","218.93415192096856","140.6692496831707","272.29533907378215","255","255","255","61.652669193145655","61.652669193145655","61.652669193145655","255","255","255","146.03266481664372","146.03266481664372","146.03266481664372"
"50","104.5","62","317","198.41821229407273","64.74202571920242","270.13508670741237","317","317","317","100.14303859283169","100.14303859283169","100.14303859283169","317","317","317","359.4716827764872","359.4716827764872","359.4716827764872"
"60","124.83333333333333","74","379","248.84444218681242","200.49216219219193","336.87396202630055","379","379","379","99.22907706468472","99.22907706468472","99.22907706468472","379","379","379","182.04470912883642","182.04470912883642","182.04470912883642"
"70","145.16666666666666","86","441","257.6090430622103","187.51186242776683","359.84451295927386","441","441","441","236.51385994543938","236.51385994543938","236.51385994543938","441","441","441","105.73884279786213","105.73884279786213","105.73884279786213"
"80","165.5","98","503","168.30185392104684","134.61924653446826","239.88368418762622","503","503","503","232.49810595465027","232.49810595465027","232.49810595465027","503","503","503","182.34126429890733","182.34126429890733","182.34126429890733"
"90","185.83333333333334","110","565","213.00882627538704","106.4224769694423","330.3333947354603","565","565","565","148.92798001324607","148.92798001324607","148.92798001324607","565","565","565","311.39694500380386","311.39694500380386","311.39694500380386"
"100","206.16666666666666","122","627","181.82174389402437","137.24111388689593","267.4735103201307","627","627","627","109.59036714384146","109.59036714384146","109.59036714384146","627","627","627","107.73657330585647","107.73657330585647","107.73657330585647"
"110","226.5","134","689","265.78257149884206","136.70249873134958","332.3665043467785","689","689","689","233.04968236178925","233.04968236178925","233.04968236178925","689","689","689","189.01772726290181","189.01772726290181","189.01772726290181"
"120","246.83333333333334","146","751","200.46276209576465","72.17204257766416","270.4122389974669","751","751","751","224.95377369321713","224.95377369321713","224.95377369321713","751","751","751","360.80254548612305","360.80254548612305","360.80254548612305"
"130","267.1666666666667","158","813","247.2139556152238","142.93244049313535","365.7318408635257","813","813","813","187.39044657409116","187.39044657409116","187.39044657409116","813","813","813","188.6063325223709","188.6063325223709","188.6063325223709"
"140","287.5","170","875","237.52162912223073","131.06986473578186","328.8294303756781","875","875","875","316.69808808167744","316.69808808167744","316.69808808167744","875","875","875","188.6138964725452","188.6138964725452","188.6138964725452"
