"Relative Time (Process)","slope: 2 - _step","slope: 2 - _step__MIN","slope: 2 - _step__MAX","slope: 2 - test/returns_stat/mean","slope: 2 - test/returns_stat/mean__MIN","slope: 2 - test/returns_stat/mean__MAX","slope: 50 - _step","slope: 50 - _step__MIN","slope: 50 - _step__MAX","slope: 50 - test/returns_stat/mean","slope: 50 - test/returns_stat/mean__MIN","slope: 50 - test/returns_stat/mean__MAX","slope: 1 - _step","slope: 1 - _step__MIN","slope: 1 - _step__MAX","slope: 1 - test/returns_stat/mean","slope: 1 - test/returns_stat/mean__MIN","slope: 1 - test/returns_stat/mean__MAX","slope: 100 - _step","slope: 100 - _step__MIN","slope: 100 - _step__MAX","slope: 100 - test/returns_stat/mean","slope: 100 - test/returns_stat/mean__MIN","slope: 100 - test/returns_stat/mean__MAX","slope: 10 - _step","slope: 10 - _step__MIN","slope: 10 - _step__MAX","slope: 10 - test/returns_stat/mean","slope: 10 - test/returns_stat/mean__MIN","slope: 10 - test/returns_stat/mean__MAX"
"5.786645174026489","1","1","1","36.37081527709961","36.37081527709961","36.37081527709961","","","","","","","","","","","","","","","","","","","","","","","",""
"5.800209999084473","1","1","1","36.37081527709961","36.37081527709961","36.37081527709961","","","","","","","","","","","","","","","","","","","","","","","",""
"5.8043248653411865","1","1","1","38.02908706665039","38.02908706665039","38.02908706665039","","","","","","","","","","","","","","","","","","","","","","","",""
"5.808027982711792","2255","2255","2255","27.11969566345215","27.11969566345215","27.11969566345215","","","","","","","","","","","","","","","","","","","","","","","",""
"5.910966157913208","","","","","","","","","","","","","1","1","1","43.85435104370117","43.85435104370117","43.85435104370117","","","","","","","","","","","",""
"5.941705942153931","","","","","","","1","1","1","38.02908706665039","38.02908706665039","38.02908706665039","","","","","","","","","","","","","","","","","",""
"5.989315986633301","","","","","","","","","","","","","","","","","","","1","1","1","38.02908706665039","38.02908706665039","38.02908706665039","","","","","",""
"5.989881753921509","1","1","1","36.37081527709961","36.37081527709961","36.37081527709961","","","","","","","","","","","","","","","","","","","","","","","",""
"6.005475044250488","","","","","","","","","","","","","1","1","1","38.02908706665039","38.02908706665039","38.02908706665039","","","","","","","","","","","",""
"6.013323068618774","","","","","","","1","1","1","36.37081527709961","36.37081527709961","36.37081527709961","","","","","","","","","","","","","","","","","",""
"6.036614179611206","","","","","","","","","","","","","","","","","","","1","1","1","36.37081527709961","36.37081527709961","36.37081527709961","","","","","",""
"6.041234970092773","","","","","","","1","1","1","43.85435104370117","43.85435104370117","43.85435104370117","","","","","","","","","","","","","","","","","",""
"6.052939176559448","0","0","0","19.331756591796875","19.331756591796875","19.331756591796875","","","","","","","","","","","","","","","","","","","","","","","",""
"6.105982065200806","","","","","","","","","","","","","1","1","1","36.37081527709961","36.37081527709961","36.37081527709961","","","","","","","","","","","",""
"6.214504957199097","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","43.85435104370117","43.85435104370117","43.85435104370117"
"10.57548","1839","1839","1839","27.119696","27.119696","27.119696","","","","","","","","","","","","","","","","","","","","","","","",""
"10.648926","5","5","5","27.119696","27.119696","27.119696","","","","","","","","","","","","","","","","","","","","","","","",""
"10.666492","5","5","5","27.119696","27.119696","27.119696","","","","","","","","","","","","","","","","","","","","","","","",""
"10.666536","5","5","5","27.119696","27.119696","27.119696","","","","","","","","","","","","","","","","","","","","","","","",""
"10.73334","5","5","5","27.119696","27.119696","27.119696","","","","","","","","","","","","","","","","","","","","","","","",""
"10.741938","1861","1861","1861","27.119696","27.119696","27.119696","","","","","","","","","","","","","","","","","","","","","","","",""
"10.786078","1775","1775","1775","27.119696","27.119696","27.119696","","","","","","","","","","","","","","","","","","","","","","","",""
"10.872657","1741","1741","1741","27.119696","27.119696","27.119696","","","","","","","","","","","","","","","","","","","","","","","",""
"10.87333","1879","1879","1879","27.119696","27.119696","27.119696","","","","","","","","","","","","","","","","","","","","","","","",""
"10.890688","1351","1351","1351","27.119696","27.119696","27.119696","","","","","","","","","","","","","","","","","","","","","","","",""
"10.919944","1839","1839","1839","34.450787","34.450787","34.450787","","","","","","","","","","","","","","","","","","","","","","","",""
"10.940464","5","5","5","27.119696","27.119696","27.119696","","","","","","","","","","","","","","","","","","","","","","","",""
"11.098132","1656","1656","1656","34.450787","34.450787","34.450787","","","","","","","","","","","","","","","","","","","","","","","",""
"11.183572999999999","1843","1843","1843","27.119696","27.119696","27.119696","","","","","","","","","","","","","","","","","","","","","","","",""
"11.47139","5","5","5","27.119696","27.119696","27.119696","","","","","","","","","","","","","","","","","","","","","","","",""
"11.729195","1439","1439","1439","27.119696","27.119696","27.119696","","","","","","","","","","","","","","","","","","","","","","","",""
"11.811738","1540","1540","1540","27.119696","27.119696","27.119696","","","","","","","","","","","","","","","","","","","","","","","",""
"11.900592","1610","1610","1610","34.450787","34.450787","34.450787","","","","","","","","","","","","","","","","","","","","","","","",""
"12.195608","5","5","5","27.119696","27.119696","27.119696","","","","","","","","","","","","","","","","","","","","","","","",""
"36.21497917175293","2","2","2","19.331756591796875","19.331756591796875","19.331756591796875","","","","","","","","","","","","","","","","","","","","","","","",""
"76.500643","250","250","250","38.551178","38.551178","38.551178","","","","","","","","","","","","","","","","","","","","","","","",""
"80.710022","250","250","250","39.06955","39.06955","39.06955","","","","","","","","","","","","","","","","","","","","","","","",""
"80.712035","250","250","250","37.574528","37.574528","37.574528","","","","","","","","","","","","","","","","","","","","","","","",""
